School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
Mack Benn Jr. Elementary,Suffolk City Public Schools,88.2,Mack Benn Jr. Elementary Suffolk City Public Schools
Creekside Elementary,Suffolk City Public Schools,43.1,Creekside Elementary Suffolk City Public Schools
Florence Bowser Elementary,Suffolk City Public Schools,38.5,Florence Bowser Elementary Suffolk City Public Schools
Nansemond River High,Suffolk City Public Schools,23.8,Nansemond River High Suffolk City Public Schools
Northern Shores Elementary,Suffolk City Public Schools,22.8,Northern Shores Elementary Suffolk City Public Schools
John Yeates Middle,Suffolk City Public Schools,24.9,John Yeates Middle Suffolk City Public Schools
Nansemond Parkway Elementary,Suffolk City Public Schools,48.4,Nansemond Parkway Elementary Suffolk City Public Schools
Forest Glen Middle,Suffolk City Public Schools,46.9,Forest Glen Middle Suffolk City Public Schools
Oakland Elementary,Suffolk City Public Schools,43.1,Oakland Elementary Suffolk City Public Schools
Southwestern Elementary,Suffolk City Public Schools,46,Southwestern Elementary Suffolk City Public Schools
Surry County High,Surry County Public Schools,50.4,Surry County High Surry County Public Schools
Luther P. Jackson Middle,Surry County Public Schools,60.6,Luther P. Jackson Middle Surry County Public Schools
Surry Elementary,Surry County Public Schools,68.9,Surry Elementary Surry County Public Schools
Speedwell Elementary,Wythe County Public Schools,61.2,Speedwell Elementary Wythe County Public Schools
George Wythe High,Wythe County Public Schools,51.6,George Wythe High Wythe County Public Schools
Scott Memorial Middle,Wythe County Public Schools,52.9,Scott Memorial Middle Wythe County Public Schools
Sheffey Elementary,Wythe County Public Schools,54,Sheffey Elementary Wythe County Public Schools
Spiller Elementary,Wythe County Public Schools,55.2,Spiller Elementary Wythe County Public Schools
Fort Chiswell High,Wythe County Public Schools,41,Fort Chiswell High Wythe County Public Schools
Fort Chiswell Middle,Wythe County Public Schools,49.7,Fort Chiswell Middle Wythe County Public Schools
Rural Retreat Middle,Wythe County Public Schools,48.5,Rural Retreat Middle Wythe County Public Schools
Rural Retreat Elementary,Wythe County Public Schools,51.2,Rural Retreat Elementary Wythe County Public Schools
Rural Retreat High,Wythe County Public Schools,41.1,Rural Retreat High Wythe County Public Schools
Max Meadows Elementary,Wythe County Public Schools,53.9,Max Meadows Elementary Wythe County Public Schools
Jackson Memorial Elementary,Wythe County Public Schools,54.9,Jackson Memorial Elementary Wythe County Public Schools
Amelia County Middle,Amelia County Public Schools,56.4,Amelia County Middle Amelia County Public Schools
Amelia County Elementary,Amelia County Public Schools,57.4,Amelia County Elementary Amelia County Public Schools
Amelia County High,Amelia County Public Schools,44.8,Amelia County High Amelia County Public Schools
Clarke County High,Clarke County Public Schools,16.6,Clarke County High Clarke County Public Schools
D.G. Cooley Elementary,Clarke County Public Schools,25.1,D.G. Cooley Elementary Clarke County Public Schools
Johnson-Williams Middle,Clarke County Public Schools,21.4,Johnson-Williams Middle Clarke County Public Schools
Boyce Elementary,Clarke County Public Schools,24.9,Boyce Elementary Clarke County Public Schools
G.L.H. Johnson Elementary,Danville City Public Schools,100,G.L.H. Johnson Elementary Danville City Public Schools
O. Trent Bonner Middle,Danville City Public Schools,100,O. Trent Bonner Middle Danville City Public Schools
Westwood Middle,Danville City Public Schools,100,Westwood Middle Danville City Public Schools
Woodberry Hills Elementary,Danville City Public Schools,100,Woodberry Hills Elementary Danville City Public Schools
Edwin A. Gibson Elementary,Danville City Public Schools,100,Edwin A. Gibson Elementary Danville City Public Schools
Forest Hills Elementary,Danville City Public Schools,100,Forest Hills Elementary Danville City Public Schools
Galileo Magnet High,Danville City Public Schools,100,Galileo Magnet High Danville City Public Schools
George Washington High,Danville City Public Schools,100,George Washington High Danville City Public Schools
Park Avenue Elementary,Danville City Public Schools,100,Park Avenue Elementary Danville City Public Schools
Schoolfield Elementary,Danville City Public Schools,100,Schoolfield Elementary Danville City Public Schools
Franklin High,Franklin City Public Schools,100,Franklin High Franklin City Public Schools
Joseph P. King Jr. Middle,Franklin City Public Schools,100,Joseph P. King Jr. Middle Franklin City Public Schools
S.P. Morton Elementary,Franklin City Public Schools,100,S.P. Morton Elementary Franklin City Public Schools
Ruckersville Elementary,Greene County Public Schools,35.1,Ruckersville Elementary Greene County Public Schools
Nathanael Greene Elementary,Greene County Public Schools,46.9,Nathanael Greene Elementary Greene County Public Schools
William Monroe High,Greene County Public Schools,34,William Monroe High Greene County Public Schools
William Monroe Middle,Greene County Public Schools,42.1,William Monroe Middle Greene County Public Schools
Dupont Elementary,Hopewell City Public Schools,98.7,Dupont Elementary Hopewell City Public Schools
Harry E. James Elementary,Hopewell City Public Schools,98.6,Harry E. James Elementary Hopewell City Public Schools
Hopewell High,Hopewell City Public Schools,98.7,Hopewell High Hopewell City Public Schools
Carter G. Woodson Middle,Hopewell City Public Schools,98.7,Carter G. Woodson Middle Hopewell City Public Schools
Patrick Copeland Elementary,Hopewell City Public Schools,98.7,Patrick Copeland Elementary Hopewell City Public Schools
Thomas Jefferson Elementary,Louisa County Public Schools,57.9,Thomas Jefferson Elementary Louisa County Public Schools
Trevilians Elementary,Louisa County Public Schools,52.8,Trevilians Elementary Louisa County Public Schools
Jouett Elementary,Louisa County Public Schools,48.5,Jouett Elementary Louisa County Public Schools
Louisa County High,Louisa County Public Schools,39.9,Louisa County High Louisa County Public Schools
Louisa County Middle,Louisa County Public Schools,46.2,Louisa County Middle Louisa County Public Schools
Moss-Nuckols Elementary,Louisa County Public Schools,35.6,Moss-Nuckols Elementary Louisa County Public Schools
Baldwin Intermediate,Manassas City Public Schools,62.4,Baldwin Intermediate Manassas City Public Schools
Mayfield Intermediate,Manassas City Public Schools,62.7,Mayfield Intermediate Manassas City Public Schools
Richard C. Haydon Elementary,Manassas City Public Schools,64.2,Richard C. Haydon Elementary Manassas City Public Schools
Weems Elementary,Manassas City Public Schools,78.3,Weems Elementary Manassas City Public Schools
Osbourn High,Manassas City Public Schools,51.8,Osbourn High Manassas City Public Schools
Baldwin Elementary,Manassas City Public Schools,60,Baldwin Elementary Manassas City Public Schools
George Carr Round Elementary,Manassas City Public Schools,57.7,George Carr Round Elementary Manassas City Public Schools
Jennie Dean Elementary,Manassas City Public Schools,70.2,Jennie Dean Elementary Manassas City Public Schools
Nelson County High,Nelson County Public Schools,46.2,Nelson County High Nelson County Public Schools
Nelson Middle,Nelson County Public Schools,51.5,Nelson Middle Nelson County Public Schools
Rockfish River Elementary,Nelson County Public Schools,53.4,Rockfish River Elementary Nelson County Public Schools
Tye River Elementary,Nelson County Public Schools,57.9,Tye River Elementary Nelson County Public Schools
Orange Elementary,Orange County Public Schools,56.7,Orange Elementary Orange County Public Schools
Prospect Heights Middle,Orange County Public Schools,55.7,Prospect Heights Middle Orange County Public Schools
Locust Grove Elementary,Orange County Public Schools,47.6,Locust Grove Elementary Orange County Public Schools
Locust Grove Middle,Orange County Public Schools,40.8,Locust Grove Middle Orange County Public Schools
Gordon-Barbour Elementary,Orange County Public Schools,60.5,Gordon-Barbour Elementary Orange County Public Schools
Lightfoot Elementary,Orange County Public Schools,42.4,Lightfoot Elementary Orange County Public Schools
Poquoson Elementary,Poquoson City Public Schools,17.1,Poquoson Elementary Poquoson City Public Schools
Poquoson Middle,Poquoson City Public Schools,16.8,Poquoson Middle Poquoson City Public Schools
Poquoson High,Poquoson City Public Schools,14.2,Poquoson High Poquoson City Public Schools
Binford Middle,Richmond City Public Schools,100,Binford Middle Richmond City Public Schools
John B. Cary Elementary,Richmond City Public Schools,100,John B. Cary Elementary Richmond City Public Schools
River City Middle,Richmond City Public Schools,100,River City Middle Richmond City Public Schools
George Wythe High,Richmond City Public Schools,100,George Wythe High Richmond City Public Schools
Lucille M. Brown Middle,Richmond City Public Schools,100,Lucille M. Brown Middle Richmond City Public Schools
Miles Jones Elementary,Richmond City Public Schools,100,Miles Jones Elementary Richmond City Public Schools
Ginter Park Elementary,Richmond City Public Schools,100,Ginter Park Elementary Richmond City Public Schools
George W. Carver Elementary,Richmond City Public Schools,100,George W. Carver Elementary Richmond City Public Schools
Open High,Richmond City Public Schools,100,Open High Richmond City Public Schools
Amelia Street Special Education,Richmond City Public Schools,100,Amelia Street Special Education Richmond City Public Schools
Albert Hill Middle,Richmond City Public Schools,100,Albert Hill Middle Richmond City Public Schools
Barack Obama Elementary,Richmond City Public Schools,100,Barack Obama Elementary Richmond City Public Schools
Richmond Community High,Richmond City Public Schools,100,Richmond Community High Richmond City Public Schools
Overby-Sheppard Elementary,Richmond City Public Schools,100,Overby-Sheppard Elementary Richmond City Public Schools
Fairfield Court Elementary,Richmond City Public Schools,100,Fairfield Court Elementary Richmond City Public Schools
Woodville Elementary,Richmond City Public Schools,100,Woodville Elementary Richmond City Public Schools
Henry Marsh III Elementary,Richmond City Public Schools,100,Henry Marsh III Elementary Richmond City Public Schools
Bellevue Elementary,Richmond City Public Schools,100,Bellevue Elementary Richmond City Public Schools
Chimborazo Elementary,Richmond City Public Schools,100,Chimborazo Elementary Richmond City Public Schools
Swansboro Elementary,Richmond City Public Schools,100,Swansboro Elementary Richmond City Public Schools
Blackwell Elementary,Richmond City Public Schools,100,Blackwell Elementary Richmond City Public Schools
