School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
Galax Elementary,Galax City Public Schools,673.77,1391,6228,1991,3758,13368,9007096,Galax Elementary Galax City Public Schools
Galax High,Galax City Public Schools,364.22,582,11040,1991,3758,17370,6326623,Galax High Galax City Public Schools
Galax Middle,Galax City Public Schools,311.97,526,7163,1991,3758,13438,4192233,Galax Middle Galax City Public Schools
Elydale Middle,Lee County Public Schools,141.91,2801,9416,951,2773,15941,2262190,Elydale Middle Lee County Public Schools
Jonesville Middle,Lee County Public Schools,236.96,2036,9694,951,2773,15454,3662085,Jonesville Middle Lee County Public Schools
Lee High,Lee County Public Schools,774.76,458,7199,951,2773,11382,8817949,Lee High Lee County Public Schools
St. Charles Elementary,Lee County Public Schools,124.29,2947,10496,951,2773,17166,2133610,St. Charles Elementary Lee County Public Schools
Elk Knob Elementary,Lee County Public Schools,288.67,3002,7234,951,2773,13960,4029788,Elk Knob Elementary Lee County Public Schools
Rose Hill Elementary,Lee County Public Schools,233.09,2066,7370,951,2773,13160,3067511,Rose Hill Elementary Lee County Public Schools
Thomas Walker High,Lee County Public Schools,277.88,1364,8487,951,2773,13575,3772284,Thomas Walker High Lee County Public Schools
Flatwoods Elementary,Lee County Public Schools,293.42,1676,8074,951,2773,13474,3953437,Flatwoods Elementary Lee County Public Schools
Dryden Elementary,Lee County Public Schools,260.63,3622,6853,951,2773,14199,3700563,Dryden Elementary Lee County Public Schools
Pennington Middle,Lee County Public Schools,298.05,1774,9240,951,2773,14738,4392775,Pennington Middle Lee County Public Schools
G.W. Carver Elementary,Salem City Public Schools,443.92,1541,8296,511,3657,14005,6217113,G.W. Carver Elementary Salem City Public Schools
Andrew Lewis Middle,Salem City Public Schools,875.44,651,8239,511,3657,13059,11432109,Andrew Lewis Middle Salem City Public Schools
South Salem Elementary,Salem City Public Schools,375.18,1067,7901,511,3657,13136,4928310,South Salem Elementary Salem City Public Schools
East Salem Elementary,Salem City Public Schools,444.73,1767,8195,511,3657,14130,6284049,East Salem Elementary Salem City Public Schools
Salem High,Salem City Public Schools,1231.15,476,8257,511,3657,12901,15882804,Salem High Salem City Public Schools
West Salem Elementary,Salem City Public Schools,396.11,464,8989,511,3657,13622,5395804,West Salem Elementary Salem City Public Schools
West Point Elementary,West Point Public Schools,361.33,1395,9865,0,3799,15059,5441290,West Point Elementary West Point Public Schools
West Point Middle/High,West Point Public Schools,447.1,122,8417,0,3799,12338,5516150,West Point Middle/High West Point Public Schools
Millboro Elementary,Bath County Public Schools,139.83,1230,11105,125,6566,19026,2660413,Millboro Elementary Bath County Public Schools
Bath County High,Bath County Public Schools,186.33,615,13803,125,6566,21108,3933079,Bath County High Bath County Public Schools
Valley Elementary,Bath County Public Schools,172.85,1199,11525,125,6566,19415,3355948,Valley Elementary Bath County Public Schools
Norton Elementary,Norton City Public Schools,500.74,545,9159,0,2638,12342,6180321,Norton Elementary Norton City Public Schools
Luray Elementary,Page County Public Schools,467.92,520,7441,813,2609,11382,5325883,Luray Elementary Page County Public Schools
Luray High,Page County Public Schools,495.56,378,8252,813,2609,12052,5972357,Luray High Page County Public Schools
Stanley Elementary,Page County Public Schools,369.19,659,7871,813,2609,11951,4412212,Stanley Elementary Page County Public Schools
Springfield Elementary,Page County Public Schools,213.83,1138,9560,813,2609,14119,3019056,Springfield Elementary Page County Public Schools
Page County High,Page County Public Schools,545.68,342,7979,813,2609,11743,6407732,Page County High Page County Public Schools
Page County Middle,Page County Public Schools,373.7,540,8238,813,2609,12200,4559020,Page County Middle Page County Public Schools
Shenandoah Elementary,Page County Public Schools,306.31,794,9160,813,2609,13376,4097179,Shenandoah Elementary Page County Public Schools
Luray Middle,Page County Public Schools,341.39,592,8877,813,2609,12890,4400508,Luray Middle Page County Public Schools
L.F. Addington Middle,Wise County Public Schools,449.73,726,7110,627,3142,11605,5219093,L.F. Addington Middle Wise County Public Schools
Wise Primary,Wise County Public Schools,572.43,1343,6012,627,3142,11124,6367542,Wise Primary Wise County Public Schools
J.W. Adams Combined,Wise County Public Schools,485.02,1172,6034,627,3142,10975,5322917,J.W. Adams Combined Wise County Public Schools
Central High,Wise County Public Schools,665.18,188,5538,627,3142,9494,6315536,Central High Wise County Public Schools
Coeburn Middle,Wise County Public Schools,308.97,885,8309,627,3142,12963,4005278,Coeburn Middle Wise County Public Schools
Coeburn Primary,Wise County Public Schools,438.97,1588,5646,627,3142,11003,4829882,Coeburn Primary Wise County Public Schools
Eastside High,Wise County Public Schools,369.64,170,8259,627,3142,12199,4509219,Eastside High Wise County Public Schools
St. Paul Elementary,Wise County Public Schools,418.21,985,5855,627,3142,10609,4436804,St. Paul Elementary Wise County Public Schools
Union High,Wise County Public Schools,556.66,94,6060,627,3142,9923,5523888,Union High Wise County Public Schools
Union Middle,Wise County Public Schools,581.85,489,6813,627,3142,11070,6441267,Union Middle Wise County Public Schools
Union Primary,Wise County Public Schools,838.72,1094,4625,627,3142,9488,7958108,Union Primary Wise County Public Schools
Grafton Bethel Elementary,York County Public Schools,626.54,529,5264,19,2934,8746,5479526,Grafton Bethel Elementary York County Public Schools
Seaford Elementary,York County Public Schools,533.55,433,8191,19,2934,11576,6176520,Seaford Elementary York County Public Schools
Dare Elementary,York County Public Schools,391.13,726,8427,19,2934,12106,4734938,Dare Elementary York County Public Schools
Grafton High,York County Public Schools,1163.18,306,6250,19,2934,9509,11060918,Grafton High York County Public Schools
Grafton Middle,York County Public Schools,885.18,829,8858,19,2934,12639,11188010,Grafton Middle York County Public Schools
York High,York County Public Schools,1073.51,297,6667,19,2934,9917,10645988,York High York County Public Schools
York River Academy,York County Public Schools,62.01,4456,32228,19,2934,39637,2457881,York River Academy York County Public Schools
Yorktown Elementary,York County Public Schools,597.14,1077,10905,19,2934,14935,8918026,Yorktown Elementary York County Public Schools
Yorktown Middle,York County Public Schools,641.71,503,16483,19,2934,19938,12794631,Yorktown Middle York County Public Schools
Coventry Elementary,York County Public Schools,679.23,446,6901,19,2934,10300,6996224,Coventry Elementary York County Public Schools
Tabb Elementary,York County Public Schools,662.88,343,4455,19,2934,7751,5138226,Tabb Elementary York County Public Schools
Tabb High,York County Public Schools,1067.58,292,7103,19,2934,10347,11046603,Tabb High York County Public Schools
Tabb Middle,York County Public Schools,887.42,442,9837,19,2934,13232,11742567,Tabb Middle York County Public Schools
Magruder Elementary,York County Public Schools,611.01,886,7932,19,2934,11770,7191832,Magruder Elementary York County Public Schools
Queens Lake Middle,York County Public Schools,548.65,486,10896,19,2934,14335,7864906,Queens Lake Middle York County Public Schools
Waller Mill Elementary,York County Public Schools,383.27,944,6867,19,2934,10764,4125600,Waller Mill Elementary York County Public Schools
Bruton High,York County Public Schools,659,314,7401,19,2934,10668,7030169,Bruton High York County Public Schools
Bethel Manor Elementary,York County Public Schools,615.19,1471,4919,19,2934,9343,5747534,Bethel Manor Elementary York County Public Schools
Bland County High,Bland County Public Schools,370.89,29,8025,1577,3016,12648,4690965,Bland County High Bland County Public Schools
Virginia High,Bristol City Public Schools,631.8,2937,10400,150,3693,17180,10854442,Virginia High Bristol City Public Schools
Highland View Elementary,Bristol City Public Schools,184.18,4735,8772,150,3693,17350,3195507,Highland View Elementary Bristol City Public Schools
Virginia Middle,Bristol City Public Schools,491.84,2705,7197,150,3693,13745,6760268,Virginia Middle Bristol City Public Schools
Joseph Van Pelt Elementary,Bristol City Public Schools,426.15,2501,8094,150,3693,14437,6152462,Joseph Van Pelt Elementary Bristol City Public Schools
Washington-Lee Elementary,Bristol City Public Schools,230.1,3924,6644,150,3693,14410,3315820,Washington-Lee Elementary Bristol City Public Schools
Stonewall Jackson Elementary,Bristol City Public Schools,244.9,2826,6677,150,3693,13346,3268377,Stonewall Jackson Elementary Bristol City Public Schools
Craig County High,Craig County Public Schools,293.69,562,9001,777,3778,14118,4146407,Craig County High Craig County Public Schools
McCleary Elementary,Craig County Public Schools,205.39,1184,8522,777,3778,14261,2929108,McCleary Elementary Craig County Public Schools
Essex High,Essex County Public Schools,494.71,153,6751,945,4730,12580,6223234,Essex High Essex County Public Schools
Tappahannock Elementary,Essex County Public Schools,620.18,639,7067,945,4730,13381,8298464,Tappahannock Elementary Essex County Public Schools
Check Elementary,Floyd County Public Schools,268.43,885,7756,0,3985,12626,3389147,Check Elementary Floyd County Public Schools
Floyd County High,Floyd County Public Schools,747.36,355,7571,0,3985,11912,8902829,Floyd County High Floyd County Public Schools
Floyd Elementary,Floyd County Public Schools,451.26,874,7164,0,3985,12024,5425809,Floyd Elementary Floyd County Public Schools
Willis Elementary,Floyd County Public Schools,176.42,740,8428,0,3985,13153,2320536,Willis Elementary Floyd County Public Schools
Indian Valley Elementary,Floyd County Public Schools,114.19,1577,9919,0,3985,15481,1767756,Indian Valley Elementary Floyd County Public Schools
Narrows High,Giles County Public Schools,430.29,228,8191,23,2448,10890,4685826,Narrows High Giles County Public Schools
Giles High,Giles County Public Schools,689.84,102,7089,23,2448,9662,6665560,Giles High Giles County Public Schools
Macy Mcclaugherty Elementary/Middle,Giles County Public Schools,809.52,466,6429,23,2448,9366,7582119,Macy Mcclaugherty Elementary/Middle Giles County Public Schools
A.W.E. Bassette Elementary,Hampton City Public Schools,467.86,1540,6746,446,2738,11470,5366257,A.W.E. Bassette Elementary Hampton City Public Schools
Armstrong Elementary,Hampton City Public Schools,267.03,525,8716,446,2738,12426,3318004,Armstrong Elementary Hampton City Public Schools
C. Alton Lindsay Middle,Hampton City Public Schools,710.86,1032,7686,446,2738,11902,8460761,C. Alton Lindsay Middle Hampton City Public Schools
Hunter B. Andrews,Hampton City Public Schools,1133.87,1021,7139,446,2738,11344,12862506,Hunter B. Andrews Hampton City Public Schools
Francis W. Jones Magnet Middle,Hampton City Public Schools,620.52,409,9174,446,2738,12767,7922244,Francis W. Jones Magnet Middle Hampton City Public Schools
Jane H. Bryan Elementary,Hampton City Public Schools,402.01,1560,7774,446,2738,12518,5032333,Jane H. Bryan Elementary Hampton City Public Schools
Mary T. Christian Elementary,Hampton City Public Schools,266.76,2074,9494,446,2738,14752,3935259,Mary T. Christian Elementary Hampton City Public Schools
Phoebus High,Hampton City Public Schools,1235.13,627,8613,446,2738,12424,15344854,Phoebus High Hampton City Public Schools
Francis Asbury Elementary,Hampton City Public Schools,425.53,432,8050,446,2738,11666,4964312,Francis Asbury Elementary Hampton City Public Schools
Aberdeen Elementary,Hampton City Public Schools,507.99,1154,7056,446,2738,11395,5788445,Aberdeen Elementary Hampton City Public Schools
Bethel High,Hampton City Public Schools,1780.33,538,8226,446,2738,11948,21271995,Bethel High Hampton City Public Schools
Cesar Tarrant Middle,Hampton City Public Schools,703.35,865,7492,446,2738,11541,8117356,Cesar Tarrant Middle Hampton City Public Schools
George P. Phenix Elementary,Hampton City Public Schools,1438.39,450,6952,446,2738,10586,15226136,George P. Phenix Elementary Hampton City Public Schools
Mary W. Jackson Elementary,Hampton City Public Schools,315.18,450,8705,446,2738,12339,3888883,Mary W. Jackson Elementary Hampton City Public Schools
Paul Burbank Elementary,Hampton City Public Schools,404.92,509,7454,446,2738,11147,4513684,Paul Burbank Elementary Hampton City Public Schools
Thomas Eaton Middle,Hampton City Public Schools,550.79,511,9289,446,2738,12984,7151404,Thomas Eaton Middle Hampton City Public Schools
William Mason Cooper Elementary,Hampton City Public Schools,355.64,401,8555,446,2738,12140,4317343,William Mason Cooper Elementary Hampton City Public Schools
Benjamin Syms Middle,Hampton City Public Schools,971.59,878,7041,446,2738,11103,10787731,Benjamin Syms Middle Hampton City Public Schools
Hampton High,Hampton City Public Schools,1331.2,581,9382,446,2738,13147,17501512,Hampton High Hampton City Public Schools
Mary S. Peake Elementary,Hampton City Public Schools,425.23,1734,7624,446,2738,12543,5333465,Mary S. Peake Elementary Hampton City Public Schools
Phillips Elementary,Hampton City Public Schools,396.85,477,8372,446,2738,12033,4775405,Phillips Elementary Hampton City Public Schools
Samuel P. Langley Elementary,Hampton City Public Schools,470.23,470,8619,446,2738,12273,5770963,Samuel P. Langley Elementary Hampton City Public Schools
Kecoughtan High,Hampton City Public Schools,1583.97,499,8262,446,2738,11945,18921278,Kecoughtan High Hampton City Public Schools
Albert W. Patrick III Elementary,Hampton City Public Schools,395.34,1415,7583,446,2738,12182,4815999,Albert W. Patrick III Elementary Hampton City Public Schools
Captain John Smith Elementary,Hampton City Public Schools,373.87,1768,8687,446,2738,13639,5099245,Captain John Smith Elementary Hampton City Public Schools
Barron Elementary,Hampton City Public Schools,354.54,501,8481,446,2738,12166,4313319,Barron Elementary Hampton City Public Schools
Alfred S. Forrest Elementary,Hampton City Public Schools,500.24,1090,7406,446,2738,11680,5842781,Alfred S. Forrest Elementary Hampton City Public Schools
Sanville Elementary,Henry County Public Schools,226.32,1766,8555,346,3501,14168,3206404,Sanville Elementary Henry County Public Schools
Drewry Mason Elementary,Henry County Public Schools,411.16,1069,6646,346,3501,11562,4753678,Drewry Mason Elementary Henry County Public Schools
Magna Vista High,Henry County Public Schools,1076.74,558,6468,346,3501,10873,11706980,Magna Vista High Henry County Public Schools
Stanleytown Elementary,Henry County Public Schools,259.34,1196,9921,346,3501,14964,3880782,Stanleytown Elementary Henry County Public Schools
Meadow View Elementary,Henry County Public Schools,656.59,1196,6766,346,3501,11809,7753594,Meadow View Elementary Henry County Public Schools
Bassett High,Henry County Public Schools,1086.75,484,6384,346,3501,10715,11644268,Bassett High Henry County Public Schools
Rich Acres Elementary,Henry County Public Schools,251.09,2247,7466,346,3501,13559,3404603,Rich Acres Elementary Henry County Public Schools
Campbell Court Elementary,Henry County Public Schools,273.98,2010,6853,346,3501,12710,3482165,Campbell Court Elementary Henry County Public Schools
Axton Elementary,Henry County Public Schools,375.78,1108,6449,346,3501,11403,4285034,Axton Elementary Henry County Public Schools
Ingleside Elementary,Norfolk City Public Schools,496.77,1611,7675,645,3545,13476,6694423,Ingleside Elementary Norfolk City Public Schools
Lake Taylor,Norfolk City Public Schools,654.57,2309,10864,645,3545,17363,11365375,Lake Taylor Norfolk City Public Schools
Bay View Elementary,Norfolk City Public Schools,517.2,1278,7811,645,3545,13279,6867720,Bay View Elementary Norfolk City Public Schools
Mary Calcott Elementary,Norfolk City Public Schools,445.7,2090,8893,645,3545,15172,6762312,Mary Calcott Elementary Norfolk City Public Schools
Northside Middle,Norfolk City Public Schools,791.73,1364,8538,645,3545,14091,11156400,Northside Middle Norfolk City Public Schools
Ocean View Elementary,Norfolk City Public Schools,493.08,1785,9583,645,3545,15558,7671385,Ocean View Elementary Norfolk City Public Schools
Oceanair Elementary,Norfolk City Public Schools,440.24,1614,9069,645,3545,14872,6547434,Oceanair Elementary Norfolk City Public Schools
Booker T Washington High,Norfolk City Public Schools,936.82,1081,8589,645,3545,13860,12984397,Booker T Washington High Norfolk City Public Schools
Chesterfield Elementary,Norfolk City Public Schools,313.09,3431,9440,645,3545,17061,5341552,Chesterfield Elementary Norfolk City Public Schools
Jacox Elementary,Norfolk City Public Schools,553.8,2515,9250,645,3545,15954,8835517,Jacox Elementary Norfolk City Public Schools
Lindenwood Elementary,Norfolk City Public Schools,281.63,2018,10554,645,3545,16761,4720477,Lindenwood Elementary Norfolk City Public Schools
Richard Bowling Elementary,Norfolk City Public Schools,486.88,2437,8143,645,3545,14770,7191357,Richard Bowling Elementary Norfolk City Public Schools
Tidewater Park Elementary,Norfolk City Public Schools,181.61,2736,13652,645,3545,20577,3737069,Tidewater Park Elementary Norfolk City Public Schools
William H. Ruffner Middle,Norfolk City Public Schools,475.25,1878,9570,645,3545,15637,7431684,William H. Ruffner Middle Norfolk City Public Schools
Camp Allen Elementary,Norfolk City Public Schools,415.5,1892,8728,645,3545,14810,6153482,Camp Allen Elementary Norfolk City Public Schools
Granby Elementary,Norfolk City Public Schools,493.71,1746,9244,645,3545,15179,7494265,Granby Elementary Norfolk City Public Schools
Sewells Point Elementary,Norfolk City Public Schools,507.4,1731,8320,645,3545,14241,7225801,Sewells Point Elementary Norfolk City Public Schools
Suburban Park Elementary,Norfolk City Public Schools,448.14,2260,9697,645,3545,16147,7235981,Suburban Park Elementary Norfolk City Public Schools
Walter Herron Taylor Elementary,Norfolk City Public Schools,327.94,1695,8613,645,3545,14498,4754346,Walter Herron Taylor Elementary Norfolk City Public Schools
James Monroe Elementary,Norfolk City Public Schools,250.39,3561,11819,645,3545,19570,4900075,James Monroe Elementary Norfolk City Public Schools
Larchmont Elementary,Norfolk City Public Schools,449.8,1385,8621,645,3545,14195,6384969,Larchmont Elementary Norfolk City Public Schools
Coleman Place Elementary,Norfolk City Public Schools,606.83,1483,7481,645,3545,13154,7982302,Coleman Place Elementary Norfolk City Public Schools
Norview Elementary,Norfolk City Public Schools,390.12,1845,9730,645,3545,15764,6150038,Norview Elementary Norfolk City Public Schools
Norview High,Norfolk City Public Schools,1860.66,653,7218,645,3545,12060,22439636,Norview High Norfolk City Public Schools
Norview Middle,Norfolk City Public Schools,1270.99,1071,7093,645,3545,12354,15701698,Norview Middle Norfolk City Public Schools
Sherwood Forest Elementary,Norfolk City Public Schools,459.71,1679,7724,645,3545,13593,6248822,Sherwood Forest Elementary Norfolk City Public Schools
Tanners Creek Elementary,Norfolk City Public Schools,547.2,1937,7717,645,3545,13843,7575008,Tanners Creek Elementary Norfolk City Public Schools
Blair Middle,Norfolk City Public Schools,1223.22,1112,7743,645,3545,13044,15956236,Blair Middle Norfolk City Public Schools
Ghent K-8,Norfolk City Public Schools,475.83,756,9436,645,3545,14382,6843197,Ghent K-8 Norfolk City Public Schools
Azalea Gardens Middle,Norfolk City Public Schools,862.02,835,7043,645,3545,12068,10402858,Azalea Gardens Middle Norfolk City Public Schools
Crossroads PreK-8 School,Norfolk City Public Schools,782.95,1434,9314,645,3545,14937,11694953,Crossroads PreK-8 School Norfolk City Public Schools
Little Creek Elementary,Norfolk City Public Schools,611.63,1630,9265,645,3545,15085,9226259,Little Creek Elementary Norfolk City Public Schools
St. Helena Elementary,Norfolk City Public Schools,238,2674,11684,645,3545,18547,4414258,St. Helena Elementary Norfolk City Public Schools
Granby High,Norfolk City Public Schools,1792.82,429,7736,645,3545,12355,22150520,Granby High Norfolk City Public Schools
Academy for Discovery at Lakewood,Norfolk City Public Schools,710.49,860,8244,645,3545,13294,9445025,Academy for Discovery at Lakewood Norfolk City Public Schools
Willard Elementary,Norfolk City Public Schools,493.35,1705,8621,645,3545,14515,7161119,Willard Elementary Norfolk City Public Schools
Tarrallton Elementary,Norfolk City Public Schools,326.08,1253,9027,645,3545,14470,4718492,Tarrallton Elementary Norfolk City Public Schools
Larrymore Elementary,Norfolk City Public Schools,577.53,2056,8002,645,3545,14248,8228624,Larrymore Elementary Norfolk City Public Schools
Belle Heth Elementary,Radford City Public Schools,962.23,425,6581,93,1179,8278,7964978,Belle Heth Elementary Radford City Public Schools
John N. Dalton Intermediate,Radford City Public Schools,509.36,77,6905,93,1179,8254,4204351,John N. Dalton Intermediate Radford City Public Schools
Radford High,Radford City Public Schools,835.87,910,8771,93,1179,10952,9154693,Radford High Radford City Public Schools
Breckinridge Middle,Roanoke City Public Schools,673.98,1069,6827,796,3859,12552,8459474,Breckinridge Middle Roanoke City Public Schools
Lincoln Terrace Elementary,Roanoke City Public Schools,284.39,2193,10112,796,3859,16961,4823405,Lincoln Terrace Elementary Roanoke City Public Schools
Monterey Elementary,Roanoke City Public Schools,484.58,1108,7433,796,3859,13196,6394684,Monterey Elementary Roanoke City Public Schools
Preston Park Elementary,Roanoke City Public Schools,516.3,1148,8522,796,3859,14326,7396314,Preston Park Elementary Roanoke City Public Schools
Round Hill Elementary,Roanoke City Public Schools,748.86,1062,7476,796,3859,13193,9880017,Round Hill Elementary Roanoke City Public Schools
Fallon Park Elementary,Roanoke City Public Schools,565.98,1977,9918,796,3859,16550,9367165,Fallon Park Elementary Roanoke City Public Schools
John P. Fishwick Middle,Roanoke City Public Schools,507.85,1086,8789,796,3859,14531,7379403,John P. Fishwick Middle Roanoke City Public Schools
Morningside Elementary,Roanoke City Public Schools,261.82,2087,9394,796,3859,16136,4224809,Morningside Elementary Roanoke City Public Schools
Crystal Spring Elementary,Roanoke City Public Schools,320.72,1022,9127,796,3859,14803,4747774,Crystal Spring Elementary Roanoke City Public Schools
Garden City Elementary,Roanoke City Public Schools,276.6,1640,12151,796,3859,18446,5102271,Garden City Elementary Roanoke City Public Schools
Grandin Court Elementary,Roanoke City Public Schools,336.72,1944,8028,796,3859,14626,4924998,Grandin Court Elementary Roanoke City Public Schools
James Madison Middle,Roanoke City Public Schools,579.06,810,8175,796,3859,13640,7898172,James Madison Middle Roanoke City Public Schools
Patrick Henry High,Roanoke City Public Schools,1983.24,666,8084,796,3859,13405,26585418,Patrick Henry High Roanoke City Public Schools
Virginia Heights Elementary,Roanoke City Public Schools,285.05,1181,11504,796,3859,17340,4942747,Virginia Heights Elementary Roanoke City Public Schools
Wasena Elementary,Roanoke City Public Schools,222.34,1349,9214,796,3859,15219,3383765,Wasena Elementary Roanoke City Public Schools
Woodrow Wilson Middle,Roanoke City Public Schools,638.86,675,8481,796,3859,13811,8823115,Woodrow Wilson Middle Roanoke City Public Schools
Addison Aerospace Magnet Middle,Roanoke City Public Schools,591.51,1773,8617,796,3859,15045,8899352,Addison Aerospace Magnet Middle Roanoke City Public Schools
Highland Park Elementary,Roanoke City Public Schools,376.89,1603,7787,796,3859,14045,5293261,Highland Park Elementary Roanoke City Public Schools
Hurt Park Elementary,Roanoke City Public Schools,331.72,2056,10554,796,3859,17265,5727068,Hurt Park Elementary Roanoke City Public Schools
Fairview Elementary,Roanoke City Public Schools,509.15,1439,8247,796,3859,14342,7302162,Fairview Elementary Roanoke City Public Schools
Roanoke Academy For Mathematics & Science Elementary,Roanoke City Public Schools,398.6,2373,10581,796,3859,17608,7018668,Roanoke Academy For Mathematics & Science Elementary Roanoke City Public Schools
Westside Elementary,Roanoke City Public Schools,668.52,1306,8401,796,3859,14362,9601159,Westside Elementary Roanoke City Public Schools
William Fleming High,Roanoke City Public Schools,1781.38,918,8073,796,3859,13646,24309290,William Fleming High Roanoke City Public Schools
Fishburn Park Elementary,Roanoke City Public Schools,277.41,2109,10648,796,3859,17413,4830516,Fishburn Park Elementary Roanoke City Public Schools
Hilton Elementary,Scott County Public Schools,146.99,2260,11728,563,1774,16325,2399594,Hilton Elementary Scott County Public Schools
Duffield-Pattonsville Primary,Scott County Public Schools,286.79,1481,6229,563,1774,10047,2881271,Duffield-Pattonsville Primary Scott County Public Schools
Rye Cove High,Scott County Public Schools,252.89,692,8023,563,1774,11052,2794890,Rye Cove High Scott County Public Schools
Dungannon Elementary School,Scott County Public Schools,69.89,5055,11982,563,1774,19374,1354024,Dungannon Elementary School Scott County Public Schools
Gate City High,Scott County Public Schools,640.71,764,5956,563,1774,9057,5802863,Gate City High Scott County Public Schools
Shoemaker Elementary,Scott County Public Schools,513.35,1149,5794,563,1774,9279,4763573,Shoemaker Elementary Scott County Public Schools
Yuma Elementary,Scott County Public Schools,206.34,1544,6898,563,1774,10778,2223951,Yuma Elementary Scott County Public Schools
Weber City Elementary,Scott County Public Schools,336.5,1216,6056,563,1774,9609,3233465,Weber City Elementary Scott County Public Schools
Nickelsville Elementary,Scott County Public Schools,263.15,1980,6820,563,1774,11136,2930466,Nickelsville Elementary Scott County Public Schools
Twin Springs High,Scott County Public Schools,243.66,796,9436,563,1774,12570,3062708,Twin Springs High Scott County Public Schools
Gate City Middle,Scott County Public Schools,320.05,930,8649,563,1774,11916,3813593,Gate City Middle Scott County Public Schools
Rye Cove Intermediate,Scott County Public Schools,186.8,1257,7153,563,1774,10747,2007482,Rye Cove Intermediate Scott County Public Schools
Fort Blackmore Primary,Scott County Public Schools,62.32,3303,14519,563,1774,20159,1256306,Fort Blackmore Primary Scott County Public Schools
Atkins Elementary,Smyth County Public Schools,175.89,1409,7582,591,2766,12349,2172062,Atkins Elementary Smyth County Public Schools
Oak Point Elementary,Smyth County Public Schools,350.94,1556,9775,591,2766,14689,5154928,Oak Point Elementary Smyth County Public Schools
Chilhowie High,Smyth County Public Schools,413.39,565,7135,591,2766,11057,4570918,Chilhowie High Smyth County Public Schools
Northwood High,Smyth County Public Schools,239.23,1000,9259,591,2766,13617,3257685,Northwood High Smyth County Public Schools
Northwood Middle,Smyth County Public Schools,158.05,769,12699,591,2766,16825,2659193,Northwood Middle Smyth County Public Schools
Rich Valley Elementary,Smyth County Public Schools,123.61,2353,9309,591,2766,15019,1856547,Rich Valley Elementary Smyth County Public Schools
Chilhowie Elementary,Smyth County Public Schools,555.72,1194,6658,591,2766,11210,6229560,Chilhowie Elementary Smyth County Public Schools
Sugar Grove Elementary,Smyth County Public Schools,100.77,3424,10269,591,2766,17050,1718130,Sugar Grove Elementary Smyth County Public Schools
Marion Middle,Smyth County Public Schools,440.36,695,7542,591,2766,11594,5105715,Marion Middle Smyth County Public Schools
Saltville Elementary,Smyth County Public Schools,203.13,2391,9505,591,2766,15253,3098331,Saltville Elementary Smyth County Public Schools
Marion Elementary,Smyth County Public Schools,324.84,1242,6963,591,2766,11564,3756341,Marion Elementary Smyth County Public Schools
Chilhowie Middle,Smyth County Public Schools,289.93,1219,6730,591,2766,11308,3278435,Chilhowie Middle Smyth County Public Schools
Marion Senior High,Smyth County Public Schools,632.18,626,7818,591,2766,11802,7460745,Marion Senior High Smyth County Public Schools
Colonel Fred Cherry Middle,Suffolk City Public Schools,765.77,37,6269,579,4378,11263,8625176,Colonel Fred Cherry Middle Suffolk City Public Schools
Booker T. Washington Elementary,Suffolk City Public Schools,349.66,1456,9281,579,4378,15694,5487697,Booker T. Washington Elementary Suffolk City Public Schools
Elephant's Fork Elementary,Suffolk City Public Schools,553.01,1416,6387,579,4378,12760,7056132,Elephant's Fork Elementary Suffolk City Public Schools
Hillpoint Elementary,Suffolk City Public Schools,726.87,680,6018,579,4378,11655,8471639,Hillpoint Elementary Suffolk City Public Schools
John F. Kennedy Middle,Suffolk City Public Schools,521.37,332,8105,579,4378,13395,6983687,John F. Kennedy Middle Suffolk City Public Schools
Kilby Shores Elementary,Suffolk City Public Schools,475.11,737,7405,579,4378,13100,6223911,Kilby Shores Elementary Suffolk City Public Schools
King's Fork High,Suffolk City Public Schools,1638.96,152,6645,579,4378,11754,19263967,King's Fork High Suffolk City Public Schools
King's Fork Middle,Suffolk City Public Schools,1055.94,225,6603,579,4378,11785,12444165,King's Fork Middle Suffolk City Public Schools
Lakeland High,Suffolk City Public Schools,1057.82,218,7921,579,4378,13097,13854163,Lakeland High Suffolk City Public Schools
Mack Benn Jr. Elementary,Suffolk City Public Schools,663.6,1286,6356,579,4378,12600,8361068,Mack Benn Jr. Elementary Suffolk City Public Schools
Creekside Elementary,Suffolk City Public Schools,722.11,521,6305,579,4378,11783,8508703,Creekside Elementary Suffolk City Public Schools
Florence Bowser Elementary,Suffolk City Public Schools,785.58,895,5485,579,4378,11337,8906118,Florence Bowser Elementary Suffolk City Public Schools
Nansemond River High,Suffolk City Public Schools,1628.87,38,6634,579,4378,11630,18943263,Nansemond River High Suffolk City Public Schools
Northern Shores Elementary,Suffolk City Public Schools,795.05,602,5626,579,4378,11186,8893273,Northern Shores Elementary Suffolk City Public Schools
John Yeates Middle,Suffolk City Public Schools,483.15,241,8912,579,4378,14110,6817141,John Yeates Middle Suffolk City Public Schools
Nansemond Parkway Elementary,Suffolk City Public Schools,405.22,653,8780,579,4378,14390,5831288,Nansemond Parkway Elementary Suffolk City Public Schools
