Division Name,School Name,percentage_disadvantaged
Augusta County,Wilson Middle,0.43217665615141954
Bath County,Bath County High,0.5531914893617021
Bath County,Millboro Elementary,0.5957446808510638
Bath County,Valley Elementary,0.6416184971098265
Bedford County,Bedford Elementary,0.6453900709219859
Bedford County,Bedford Primary,0.64
Bedford County,Big Island Elementary,0.4726027397260274
Bedford County,Boonsboro Elementary,0.2088235294117647
Bedford County,Forest Elementary,0.14245014245014245
Bedford County,Forest Middle,0.23496027241770714
Bedford County,Goodview Elementary,0.5072463768115942
Bedford County,Huddleston Elementary,0.6175115207373272
Bedford County,Jefferson Forest High,1.0
Bedford County,Liberty High,0.48246844319775595
Bedford County,Liberty Middle,0.544280442804428
Bedford County,Moneta Elementary,0.5416666666666666
Bedford County,Montvale Elementary,0.5877551020408164
Bedford County,New London Academy Elementary,0.2389937106918239
Bedford County,Otter River Elementary,0.3473684210526316
Bedford County,Staunton River High,0.48313384113166485
Bedford County,Staunton River Middle,0.5376884422110553
Bedford County,Stewartsville Elementary,0.6647058823529411
Bedford County,Thomas Jefferson Elementary,0.24150943396226415
Bland County,Bland County Elementary,0.43515850144092216
Bland County,Bland County High,0.43548387096774194
Botetourt County,Breckinridge Elementary,0.3505747126436782
Botetourt County,Buchanan Elementary,0.36333333333333334
Botetourt County,Central Academy Middle,0.3333333333333333
Botetourt County,Cloverdale Elementary,0.25096525096525096
Botetourt County,Colonial Elementary,0.23636363636363636
Botetourt County,Eagle Rock Elementary,0.4921875
Botetourt County,Greenfield Elementary,0.2662037037037037
Botetourt County,James River High,0.22268907563025211
Botetourt County,Lord Botetourt High,0.20614469772051536
Botetourt County,Read Mountain Middle,0.25862068965517243
Botetourt County,Troutville Elementary,0.21235521235521235
Bristol City,Highland View Elementary,0.7845303867403315
Bristol City,Joseph Van Pelt Elementary,0.6437054631828979
Bristol City,Stonewall Jackson Elementary,0.5916666666666667
Bristol City,Virginia High,0.6291079812206573
Bristol City,Virginia Middle,0.7407407407407407
Bristol City,Washington-Lee Elementary,0.6781115879828327
Brunswick County,Brunswick High,0.7380410022779044
Brunswick County,James S. Russell Middle,0.7730061349693251
Brunswick County,Meherrin Powellton Elementary,0.6123595505617978
Brunswick County,Red Oak-Sturgeon Elementary,0.5911602209944752
Brunswick County,Totaro Elementary,0.5830508474576271
Buchanan County,Council Elementary/Middle,0.6384180790960452
Buchanan County,Council High,0.664
Buchanan County,Grundy High,0.5014084507042254
Buchanan County,Hurley Elementary/Middle,0.6410958904109589
Buchanan County,Hurley High,0.6009852216748769
Buchanan County,Riverview Elementary/Middle,0.5482093663911846
Buchanan County,Twin Valley Elementary/Middle,0.6366906474820144
Buchanan County,Twin Valley High,0.6313131313131313
Buckingham County,Buckingham Co Elementary,0.5679611650485437
Buckingham County,Buckingham Co Prekindergarten Center,0.48863636363636365
Buckingham County,Buckingham Co Primary,0.6336336336336337
Buckingham County,Buckingham County High,0.48322147651006714
Buckingham County,Buckingham County Middle,0.5654761904761905
Buena Vista City,Enderly Heights Elementary,0.5351351351351351
Buena Vista City,F.W. Kling Jr. Elementary,0.37339055793991416
Buena Vista City,Parry McCluer High,0.4434782608695652
Buena Vista City,Parry McCluer Middle,0.5
Campbell County,Altavista Elementary,0.5979591836734693
Campbell County,Altavista High,0.48148148148148145
Campbell County,Brookneal Elementary,0.6666666666666666
Campbell County,Brookville High,0.361
Campbell County,Brookville Middle,0.4032697547683924
Campbell County,Concord Elementary,0.43552311435523117
Campbell County,Leesville Road Elementary,0.45484949832775917
Campbell County,Rustburg Elementary,0.6141552511415526
Campbell County,Rustburg High,0.41739130434782606
Campbell County,Rustburg Middle,0.512396694214876
Campbell County,Tomahawk Elementary,0.430635838150289
Campbell County,William Campbell High,0.6142506142506142
Campbell County,Yellow Branch Elementary,0.5008912655971479
Caroline County,Bowling Green Elementary,0.5448369565217391
Caroline County,Caroline High,0.4376026272577997
Caroline County,Caroline Middle,0.44753086419753085
Caroline County,Lewis and Clark Elementary,0.3616532721010333
Caroline County,Madison Elementary,0.4988662131519274
Carroll County,Carroll County High,0.6093155893536122
Carroll County,Carroll County Middle,0.7467362924281984
Carroll County,Fancy Gap Elementary,0.5104895104895105
Carroll County,Gladesboro Elementary,0.6078431372549019
Carroll County,Gladeville Elementary,0.606425702811245
Carroll County,Hillsville Elementary,0.5907172995780591
Carroll County,Laurel Elementary,0.5458715596330275
Carroll County,Oakland Elementary,0.6598984771573604
Carroll County,St. Paul,0.6792452830188679
Charles City County,Charles City County Elementary,0.6027397260273972
Charles City County,Charles City County High,0.5550847457627118
Charlotte County,Bacon District Elementary,0.625
Charlotte County,Central Middle,0.49604221635883905
Charlotte County,Eureka Elementary,0.5578231292517006
Charlotte County,Phenix Elementary,0.5280373831775701
Charlotte County,Randolph-Henry High,0.49606299212598426
Charlottesville City,Buford Middle,0.5976627712854758
Charlottesville City,Burnley-Moran Elementary,0.3167701863354037
Charlottesville City,Charlottesville High,0.46147607461476076
Charlottesville City,Clark Elementary,0.5370370370370371
Charlottesville City,Greenbrier Elementary,0.36524822695035464
Charlottesville City,Jackson-Via Elementary,0.48
Charlottesville City,Johnson Elementary,0.31438127090301005
Charlottesville City,Venable Elementary,0.26501766784452296
Charlottesville City,Walker Upper Elementary,0.6003210272873194
Chesapeake City,B.M. Williams Primary,0.4642857142857143
Chesapeake City,Butts Road Intermediate,0.12965964343598055
Chesapeake City,Butts Road Primary,0.1299638989169675
Chesapeake City,Camelot Elementary,0.6480331262939959
Chesapeake City,Cedar Road Elementary,0.17375455650060753
Chesapeake City,Crestwood Intermediate,0.5805991440798859
Chesapeake City,Crestwood Middle,0.5970961887477314
Chesapeake City,Deep Creek Central Elementary,0.26453143534994067
Chesapeake City,Deep Creek Elementary,0.43896103896103894
Chesapeake City,Deep Creek High,0.4829059829059829
Chesapeake City,Deep Creek Middle,0.47381546134663344
Chesapeake City,Edwin W. Chittum Elementary,0.2134387351778656
Chesapeake City,G.A. Treakle Elementary,0.7268623024830699
Chesapeake City,George W. Carver Intermediate,0.7181996086105675
Chesapeake City,Georgetown Primary,0.5963431786216596
Chesapeake City,Grassfield Elementary,1.0
Chesapeake City,Grassfield High,1.0
Chesapeake City,Great Bridge High,1.0
Chesapeake City,Great Bridge Intermediate,0.21585903083700442
Chesapeake City,Great Bridge Middle,0.19071310116086235
Chesapeake City,Great Bridge Primary,0.1897590361445783
Chesapeake City,Greenbrier Intermediate,0.4855305466237942
Chesapeake City,Greenbrier Middle,0.475177304964539
Chesapeake City,Greenbrier Primary,0.3624260355029586
Chesapeake City,Hickory Elementary,0.1989342806394316
Chesapeake City,Hickory High,1.0
Chesapeake City,Hickory Middle,1.0
Chesapeake City,Hugo A. Owens Middle,0.3070507960576194
Chesapeake City,Indian River High,0.536283185840708
Chesapeake City,Indian River Middle,0.6271870794078062
Chesapeake City,Jolliff Middle,0.3954154727793696
Chesapeake City,Norfolk Highlands Primary,0.5238095238095238
Chesapeake City,Oscar F. Smith High,0.0
Chesapeake City,Oscar Smith Middle,0.754863813229572
Chesapeake City,Portlock Primary,0.6706689536878216
Chesapeake City,Rena B. Wright Primary,0.6791808873720137
Chesapeake City,Southeastern Elementary,0.15458937198067632
Chesapeake City,Southwestern Elementary,0.6058394160583942
Chesapeake City,Sparrow Road Intermediate,0.6680584551148225
Chesapeake City,Thurgood Marshall Elementary,0.7930232558139535
Chesapeake City,Truitt Intermediate,0.7946768060836502
Chesapeake City,Western Branch High,1.0
Chesapeake City,Western Branch Intermediate,0.5182186234817814
Chesapeake City,Western Branch Middle,0.43956043956043955
Chesapeake City,Western Branch Primary,0.4232309746328438
Chesterfield County,A.M. Davis Elementary,0.5421348314606742
Chesterfield County,Alberta Smith Elementary,0.2535885167464115
Chesterfield County,Bailey Bridge Middle,1.0
Chesterfield County,Bellwood Elementary,0.6584867075664622
Chesterfield County,Bensley Elementary,0.6084828711256117
Chesterfield County,Bettie Weaver Elementary,0.03951890034364261
Chesterfield County,Beulah Elementary,0.531540847983454
Chesterfield County,Bon Air Elementary,0.3756345177664975
Chesterfield County,C.C. Wells Elementary,0.3909657320872274
Chesterfield County,C.E. Curtis Elementary,0.5044510385756676
Chesterfield County,Carver College and Career Academy,0.6190476190476191
Chesterfield County,Carver Middle,0.5060352831940576
Chesterfield County,Chester Early Childhood Learning Academy,0.12753623188405797
Chesterfield County,Clover Hill Elementary,0.25255102040816324
Chesterfield County,Clover Hill High,1.0
Chesterfield County,Cosby High,1.0
Chesterfield County,Crestwood Elementary,0.391156462585034
Chesterfield County,Ecoff Elementary,0.4851351351351351
Chesterfield County,Elizabeth Davis Middle,0.3779342723004695
Chesterfield County,Elizabeth Scott Elementary,0.4821882951653944
Chesterfield County,Enon Elementary,0.3608521970705726
Chesterfield County,Ettrick Elementary,0.6816326530612244
Chesterfield County,Evergreen Elementary,0.23032407407407407
Chesterfield County,Falling Creek Elementary,0.699873896595208
Chesterfield County,Falling Creek Middle,0.5656909462219196
Chesterfield County,Grange Hall Elementary,0.11286681715575621
Chesterfield County,Greenfield Elementary,0.23983739837398374
Chesterfield County,Harrowgate Elementary,0.5229759299781181
Chesterfield County,Hopkins Road Elementary,0.5733512786002691
Chesterfield County,J.A. Chalkley Elementary,0.6793611793611793
Chesterfield County,J.B. Watkins Elementary,0.1302149178255373
Chesterfield County,J.G. Hening Elementary,0.5397796817625459
Chesterfield County,Jacobs Road Elementary,0.4201438848920863
Chesterfield County,James River High,1.0
Chesterfield County,Lloyd C. Bird High,1.0
Chesterfield County,Manchester High,1.0
Chesterfield County,Manchester Middle,0.4635879218472469
Chesterfield County,Marguerite F. Christian Elementary,0.593558282208589
Chesterfield County,Matoaca Elementary,0.44173913043478263
Chesterfield County,Matoaca High,1.0
Chesterfield County,Matoaca Middle,0.4134929270946681
Chesterfield County,Meadowbrook High,
Chesterfield County,Midlothian High,1.0
Chesterfield County,Midlothian Middle,1.0
Chesterfield County,Monacan High,1.0
Chesterfield County,O.B. Gates Elementary,0.34954954954954953
Chesterfield County,Old Hundred Elementary,0.10375275938189846
Chesterfield County,Providence Elementary,0.5095846645367412
Chesterfield County,Providence Middle,0.5419847328244275
Chesterfield County,Reams Road Elementary,0.4857142857142857
Chesterfield County,Robious Elementary,0.138763197586727
Chesterfield County,Robious Middle,0.2341717259323504
Chesterfield County,Salem Church Elementary,0.5791505791505791
Chesterfield County,Salem Church Middle,0.5432098765432098
Chesterfield County,Spring Run Elementary,0.18949771689497716
Chesterfield County,Swift Creek Elementary,0.20450885668276972
Chesterfield County,Swift Creek Middle,0.20487364620938628
Chesterfield County,Thelma Crenshaw Elementary,0.45170876671619614
Chesterfield County,Thomas Dale High,1.0
Chesterfield County,Tomahawk Creek Middle,1.0
Chesterfield County,W.W. Gordon Elementary,0.13941480206540446
Chesterfield County,Winterpock Elementary,1.0
Chesterfield County,Woolridge Elementary,0.07814407814407814
Clarke County,Boyce Elementary,0.32247557003257327
Clarke County,Clarke County High,0.2426470588235294
Clarke County,D.G. Cooley Elementary,0.3225058004640371
Clarke County,Johnson-Williams Middle,0.3405275779376499
Colonial Beach,Colonial Beach Elementary,0.6153846153846154
Colonial Beach,Colonial Beach High,0.5659574468085107
Colonial Heights City,Colonial Heights High,0.5323741007194245
Colonial Heights City,Colonial Heights Middle,0.5764525993883792
Colonial Heights City,Lakeview Elementary,0.5805626598465473
Colonial Heights City,North Elementary,0.5862068965517241
Colonial Heights City,Tussing Elementary,0.49829931972789115
Covington City,Covington High,0.45558739255014324
Covington City,Edgemont Primary,0.06984126984126984
Covington City,Jeter-Watson Intermediate,0.271523178807947
Craig County,Craig County High,0.48333333333333334
Craig County,McCleary Elementary,0.5586854460093896
Culpeper County,A.G. Richardson Elementary,0.38191881918819187
Culpeper County,Culpeper County High,0.413477537437604
Culpeper County,Culpeper Middle,0.4809090909090909
Culpeper County,Eastern View High,0.4547787042976267
Culpeper County,Emerald Hill Elementary,0.3522561863173217
Culpeper County,Farmington Elementary,0.6639511201629328
Culpeper County,Floyd T. Binns Middle,0.5550239234449761
Culpeper County,Galbreath-Marshall Building,
Culpeper County,Pearl Sample Elementary,0.5525876460767947
Culpeper County,Sycamore Park Elementary,0.6752873563218391
Culpeper County,Yowell Elementary,0.4915514592933948
Cumberland County,Cumberland Elementary,0.5853658536585366
Cumberland County,Cumberland High,0.5444743935309974
Cumberland County,Cumberland Middle,0.6
Danville City,Edwin A. Gibson Elementary,0.09176029962546817
Danville City,Forest Hills Elementary,0.26666666666666666
Danville City,G.L.H. Johnson Elementary,0.0872093023255814
Danville City,Galileo Magnet High,0.0398406374501992
Danville City,George Washington High,1.0
Danville City,Grove Park Preschool,0.0
Danville City,O. Trent Bonner Middle,0.12396694214876033
Danville City,Park Avenue Elementary,0.06345177664974619
Danville City,Schoolfield Elementary,0.0992063492063492
Danville City,The Northside Preschool,0.0
Danville City,Westwood Middle,0.11764705882352941
Danville City,Woodberry Hills Elementary,0.10579345088161209
Dickenson County,Clintwood Elementary,0.3971631205673759
Dickenson County,Ervinton Elementary,0.44755244755244755
Dickenson County,Ridgeview High,0.5049833887043189
Dickenson County,Ridgeview Middle,0.47044917257683216
Dickenson County,Sandlick Elementary,0.4144385026737968
Dinwiddie County,Dinwiddie County High,0.605242868157286
Dinwiddie County,Dinwiddie County Middle,0.932620320855615
Dinwiddie County,Dinwiddie Elementary,0.7953216374269005
Dinwiddie County,Midway Elementary,0.8770949720670391
Dinwiddie County,Southside Elementary,0.7758241758241758
Dinwiddie County,Sunnyside Elementary,0.7908745247148289
Dinwiddie County,Sutherland Elementary,0.7959183673469388
Essex County,Essex High,0.6338582677165354
Essex County,James H. Cary Intermediate,0.7095890410958904
Essex County,Tappahannock Elementary,0.25576923076923075
Fairfax County,Aldrin Elementary,0.16500994035785288
Fairfax County,Annandale High,0.0
Fairfax County,Annandale Terrace Elementary,0.7449768160741885
Fairfax County,Archer Elementary,0.09803921568627451
Fairfax County,Armstrong Elementary,0.15168539325842698
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.5791457286432161
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.6782273603082851
Fairfax County,Beech Tree Elementary,0.5753424657534246
Fairfax County,Belle View Elementary,0.35990338164251207
Fairfax County,Belvedere Elementary,0.5144404332129964
Fairfax County,Bonnie Brae Elementary,0.1977329974811083
Fairfax County,Braddock Elementary,0.7246207701283547
Fairfax County,Bren Mar Park Elementary,0.5434298440979956
Fairfax County,Brookfield Elementary,0.6459459459459459
Fairfax County,Bryant High,0.7142857142857143
Fairfax County,Bucknell Elementary,0.6168582375478927
Fairfax County,Bull Run Early Childhood Resource Center,0.0
Fairfax County,Bull Run Elementary,0.3774373259052925
Fairfax County,Bush Hill Elementary,0.24294670846394983
Fairfax County,Camelot Elementary,0.3707482993197279
Fairfax County,Cameron Elementary,0.5833333333333334
Fairfax County,Canterbury Woods Elementary,0.14303959131545338
