Division Name,School Name,chronic_absenteeism_rate
Hampton City,Bethel High,0.20809999999999998
York County,Bethel Manor Elementary,0.09
Chesterfield County,Bettie Weaver Elementary,0.0172
Chesterfield County,Beulah Elementary,0.1703
Augusta County,Beverley Manor Middle,0.2321
Bedford County,Big Island Elementary,0.1517
Richmond City,Binford Middle,0.1351
Virginia Beach City,Birdneck Elementary,0.2627
Montgomery County,Blacksburg High,0.1457
Montgomery County,Blacksburg Middle,0.1398
Nottoway County,Blackstone Primary,0.2255
Richmond City,Blackwell Elementary,0.3718
Norfolk City,Blair Middle,0.1315
Bland County,Bland County High,0.1317
Patrick County,Blue Ridge Elementary,0.1471
Loudoun County,Blue Ridge Middle,0.10460000000000001
Harrisonburg City,Bluestone Elementary,0.23929999999999998
Chesterfield County,Bon Air Elementary,0.11630000000000001
Fairfax County,Bonnie Brae Elementary,0.1151
Roanoke County,Bonsack Elementary,0.0464
Norfolk City,Booker T Washington High,0.1521
Suffolk City,Booker T. Washington Elementary,0.3379
Franklin County,Boones Mill Elementary,0.076
Bedford County,Boonsboro Elementary,0.0546
Gloucester County,Botetourt Elementary,0.12269999999999999
Caroline County,Bowling Green Elementary,0.2572
Clarke County,Boyce Elementary,0.2939
Fairfax County,Braddock Elementary,0.2691
Loudoun County,Brambleton Middle,0.0666
Virginia Beach City,Brandon Middle,0.14029999999999998
Botetourt County,Breckinridge Elementary,0.10060000000000001
Roanoke City,Breckinridge Middle,0.2743
Fairfax County,Bren Mar Park Elementary,0.18710000000000002
Prince William County,Brentsville District High,0.2413
Prince William County,Bristow Run Elementary,0.0883
Richmond City,Broad Rock Elementary,0.24719999999999998
Loudoun County,Broad Run High,0.1416
Albemarle County,Broadus Wood Elementary,0.1406
Rockingham County,Broadway High,0.33049999999999996
Spotsylvania County,Brock Road Elementary,0.2377
Stafford County,Brooke Point High,0.2236
Fairfax County,Brookfield Elementary,0.1791
Henrico County,Brookland Middle,0.2257
Campbell County,Brookneal Elementary,0.2054
Campbell County,Brookville High,0.2057
Campbell County,Brookville Middle,0.153
Virginia Beach City,Brookwood Elementary,0.21420000000000003
Albemarle County,Brownsville Elementary,0.0637
Brunswick County,Brunswick High,0.1524
York County,Bruton High,0.1753
Fairfax County,Bryant High,0.8012999999999999
Botetourt County,Buchanan Elementary,0.06709999999999999
Buckingham County,Buckingham Co Elementary,0.223
Buckingham County,Buckingham County High,0.34
Buckingham County,Buckingham County Middle,0.3036
Prince William County,Buckland Mills Elementary,0.1105
Fairfax County,Bucknell Elementary,0.2273
Augusta County,Buffalo Gap High,0.2116
Loudoun County,Buffalo Trail Elementary,0.09910000000000001
Charlottesville City,Buford Middle,0.2416
Fairfax County,Bull Run Elementary,0.1578
Prince William County,Bull Run Middle,0.18600000000000003
Roanoke County,Burlington Elementary,0.133
Charlottesville City,Burnley-Moran Elementary,0.061900000000000004
Franklin County,Burnt Chimney Elementary,0.10039999999999999
Fairfax County,Bush Hill Elementary,0.08130000000000001
Chesapeake City,Butts Road Intermediate,0.0736
Goochland County,Byrd Elementary,0.12960000000000002
Hampton City,C. Alton Lindsay Middle,0.2699
Fauquier County,C. Hunter Ritchie Elementary,0.07429999999999999
Prince William County,C.A. Sinclair Elementary,0.2078
Chesterfield County,C.C. Wells Elementary,0.15839999999999999
Prince William County,C.D. Hylton High,0.2924
Chesterfield County,C.E. Curtis Elementary,0.16690000000000002
Fauquier County,C.M. Bradley Elementary,0.1283
Alleghany Highlands,Callaghan Elementary,0.45799999999999996
Franklin County,Callaway Elementary,0.1
Fairfax County,Camelot Elementary,0.1578
Chesapeake City,Camelot Elementary,0.3184
Fairfax County,Cameron Elementary,0.2159
Norfolk City,Camp Allen Elementary,0.1727
Henry County,Campbell Court Elementary,0.0977
Arlington County,Campbell Elementary,0.0974
Fairfax County,Canterbury Woods Elementary,0.066
Southampton County,Capron Elementary,0.15
Hampton City,Captain John Smith Elementary,0.25
Arlington County,Cardinal Elementary,0.0121
Richmond City,Cardinal Elementary,0.198
Fairfax County,Cardinal Forest Elementary,0.17629999999999998
Arlington County,Carlin Springs Elementary,0.12050000000000001
Caroline County,Caroline High,0.3579
Caroline County,Caroline Middle,0.27940000000000004
Carroll County,Carroll County High,0.1383
Carroll County,Carroll County Middle,0.1481
Isle of Wight County,Carrollton Elementary,0.2119
Isle of Wight County,Carrsville Elementary,0.1454
Fairfax County,Carson Middle,0.1093
Hopewell City,Carter G. Woodson Middle,0.24739999999999998
Chesterfield County,Carver College and Career Academy,0.5622
Newport News City,Carver Elementary,0.18489999999999998
Chesterfield County,Carver Middle,0.2962
Fluvanna County,Carysbrook Elementary,0.3215
Henrico County,Cashell Donahoe Elementary,0.1862
Augusta County,Cassell Elementary,0.1516
Russell County,Castlewood Elementary,0.20620000000000002
Russell County,Castlewood High,0.3057
Loudoun County,Catoctin Elementary,0.1195
Roanoke County,Cave Spring Elementary,0.07200000000000001
Roanoke County,Cave Spring High,0.1748
Roanoke County,Cave Spring Middle,0.12390000000000001
Tazewell County,Cedar Bluff Elementary,0.272
Spotsylvania County,Cedar Forest Elementary,0.207
Loudoun County,Cedar Lane Elementary,0.1245
Fauquier County,Cedar Lee Middle,0.07400000000000001
Prince William County,Cedar Point Elementary,0.08
Chesapeake City,Cedar Road Elementary,0.11460000000000001
Virginia Beach City,Centerville Elementary,0.106
Botetourt County,Central Academy Middle,0.07429999999999999
Rockbridge County,Central Elementary,0.22940000000000002
Amherst County,Central Elementary,0.1291
Lunenburg County,Central High,0.12390000000000001
Wise County,Central High,0.268
Shenandoah County,Central High,0.3507
King and Queen County,Central High,0.2852
Charlotte County,Central Middle,0.2643
Fairfax County,Centre Ridge Elementary,0.1866
Fairfax County,Centreville Elementary,0.1308
Fairfax County,Centreville High,0.1769
Hampton City,Cesar Tarrant Middle,0.1094
Henrico County,Chamberlayne Elementary,0.2207
Spotsylvania County,Chancellor Elementary,0.1638
Spotsylvania County,Chancellor High,0.312
Spotsylvania County,Chancellor Middle,0.2839
Fairfax County,Chantilly High,0.16440000000000002
Alexandria City,Charles Barrett Elementary,0.168
Charles City County,Charles City County Elementary,0.2975
Charles City County,Charles City County High,0.47700000000000004
Prince William County,Charles J. Colgan Sr. High,0.2365
Henrico County,Charles M. Johnson Elementary,0.14980000000000002
Charlottesville City,Charlottesville High,0.25489999999999996
Mecklenburg County,Chase City Elementary,0.2556
Pittsylvania County,Chatham Elementary,0.2077
Pittsylvania County,Chatham High,0.19219999999999998
Pittsylvania County,Chatham Middle,0.19690000000000002
Floyd County,Check Elementary,0.348
Fairfax County,Cherry Run Elementary,0.0825
Fairfax County,Chesterbrook Elementary,0.052199999999999996
Norfolk City,Chesterfield Elementary,0.41600000000000004
Hanover County,Chickahominy Middle,0.0434
Smyth County,Chilhowie Elementary,0.2186
Smyth County,Chilhowie High,0.1825
Smyth County,Chilhowie Middle,0.2027
Richmond City,Chimborazo Elementary,0.33520000000000005
Accomack County,Chincoteague Elementary,0.12210000000000001
Accomack County,Chincoteague High,0.1241
Prince William County,Chris Yung Elementary,0.14300000000000002
Montgomery County,Christiansburg Elementary,0.1465
Montgomery County,Christiansburg High,0.2752
Montgomery County,Christiansburg Middle,0.2526
Virginia Beach City,Christopher Farms Elementary,0.1272
Fairfax County,Churchill Road Elementary,0.0338
Portsmouth City,Churchland Academy Elementary,0.19940000000000002
Portsmouth City,Churchland Elementary,0.1437
Portsmouth City,Churchland High,0.2134
Portsmouth City,Churchland Middle,0.3214
Portsmouth City,Churchland Primary & Intermediate,0.22089999999999999
Augusta County,Churchville Elementary,0.12369999999999999
Williamsburg-James City County,Clara Byrd Baker Elementary,0.10339999999999999
Arlington County,Claremont Immersion,0.08449999999999999
Charlottesville City,Clark Elementary,0.2634
Clarke County,Clarke County High,0.263
Mecklenburg County,Clarksville Elementary,0.2633
Fauquier County,Claude Thompson Elementary,0.1698
Halifax County,Clays Mill Elementary,0.5407
Roanoke County,Clearbrook Elementary,0.0806
Fairfax County,Clearview Elementary,0.1716
Fairfax County,Clermont Elementary,0.07429999999999999
Alleghany Highlands,Clifton Middle,0.41490000000000005
Dickenson County,Clintwood Elementary,0.3995
Chesterfield County,Clover Hill Elementary,0.1266
Chesterfield County,Clover Hill High,0.2267
Botetourt County,Cloverdale Elementary,0.0646
Halifax County,Cluster Springs Elementary,0.441
Fairfax County,Coates Elementary,0.2815
Wise County,Coeburn Middle,0.12539999999999998
Wise County,Coeburn Primary,0.1328
Hanover County,Cold Harbor Elementary,0.0785
Norfolk City,Coleman Place Elementary,0.20550000000000002
Prince William County,Coles Elementary,0.1165
Virginia Beach City,College Park Elementary,0.1963
Suffolk City,Colonel Fred Cherry Middle,0.1643
Colonial Beach,Colonial Beach Elementary,0.1261
Colonial Beach,Colonial Beach High,0.1472
Botetourt County,Colonial Elementary,0.0653
Stafford County,Colonial Forge High,0.1841
Colonial Heights City,Colonial Heights High,0.07780000000000001
Colonial Heights City,Colonial Heights Middle,0.2373
Henrico County,Colonial Trail Elementary,0.0767
Fairfax County,Columbia Elementary,0.1304
Fairfax County,Colvin Run Elementary,0.038
Albemarle County,Community Lab School,0.08990000000000001
Campbell County,Concord Elementary,0.08220000000000001
Stafford County,Conway Elementary,0.15710000000000002
Hanover County,Cool Spring Elementary,0.0296
Petersburg City,Cool Spring Elementary,0.3071
Loudoun County,Cool Spring Elementary,0.15289999999999998
Fairfax County,Cooper Middle,0.08109999999999999
Westmoreland County,Cople Elementary,0.1367
Alexandria City,Cora Kelly School for Math Science and Technology,0.24710000000000001
Virginia Beach City,Corporate Landing Elementary,0.1602
Virginia Beach City,Corporate Landing Middle,0.22899999999999998
Chesterfield County,Cosby High,0.09970000000000001
Buchanan County,Council Elementary/Middle,0.3558
Loudoun County,Countryside Elementary,0.1793
Spotsylvania County,Courthouse Road Elementary,0.2102
Spotsylvania County,Courtland Elementary,0.1809
Spotsylvania County,Courtland High,0.31629999999999997
York County,Coventry Elementary,0.114
Alleghany Highlands,Covington High,0.3909
Prince William County,Covington-Harper Elementary,0.13390000000000002
Portsmouth City,Cradock Elementary,0.3386
Portsmouth City,Cradock Middle,0.2882
Craig County,Craig County High,0.3605
Augusta County,Craigsville Elementary,0.1475
Virginia Beach City,Creeds Elementary,0.0924
Suffolk City,Creekside Elementary,0.1654
Loudoun County,Creighton's Corner Elementary,0.147
Henrico County,Crestview Elementary,0.1161
Fairfax County,Crestwood Elementary,0.2072
Chesterfield County,Crestwood Elementary,0.1489
Chesapeake City,Crestwood Intermediate,0.2107
Chesapeake City,Crestwood Middle,0.1705
Nottoway County,Crewe Primary,0.25
Newport News City,Crittenden Middle,0.1902
Pulaski County,Critzer Elementary,0.2157
Fairfax County,Crossfield Elementary,0.1051
Norfolk City,Crossroads PreK-8 School,0.17739999999999997
Albemarle County,Crozet Elementary,0.0967
Roanoke City,Crystal Spring Elementary,0.102
Fairfax County,Cub Run Elementary,0.15
Rockingham County,Cub Run Elementary,0.2488
Culpeper County,Culpeper County High,0.4042
Culpeper County,Culpeper Middle,0.306
Cumberland County,Cumberland Elementary,0.4682
Cumberland County,Cumberland High,0.2812
Cumberland County,Cumberland Middle,0.2521
Fairfax County,Cunningham Park Elementary,0.12210000000000001
Clarke County,D.G. Cooley Elementary,0.1778
Williamsburg-James City County,D.J. Montague Elementary,0.1198
Prince William County,Dale City Elementary,0.2306
Washington County,Damascus Middle,0.2515
Pittsylvania County,Dan River High,0.2638
Pittsylvania County,Dan River Middle,0.1332
Winchester City,Daniel Morgan Intermediate,0.2555
Winchester City,Daniel Morgan Middle,0.20190000000000002
Fairfax County,Daniels Run Elementary,0.1675
York County,Dare Elementary,0.0947
Newport News City,David A. Dutrow Elementary,0.1711
Prince George County,David A. Harrison Elementary,0.33049999999999996
Chesapeake City,Deep Creek Central Elementary,0.1751
Chesapeake City,Deep Creek Elementary,0.252
Chesapeake City,Deep Creek High,0.2016
Chesapeake City,Deep Creek Middle,0.16940000000000002
Henrico County,Deep Run High,0.08960000000000001
Fairfax County,Deer Park Elementary,0.12140000000000001
Newport News City,Deer Park Elementary,0.049800000000000004
Newport News City,Denbigh High,0.278
Dinwiddie County,Dinwiddie County High,0.3685
Dinwiddie County,Dinwiddie County Middle,0.3073
Dinwiddie County,Dinwiddie Elementary,0.2194
Arlington County,Discovery Elementary,0.0292
Loudoun County,Discovery Elementary,0.11689999999999999
Newport News City,Discovery STEM Academy,0.2942
Fairfax County,Dogwood Elementary,0.2893
Loudoun County,Dominion High,0.21600000000000003
Loudoun County,Dominion Trail Elementary,0.1411
Stafford County,Donald B. Dixon-Lyle R. Smith Middle,0.145
Arlington County,Dorothy Hamm Middle,0.0453
Alexandria City,Douglas MacArthur Elementary,0.1612
Henrico County,Douglas S. Freeman High,0.20370000000000002
Portsmouth City,Douglass Park Elementary,0.3588
Arlington County,Dr. Charles R. Drew Elementary,0.2365
Fairfax County,Dranesville Elementary,0.16870000000000002
Henry County,Drewry Mason Elementary,0.16920000000000002
Lee County,Dryden Elementary,0.3084
Pulaski County,Dublin Elementary,0.1447
Franklin County,Dudley Elementary,0.1759
Scott County,Duffield-Pattonsville Primary,0.11019999999999999
Henrico County,Dumbarton Elementary,0.29719999999999996
Prince William County,Dumfries Elementary,0.2651
Scott County,Dungannon Elementary School,0.2143
Hopewell City,Dupont Elementary,0.5813
Warren County,E. Wilson Morrison Elementary,0.3086
Washington County,E.B. Stanley Middle,0.2375
Prince William County,E.H. Marsteller Middle,0.1275
Loudoun County,Eagle Ridge Middle,0.0683
Botetourt County,Eagle Rock Elementary,0.1284
Fairfax County,Eagle View Elementary,0.1892
Rockingham County,East Rockingham High,0.418
Salem City,East Salem Elementary,0.19260000000000002
Montgomery County,Eastern Montgomery Elementary,0.1818
Montgomery County,Eastern Montgomery High,0.2826
Culpeper County,Eastern View High,0.4302
Wise County,Eastside High,0.3056
Henrico County,Echo Lake Elementary,0.10710000000000001
Chesterfield County,Ecoff Elementary,0.1827
Fairfax County,Edison High,0.1612
Stafford County,Edward E. Drew Jr. Middle,0.1344
Augusta County,Edward G. Clymore Elementary,0.125
Greensville County,Edward W. Wyatt Middle,0.21539999999999998
Danville City,Edwin A. Gibson Elementary,0.2768
Chesapeake City,Edwin W. Chittum Elementary,0.1058
Suffolk City,Elephant's Fork Elementary,0.2753
Richmond City,Elizabeth D. Redd Elementary,0.24480000000000002
Chesterfield County,Elizabeth Davis Middle,0.226
Henrico County,Elizabeth Holladay Elementary,0.209
Chesterfield County,Elizabeth Scott Elementary,0.11460000000000001
Prince William County,Elizabeth Vaughan Elementary,0.25670000000000004
Lee County,Elk Knob Elementary,0.29760000000000003
Henrico County,Elko Middle,0.27190000000000003
Rockingham County,Elkton Elementary,0.0664
Rockingham County,Elkton Middle,0.2987
Hanover County,Elmont Elementary,0.1048
Amherst County,Elon Elementary,0.092
Lee County,Elydale Middle,0.1399
Culpeper County,Emerald Hill Elementary,0.301
Loudoun County,Emerick Elementary,0.054900000000000004
Buena Vista City,Enderly Heights Elementary,0.2011
Chesterfield County,Enon Elementary,0.1444
Prince William County,Enterprise Elementary,0.168
Dickenson County,Ervinton Elementary,0.42979999999999996
Arlington County,Escuela Key Elementary,0.0441
Essex County,Essex High,0.36329999999999996
Newport News City,Ethel M. Gildersleeve Middle,0.1744
Chesterfield County,Ettrick Elementary,0.2296
Charlotte County,Eureka Elementary,0.1746
Frederick County,Evendale Elementary,0.1602
Chesterfield County,Evergreen Elementary,0.09939999999999999
Loudoun County,Evergreen Mill Elementary,0.1109
Henrico County,Fair Oaks Elementary,0.3421
Fairfax County,Fairfax High,0.15710000000000002
Fairfax County,Fairfax Villa Elementary,0.1042
Richmond City,Fairfield Court Elementary,0.44789999999999996
Virginia Beach City,Fairfield Elementary,0.1268
Rockbridge County,Fairfield Elementary,0.162
Henrico County,Fairfield Middle,0.3043
Fairfax County,Fairhill Elementary,0.1185
Fairfax County,Fairview Elementary,0.11109999999999999
Roanoke City,Fairview Elementary,0.21600000000000003
Grayson County,Fairview Elementary,0.061200000000000004
Montgomery County,Falling Branch Elementary,0.16570000000000001
Chesterfield County,Falling Creek Elementary,0.218
Chesterfield County,Falling Creek Middle,0.3235
Roanoke City,Fallon Park Elementary,0.2057
Fairfax County,Falls Church High,0.2298
Stafford County,Falmouth Elementary,0.2248
Carroll County,Fancy Gap Elementary,0.1484
Prince William County,Fannie W. Fitzgerald Elementary,0.15380000000000002
Culpeper County,Farmington Elementary,0.2778
Loudoun County,Farmwell Station Middle,0.1253
Fauquier County,Fauquier High,0.198
Prince William County,Featherstone Elementary,0.2685
Alexandria City,Ferdinand T. Day Elementary,0.2688
Franklin County,Ferrum Elementary,0.1376
Stafford County,Ferry Farm Elementary,0.1368
Virginia Beach City,First Colonial High,0.3002
Roanoke City,Fishburn Park Elementary,0.1435
Powhatan County,Flat Rock Elementary,0.0741
Lee County,Flatwoods Elementary,0.25379999999999997
Fairfax County,Flint Hill Elementary,0.09119999999999999
Suffolk City,Florence Bowser Elementary,0.2003
Fairfax County,Floris Elementary,0.1038
Floyd County,Floyd County High,0.2463
Floyd County,Floyd Elementary,0.34840000000000004
Virginia Beach City,Floyd Kellam High,0.1523
Culpeper County,Floyd T. Binns Middle,0.36
Fluvanna County,Fluvanna County High,0.4986
Fluvanna County,Fluvanna Middle,0.3166
Fairfax County,Forest Edge Elementary,0.1305
Bedford County,Forest Elementary,0.0833
Suffolk City,Forest Glen Middle,0.292
Loudoun County,Forest Grove Elementary,0.1026
Danville City,Forest Hills Elementary,0.0727
Bedford County,Forest Middle,0.0761
Prince William County,Forest Park High,0.2327
Fairfax County,Forestdale Elementary,0.2751
Fairfax County,Forestville Elementary,0.0452
Fairfax County,Fort Belvoir Upper Elementary,0.1523
Scott County,Fort Blackmore Primary,0.3667
Wythe County,Fort Chiswell High,0.4282
Wythe County,Fort Chiswell Middle,0.3258
Augusta County,Fort Defiance High,0.1618
Fairfax County,Fort Hunt Elementary,0.11699999999999999
Roanoke County,Fort Lewis Elementary,0.08259999999999999
Fairfax County,Fox Mill Elementary,0.0809
Loudoun County,Frances Hazel Reid Elementary,0.10800000000000001
Hampton City,Francis Asbury Elementary,0.2162
Alexandria City,Francis C. Hammond Middle,0.0971
Hampton City,Francis W. Jones Magnet Middle,0.1266
Fairfax County,Franconia Elementary,0.1439
Virginia Beach City,Frank W. Cox High,0.2607
Franklin County,Franklin County High,0.1856
Franklin City,Franklin High,0.4407
Fairfax County,Franklin Middle,0.1188
Richmond City,Franklin Military Academy,0.1161
Prince William County,Fred M. Lynn Middle,0.24760000000000001
Frederick County,Frederick County Middle,0.1928
Loudoun County,Frederick Douglass Elementary,0.1514
Winchester City,Frederick Douglass Elementary,0.2
Fairfax County,Freedom Hill Elementary,0.1646
Spotsylvania County,Freedom Middle,0.1791
Grayson County,Fries Elementary,0.2361
Fairfax County,Frost Middle,0.0819
Rockingham County,Fulks Run Elementary,0.2893
Chesapeake City,G.A. Treakle Elementary,0.2824
Richmond City,G.H. Reid Elementary,0.23739999999999997
Danville City,G.L.H. Johnson Elementary,0.1984
Salem City,G.W. Carver Elementary,0.2095
Frederick County,Gainesboro Elementary,0.1955
Prince William County,Gainesville High,0.1813
Prince William County,Gainesville Middle,0.0774
Galax City,Galax Elementary,0.1589
Galax City,Galax High,0.23420000000000002
Galax City,Galax Middle,0.1374
Danville City,Galileo Magnet High,0.0653
Prince William County,Gar-Field High,0.42
Roanoke City,Garden City Elementary,0.1653
Fairfax County,Garfield Elementary,0.17059999999999997
Winchester City,Garland R. Quarles Elementary,0.21539999999999998
Stafford County,Garrisonville Elementary,0.1199
Scott County,Gate City High,0.259
Scott County,Gate City Middle,0.20629999999999998
Henrico County,Gayton Elementary,0.044199999999999996
Newport News City,General Stanford Elementary,0.1166
Manassas City,George Carr Round Elementary,0.0946
Henrico County,George F. Baker Elementary,0.17809999999999998
Prince William County,George G. Tyler Elementary,0.0953
Henrico County,George H. Moody Middle,0.1329
Prince William County,George M. Hampton Middle,0.2484
Alexandria City,George Mason Elementary,0.15380000000000002
Prince William County,George P. Mullen Elementary,0.2585
Hampton City,George P. Phenix Elementary,0.1026
Richmond City,George W. Carver Elementary,0.516
Chesapeake City,George W. Carver Intermediate,0.2198
New Kent County,George W. Watkins Elementary,0.2351
Danville City,George Washington High,0.41009999999999996
Alexandria City,George Washington Middle,0.0907
Wythe County,George Wythe High,0.32409999999999994
Richmond City,George Wythe High,0.34259999999999996
Chesapeake City,Georgetown Primary,0.392
Isle of Wight County,Georgie D. Tyler Middle,0.44920000000000004
Norfolk City,Ghent K-8,0.1032
Montgomery County,Gilbert Linkous Elementary,0.0594
Giles County,Giles High,0.1801
Richmond City,Ginter Park Elementary,0.1788
Franklin County,Glade Hill Elementary,0.2591
Washington County,Glade Spring Middle,0.18280000000000002
Carroll County,Gladesboro Elementary,0.1124
Carroll County,Gladeville Elementary,0.1281
Fairfax County,Glasgow Middle,0.1884
Arlington County,Glebe Elementary,0.0435
Henrico County,Glen Allen Elementary,0.0949
Henrico County,Glen Allen High,0.1517
Roanoke County,Glen Cove Elementary,0.1094
Fairfax County,Glen Forest Elementary,0.22760000000000002
Henrico County,Glen Lea Elementary,0.37770000000000004
Prince William County,Glenkirk Elementary,0.0943
Roanoke County,Glenvar Elementary,0.0818
Roanoke County,Glenvar High,0.15810000000000002
Roanoke County,Glenvar Middle,0.11710000000000001
Virginia Beach City,Glenwood Elementary,0.12689999999999999
Gloucester County,Gloucester High,0.16219999999999998
Goochland County,Goochland Elementary,0.12269999999999999
Goochland County,Goochland High,0.1485
Goochland County,Goochland Middle,0.1137
Bedford County,Goodview Elementary,0.1754
Orange County,Gordon-Barbour Elementary,0.3191
Loudoun County,Goshen Post Elementary,0.1297
Fauquier County,Grace Miller Elementary,0.16940000000000002
York County,Grafton Bethel Elementary,0.0968
York County,Grafton High,0.1393
York County,Grafton Middle,0.1321
Stafford County,Grafton Village Elementary,0.14029999999999998
Tazewell County,Graham High,0.2927
Tazewell County,Graham Intermediate,0.20850000000000002
Tazewell County,Graham Middle,0.2843
Prince William County,Graham Park Middle,0.2148
Fairfax County,Graham Road Elementary,0.2465
Norfolk City,Granby Elementary,0.2556
