Division Name,School Name,percentage_male
Augusta County,Wilson Memorial High,0.49817739975698666
Augusta County,Wilson Middle,0.526813880126183
Bath County,Bath County High,0.48936170212765956
Bath County,Millboro Elementary,0.425531914893617
Bath County,Valley Elementary,0.5317919075144508
Bedford County,Bedford Elementary,0.5153664302600472
Bedford County,Bedford Primary,0.4763636363636364
Bedford County,Big Island Elementary,0.4931506849315068
Bedford County,Boonsboro Elementary,0.5088235294117647
Bedford County,Forest Elementary,0.4586894586894587
Bedford County,Forest Middle,0.5334846765039728
Bedford County,Goodview Elementary,0.5238095238095238
Bedford County,Huddleston Elementary,0.5207373271889401
Bedford County,Jefferson Forest High,0.5027279812938426
Bedford County,Liberty High,0.5035063113604488
Bedford County,Liberty Middle,0.5479704797047971
Bedford County,Moneta Elementary,0.5740740740740741
Bedford County,Montvale Elementary,0.5183673469387755
Bedford County,New London Academy Elementary,0.5220125786163522
Bedford County,Otter River Elementary,0.5684210526315789
Bedford County,Staunton River High,0.5331882480957563
Bedford County,Staunton River Middle,0.5142378559463987
Bedford County,Stewartsville Elementary,0.47352941176470587
Bedford County,Thomas Jefferson Elementary,0.5169811320754717
Bland County,Bland County Elementary,0.5187319884726225
Bland County,Bland County High,0.5026881720430108
Botetourt County,Breckinridge Elementary,0.5632183908045977
Botetourt County,Buchanan Elementary,0.51
Botetourt County,Central Academy Middle,0.4789915966386555
Botetourt County,Cloverdale Elementary,0.5
Botetourt County,Colonial Elementary,0.5386363636363637
Botetourt County,Eagle Rock Elementary,0.4453125
Botetourt County,Greenfield Elementary,0.5462962962962963
Botetourt County,James River High,0.542016806722689
Botetourt County,Lord Botetourt High,0.5163528245787908
Botetourt County,Read Mountain Middle,0.4843260188087774
Botetourt County,Troutville Elementary,0.5135135135135135
Bristol City,Highland View Elementary,0.5248618784530387
Bristol City,Joseph Van Pelt Elementary,0.47743467933491684
Bristol City,Stonewall Jackson Elementary,0.5625
Bristol City,Virginia High,0.514866979655712
Bristol City,Virginia Middle,0.5041152263374485
Bristol City,Washington-Lee Elementary,0.48068669527896996
Brunswick County,Brunswick High,0.5216400911161732
Brunswick County,James S. Russell Middle,0.5245398773006135
Brunswick County,Meherrin Powellton Elementary,0.5449438202247191
Brunswick County,Red Oak-Sturgeon Elementary,0.4972375690607735
Brunswick County,Totaro Elementary,0.49491525423728816
Buchanan County,Council Elementary/Middle,0.519774011299435
Buchanan County,Council High,0.496
Buchanan County,Grundy High,0.5352112676056338
Buchanan County,Hurley Elementary/Middle,0.5260273972602739
Buchanan County,Hurley High,0.4729064039408867
Buchanan County,Riverview Elementary/Middle,0.4889807162534435
Buchanan County,Twin Valley Elementary/Middle,0.5467625899280576
Buchanan County,Twin Valley High,0.5454545454545454
Buckingham County,Buckingham Co Elementary,0.5169902912621359
Buckingham County,Buckingham Co Prekindergarten Center,0.5795454545454546
Buckingham County,Buckingham Co Primary,0.5435435435435435
Buckingham County,Buckingham County High,0.5151006711409396
Buckingham County,Buckingham County Middle,0.4801587301587302
Buena Vista City,Enderly Heights Elementary,0.518918918918919
Buena Vista City,F.W. Kling Jr. Elementary,0.5665236051502146
Buena Vista City,Parry McCluer High,0.5362318840579711
Buena Vista City,Parry McCluer Middle,0.6209677419354839
Campbell County,Altavista Elementary,0.49795918367346936
Campbell County,Altavista High,0.50997150997151
Campbell County,Brookneal Elementary,0.5060827250608273
Campbell County,Brookville High,0.519
Campbell County,Brookville Middle,0.5
Campbell County,Concord Elementary,0.5158150851581509
Campbell County,Leesville Road Elementary,0.5100334448160535
Campbell County,Rustburg Elementary,0.5091324200913242
Campbell County,Rustburg High,0.5018633540372671
Campbell County,Rustburg Middle,0.5272727272727272
Campbell County,Tomahawk Elementary,0.5072254335260116
Campbell County,William Campbell High,0.5172413793103449
Campbell County,Yellow Branch Elementary,0.47950089126559714
Caroline County,Bowling Green Elementary,0.5081521739130435
Caroline County,Caroline High,0.5295566502463054
Caroline County,Caroline Middle,0.48662551440329216
Caroline County,Lewis and Clark Elementary,0.5143513203214696
Caroline County,Madison Elementary,0.5124716553287982
Carroll County,Carroll County High,0.5104562737642585
Carroll County,Carroll County Middle,0.5313315926892951
Carroll County,Fancy Gap Elementary,0.46853146853146854
Carroll County,Gladesboro Elementary,0.4411764705882353
Carroll County,Gladeville Elementary,0.5622489959839357
Carroll County,Hillsville Elementary,0.5210970464135021
Carroll County,Laurel Elementary,0.463302752293578
Carroll County,Oakland Elementary,0.5228426395939086
Carroll County,St. Paul,0.5125786163522013
Charles City County,Charles City County Elementary,0.5102739726027398
Charles City County,Charles City County High,0.4915254237288136
Charlotte County,Bacon District Elementary,0.56875
Charlotte County,Central Middle,0.525065963060686
Charlotte County,Eureka Elementary,0.49206349206349204
Charlotte County,Phenix Elementary,0.5093457943925234
Charlotte County,Randolph-Henry High,0.4921259842519685
Charlottesville City,Buford Middle,0.5126475548060708
Charlottesville City,Burnley-Moran Elementary,0.49221183800623053
Charlottesville City,Charlottesville High,0.5049423393739704
Charlottesville City,Clark Elementary,0.558641975308642
Charlottesville City,Greenbrier Elementary,0.505338078291815
Charlottesville City,Jackson-Via Elementary,0.563076923076923
Charlottesville City,Johnson Elementary,0.5217391304347826
Charlottesville City,Venable Elementary,0.45907473309608543
Charlottesville City,Walker Upper Elementary,0.5137318255250404
Chesapeake City,B.M. Williams Primary,0.5264976958525346
Chesapeake City,Butts Road Intermediate,0.49108589951377635
Chesapeake City,Butts Road Primary,0.49097472924187724
Chesapeake City,Camelot Elementary,0.515527950310559
Chesapeake City,Cedar Road Elementary,0.5297691373025516
Chesapeake City,Crestwood Intermediate,0.4864479315263909
Chesapeake City,Crestwood Middle,0.52
Chesapeake City,Deep Creek Central Elementary,0.4958382877526754
Chesapeake City,Deep Creek Elementary,0.5298701298701298
Chesapeake City,Deep Creek High,0.4795107033639144
Chesapeake City,Deep Creek Middle,0.48753117206982544
Chesapeake City,Edwin W. Chittum Elementary,0.5480895915678524
Chesapeake City,G.A. Treakle Elementary,0.5124153498871332
Chesapeake City,George W. Carver Intermediate,0.5107632093933464
Chesapeake City,Georgetown Primary,0.5021097046413502
Chesapeake City,Grassfield Elementary,0.5066250974279034
Chesapeake City,Grassfield High,
Chesapeake City,Great Bridge High,0.5164634146341464
Chesapeake City,Great Bridge Intermediate,0.5212922173274597
Chesapeake City,Great Bridge Middle,0.5199004975124378
Chesapeake City,Great Bridge Primary,0.5067873303167421
Chesapeake City,Greenbrier Intermediate,0.4871382636655949
Chesapeake City,Greenbrier Middle,0.5029585798816568
Chesapeake City,Greenbrier Primary,0.5458579881656804
Chesapeake City,Hickory Elementary,0.5310834813499112
Chesapeake City,Hickory High,0.5006195786864932
Chesapeake City,Hickory Middle,0.5146286571642911
Chesapeake City,Hugo A. Owens Middle,0.5155420773313116
Chesapeake City,Indian River High,0.509746012994684
Chesapeake City,Indian River Middle,0.5283018867924528
Chesapeake City,Jolliff Middle,0.505730659025788
Chesapeake City,Norfolk Highlands Primary,0.5567765567765568
Chesapeake City,Oscar F. Smith High,
Chesapeake City,Oscar Smith Middle,0.5199610516066212
Chesapeake City,Portlock Primary,0.4957118353344768
Chesapeake City,Rena B. Wright Primary,0.4520547945205479
Chesapeake City,Southeastern Elementary,0.5205314009661836
Chesapeake City,Southwestern Elementary,0.5237226277372263
Chesapeake City,Sparrow Road Intermediate,0.48851774530271397
Chesapeake City,Thurgood Marshall Elementary,0.49417249417249415
Chesapeake City,Truitt Intermediate,0.5627376425855514
Chesapeake City,Western Branch High,
Chesapeake City,Western Branch Intermediate,0.5087719298245614
Chesapeake City,Western Branch Middle,0.5131868131868131
Chesapeake City,Western Branch Primary,0.49265687583444595
