School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Bellwood Elementary,Chesterfield County,41.0,59.0,0.0
Belmont Elementary,Prince William County,31.0,69.0,0.0
Belmont Ridge Middle,Loudoun County,32.0,64.0,2.0
Belvedere Elementary,Fairfax County,35.0,63.0,2.0
Belview Elementary,Montgomery County,52.0,45.0,3.0
Benjamin Franklin Middle,Franklin County,48.0,50.0,0.0
Benjamin Syms Middle,Hampton City,52.0,42.0,2.0
Bennett Elementary,Prince William County,30.0,70.0,0.0
Bensley Elementary,Chesterfield County,44.0,56.0,0.0
Berkeley Elementary,Spotsylvania County,24.0,73.0,0.0
Berkeley Middle,Williamsburg-James City County,28.0,66.0,1.0
Bessie Weller Elementary,Staunton City,56.0,41.0,0.0
Bethel Elementary,Gloucester County,41.0,57.0,0.0
Bethel High,Hampton City,40.0,52.0,2.0
Bethel Manor Elementary,York County,40.0,60.0,0.0
Bettie Weaver Elementary,Chesterfield County,44.0,54.0,0.0
Beulah Elementary,Chesterfield County,51.0,47.0,1.0
Beverley Manor Middle,Augusta County,45.0,48.0,2.0
Big Island Elementary,Bedford County,63.0,38.0,0.0
Binford Middle,Richmond City,25.0,70.0,3.0
Birdneck Elementary,Virginia Beach City,49.0,49.0,2.0
Blacksburg High,Montgomery County,30.0,65.0,0.0
Blacksburg Middle,Montgomery County,34.0,63.0,2.0
Blackstone Primary,Nottoway County,54.0,43.0,3.0
Blackwell Elementary,Richmond City,34.0,66.0,0.0
Blair Middle,Norfolk City,41.0,53.0,1.0
Bland County High,Bland County,47.0,51.0,1.0
Blue Ridge Elementary,Patrick County,67.0,30.0,0.0
Blue Ridge Middle,Loudoun County,31.0,66.0,2.0
Bluestone Elementary,Harrisonburg City,27.0,73.0,0.0
Bon Air Elementary,Chesterfield County,43.0,55.0,2.0
Bonnie Brae Elementary,Fairfax County,20.0,77.0,1.0
Bonsack Elementary,Roanoke County,61.0,39.0,0.0
Booker T Washington High,Norfolk City,24.0,56.0,5.0
Booker T. Washington Elementary,Suffolk City,43.0,54.0,3.0
Boones Mill Elementary,Franklin County,55.0,39.0,0.0
Boonsboro Elementary,Bedford County,39.0,61.0,0.0
Botetourt Elementary,Gloucester County,43.0,55.0,0.0
Bowling Green Elementary,Caroline County,52.0,46.0,0.0
Boyce Elementary,Clarke County,52.0,48.0,0.0
Braddock Elementary,Fairfax County,29.0,66.0,2.0
Brambleton Middle,Loudoun County,30.0,69.0,0.0
Brandon Middle,Virginia Beach City,51.0,46.0,0.0
Breckinridge Elementary,Botetourt County,46.0,50.0,0.0
Breckinridge Middle,Roanoke City,41.0,45.0,3.0
Bren Mar Park Elementary,Fairfax County,29.0,71.0,0.0
Brentsville District High,Prince William County,24.0,75.0,1.0
Bristow Run Elementary,Prince William County,27.0,71.0,0.0
Broad Rock Elementary,Richmond City,31.0,69.0,0.0
Broad Run High,Loudoun County,26.0,73.0,1.0
Broadus Wood Elementary,Albemarle County,41.0,59.0,0.0
Broadway High,Rockingham County,41.0,59.0,0.0
Brock Road Elementary,Spotsylvania County,41.0,57.0,0.0
Brooke Point High,Stafford County,33.0,55.0,4.0
Brookfield Elementary,Fairfax County,25.0,72.0,1.0
Brookland Middle,Henrico County,35.0,58.0,5.0
Brookneal Elementary,Campbell County,57.0,43.0,0.0
Brookville High,Campbell County,49.0,46.0,0.0
Brookville Middle,Campbell County,56.0,44.0,0.0
Brookwood Elementary,Virginia Beach City,53.0,48.0,0.0
Brownsville Elementary,Albemarle County,46.0,51.0,0.0
Brunswick High,Brunswick County,48.0,32.0,7.0
Bruton High,York County,30.0,58.0,6.0
Bryant High,Fairfax County,18.0,75.0,5.0
Buchanan Elementary,Botetourt County,39.0,61.0,0.0
Buckingham Co Elementary,Buckingham County,50.0,41.0,0.0
Buckingham County High,Buckingham County,40.0,46.0,0.0
Buckingham County Middle,Buckingham County,49.0,49.0,0.0
Buckland Mills Elementary,Prince William County,34.0,62.0,0.0
Bucknell Elementary,Fairfax County,24.0,68.0,2.0
Buffalo Gap High,Augusta County,51.0,45.0,2.0
Buffalo Trail Elementary,Loudoun County,22.0,75.0,1.0
Buford Middle,Charlottesville City,34.0,61.0,4.0
Bull Run Elementary,Fairfax County,34.0,65.0,0.0
Bull Run Middle,Prince William County,18.0,75.0,1.0
Burlington Elementary,Roanoke County,59.0,38.0,0.0
Burnley-Moran Elementary,Charlottesville City,39.0,53.0,3.0
Burnt Chimney Elementary,Franklin County,50.0,50.0,0.0
Bush Hill Elementary,Fairfax County,39.0,61.0,0.0
Butts Road Intermediate,Chesapeake City,45.0,47.0,4.0
Byrd Elementary,Goochland County,39.0,55.0,0.0
C. Alton Lindsay Middle,Hampton City,57.0,41.0,2.0
C. Hunter Ritchie Elementary,Fauquier County,34.0,63.0,0.0
C.A. Sinclair Elementary,Prince William County,26.0,69.0,0.0
C.C. Wells Elementary,Chesterfield County,31.0,67.0,0.0
C.D. Hylton High,Prince William County,33.0,61.0,0.0
C.E. Curtis Elementary,Chesterfield County,43.0,57.0,0.0
C.M. Bradley Elementary,Fauquier County,53.0,47.0,0.0
Callaghan Elementary,Alleghany Highlands,48.0,52.0,0.0
Callaway Elementary,Franklin County,39.0,61.0,0.0
Camelot Elementary,Chesapeake City,35.0,63.0,0.0
Camelot Elementary,Fairfax County,36.0,60.0,2.0
Cameron Elementary,Fairfax County,29.0,71.0,0.0
Camp Allen Elementary,Norfolk City,41.0,51.0,0.0
Campbell Court Elementary,Henry County,69.0,27.0,0.0
Campbell Elementary,Arlington County,25.0,75.0,0.0
Canterbury Woods Elementary,Fairfax County,24.0,71.0,5.0
Capron Elementary,Southampton County,46.0,42.0,8.0
Captain John Smith Elementary,Hampton City,52.0,45.0,0.0
Cardinal Elementary,Arlington County,30.0,66.0,0.0
Cardinal Elementary,Richmond City,39.0,59.0,0.0
Cardinal Forest Elementary,Fairfax County,25.0,74.0,0.0
Carlin Springs Elementary,Arlington County,17.0,79.0,3.0
Caroline High,Caroline County,47.0,47.0,0.0
Caroline Middle,Caroline County,52.0,43.0,0.0
Carroll County High,Carroll County,41.0,52.0,2.0
Carroll County Middle,Carroll County,46.0,49.0,2.0
Carrollton Elementary,Isle of Wight County,39.0,56.0,0.0
Carrsville Elementary,Isle of Wight County,46.0,50.0,0.0
Carson Middle,Fairfax County,31.0,68.0,0.0
Carter G. Woodson Middle,Hopewell City,61.0,35.0,0.0
Carver College and Career Academy,Chesterfield County,47.0,45.0,6.0
Carver Elementary,Newport News City,38.0,50.0,0.0
Carver Middle,Chesterfield County,52.0,43.0,2.0
Carysbrook Elementary,Fluvanna County,53.0,47.0,0.0
Cashell Donahoe Elementary,Henrico County,28.0,67.0,0.0
Cassell Elementary,Augusta County,59.0,41.0,0.0
Castlewood Elementary,Russell County,69.0,28.0,0.0
Castlewood High,Russell County,36.0,62.0,3.0
Catoctin Elementary,Loudoun County,16.0,84.0,0.0
Cave Spring Elementary,Roanoke County,44.0,56.0,0.0
Cave Spring High,Roanoke County,34.0,65.0,0.0
Cave Spring Middle,Roanoke County,49.0,50.0,1.0
Cedar Bluff Elementary,Tazewell County,58.0,42.0,0.0
