School Name,Division Name,Bachelors_Percent,Masters_Percent,Doctoral_Percent
Fancy Gap Elementary,Carroll County,24.0,71.0,6.0
Fannie W. Fitzgerald Elementary,Prince William County,36.0,59.0,3.0
Farmington Elementary,Culpeper County,41.0,55.0,0.0
Farmwell Station Middle,Loudoun County,30.0,70.0,0.0
Fauquier High,Fauquier County,40.0,52.0,2.0
Featherstone Elementary,Prince William County,29.0,65.0,4.0
Ferdinand T. Day Elementary,Alexandria City,32.0,61.0,3.0
Ferrum Elementary,Franklin County,55.0,41.0,0.0
Ferry Farm Elementary,Stafford County,38.0,60.0,0.0
First Colonial High,Virginia Beach City,43.0,52.0,3.0
Fishburn Park Elementary,Roanoke City,37.0,47.0,0.0
Flat Rock Elementary,Powhatan County,41.0,53.0,3.0
Flatwoods Elementary,Lee County,61.0,36.0,0.0
Flint Hill Elementary,Fairfax County,36.0,64.0,0.0
Florence Bowser Elementary,Suffolk City,40.0,53.0,0.0
Floris Elementary,Fairfax County,25.0,74.0,1.0
Floyd County High,Floyd County,46.0,46.0,0.0
Floyd Elementary,Floyd County,47.0,43.0,4.0
Floyd Kellam High,Virginia Beach City,47.0,48.0,2.0
Floyd T. Binns Middle,Culpeper County,60.0,36.0,1.0
Fluvanna County High,Fluvanna County,44.0,49.0,2.0
Fluvanna Middle,Fluvanna County,51.0,49.0,0.0
Forest Edge Elementary,Fairfax County,24.0,76.0,0.0
Forest Elementary,Bedford County,52.0,48.0,0.0
Forest Glen Middle,Suffolk City,56.0,40.0,0.0
Forest Grove Elementary,Loudoun County,36.0,62.0,1.0
Forest Hills Elementary,Danville City,46.0,50.0,4.0
Forest Middle,Bedford County,49.0,46.0,1.0
Forest Park High,Prince William County,29.0,66.0,2.0
Forestdale Elementary,Fairfax County,33.0,64.0,0.0
Forestville Elementary,Fairfax County,28.0,72.0,0.0
Fort Belvoir Upper Elementary,Fairfax County,39.0,52.0,3.0
Fort Blackmore Primary,Scott County,46.0,46.0,0.0
Fort Chiswell High,Wythe County,66.0,27.0,0.0
Fort Chiswell Middle,Wythe County,66.0,31.0,0.0
Fort Defiance High,Augusta County,38.0,62.0,0.0
Fort Hunt Elementary,Fairfax County,35.0,65.0,0.0
Fort Lewis Elementary,Roanoke County,37.0,63.0,0.0
Fox Mill Elementary,Fairfax County,37.0,63.0,0.0
Frances Hazel Reid Elementary,Loudoun County,28.0,69.0,1.0
Francis Asbury Elementary,Hampton City,61.0,39.0,0.0
Francis C. Hammond Middle,Alexandria City,28.0,66.0,2.0
Francis W. Jones Magnet Middle,Hampton City,41.0,53.0,0.0
Franconia Elementary,Fairfax County,27.0,73.0,0.0
Frank W. Cox High,Virginia Beach City,42.0,54.0,2.0
Franklin County High,Franklin County,48.0,46.0,0.0
Franklin High,Franklin City,38.0,38.0,3.0
Franklin Middle,Fairfax County,27.0,72.0,0.0
Franklin Military Academy,Richmond City,45.0,43.0,5.0
Fred M. Lynn Middle,Prince William County,39.0,58.0,1.0
Frederick County Middle,Frederick County,36.0,60.0,3.0
Frederick Douglass Elementary,Loudoun County,26.0,69.0,0.0
Frederick Douglass Elementary,Winchester City,42.0,48.0,0.0
Freedom Hill Elementary,Fairfax County,21.0,75.0,4.0
Freedom Middle,Spotsylvania County,39.0,53.0,0.0
Fries Elementary,Grayson County,64.0,31.0,3.0
Frost Middle,Fairfax County,21.0,79.0,0.0
Fulks Run Elementary,Rockingham County,59.0,41.0,0.0
G.A. Treakle Elementary,Chesapeake City,29.0,65.0,0.0
G.H. Reid Elementary,Richmond City,43.0,57.0,0.0
G.L.H. Johnson Elementary,Danville City,50.0,47.0,0.0
G.W. Carver Elementary,Salem City,38.0,63.0,0.0
Gainesboro Elementary,Frederick County,57.0,40.0,0.0
Gainesville High,Prince William County,23.0,74.0,1.0
Gainesville Middle,Prince William County,33.0,65.0,1.0
Galax Elementary,Galax City,50.0,45.0,2.0
Galax High,Galax City,38.0,55.0,0.0
Galax Middle,Galax City,53.0,40.0,5.0
Galileo Magnet High,Danville City,46.0,50.0,0.0
Gar-Field High,Prince William County,30.0,65.0,2.0
Garden City Elementary,Roanoke City,53.0,26.0,0.0
Garfield Elementary,Fairfax County,26.0,74.0,0.0
Garland R. Quarles Elementary,Winchester City,48.0,40.0,7.0
Garrisonville Elementary,Stafford County,33.0,61.0,0.0
Gate City High,Scott County,54.0,42.0,2.0
Gate City Middle,Scott County,65.0,35.0,0.0
Gayton Elementary,Henrico County,32.0,68.0,0.0
General Stanford Elementary,Newport News City,44.0,53.0,0.0
George Carr Round Elementary,Manassas City,31.0,67.0,0.0
George F. Baker Elementary,Henrico County,44.0,53.0,3.0
George G. Tyler Elementary,Prince William County,33.0,64.0,0.0
George H. Moody Middle,Henrico County,30.0,68.0,2.0
George M. Hampton Middle,Prince William County,45.0,49.0,1.0
George Mason Elementary,Alexandria City,17.0,79.0,3.0
George P. Mullen Elementary,Prince William County,45.0,52.0,0.0
George P. Phenix Elementary,Hampton City,45.0,49.0,1.0
George W. Carver Elementary,Richmond City,52.0,41.0,7.0
George W. Carver Intermediate,Chesapeake City,33.0,60.0,2.0
George W. Watkins Elementary,New Kent County,44.0,55.0,0.0
George Washington High,Danville City,32.0,61.0,3.0
George Washington Middle,Alexandria City,30.0,66.0,3.0
George Wythe High,Richmond City,46.0,51.0,3.0
George Wythe High,Wythe County,66.0,29.0,0.0
Georgetown Primary,Chesapeake City,37.0,58.0,0.0
Georgie D. Tyler Middle,Isle of Wight County,34.0,55.0,0.0
Ghent K-8,Norfolk City,48.0,43.0,5.0
Gilbert Linkous Elementary,Montgomery County,45.0,55.0,0.0
Giles High,Giles County,53.0,47.0,0.0
Ginter Park Elementary,Richmond City,44.0,56.0,0.0
Glade Hill Elementary,Franklin County,68.0,27.0,0.0
Glade Spring Middle,Washington County,48.0,50.0,0.0
Gladesboro Elementary,Carroll County,50.0,44.0,6.0
Gladeville Elementary,Carroll County,52.0,38.0,3.0
Glasgow Middle,Fairfax County,30.0,67.0,2.0
Glebe Elementary,Arlington County,9.0,89.0,0.0
Glen Allen Elementary,Henrico County,34.0,66.0,0.0
Glen Allen High,Henrico County,34.0,61.0,2.0
Glen Cove Elementary,Roanoke County,50.0,47.0,0.0
Glen Forest Elementary,Fairfax County,29.0,70.0,1.0
Glen Lea Elementary,Henrico County,35.0,62.0,0.0
Glenkirk Elementary,Prince William County,36.0,64.0,0.0
Glenvar Elementary,Roanoke County,61.0,39.0,0.0
Glenvar High,Roanoke County,44.0,51.0,2.0
Glenvar Middle,Roanoke County,59.0,39.0,2.0
Glenwood Elementary,Virginia Beach City,46.0,54.0,0.0
Gloucester High,Gloucester County,43.0,49.0,1.0
Goochland Elementary,Goochland County,38.0,58.0,0.0
Goochland High,Goochland County,39.0,53.0,3.0
Goochland Middle,Goochland County,35.0,61.0,0.0
Goodview Elementary,Bedford County,62.0,33.0,0.0
Gordon-Barbour Elementary,Orange County,54.0,40.0,0.0
Goshen Post Elementary,Loudoun County,43.0,57.0,0.0
Grace Miller Elementary,Fauquier County,50.0,47.0,0.0
Grafton Bethel Elementary,York County,40.0,57.0,0.0
Grafton High,York County,28.0,65.0,3.0
Grafton Middle,York County,34.0,62.0,1.0
Grafton Village Elementary,Stafford County,33.0,56.0,0.0
Graham High,Tazewell County,49.0,49.0,2.0
Graham Intermediate,Tazewell County,64.0,32.0,0.0
Graham Middle,Tazewell County,68.0,30.0,3.0
Graham Park Middle,Prince William County,40.0,55.0,0.0
Graham Road Elementary,Fairfax County,30.0,70.0,0.0
Granby Elementary,Norfolk City,37.0,50.0,2.0
Granby High,Norfolk City,39.0,56.0,1.0
Grandin Court Elementary,Roanoke City,31.0,49.0,0.0
Grange Hall Elementary,Chesterfield County,42.0,55.0,0.0
Grassfield Elementary,Chesapeake City,37.0,58.0,0.0
Grassfield High,Chesapeake City,37.0,55.0,1.0
Grayson County High,Grayson County,51.0,35.0,3.0
Grayson Highlands,Grayson County,57.0,38.0,0.0
Great Bridge High,Chesapeake City,33.0,63.0,1.0
Great Bridge Intermediate,Chesapeake City,44.0,56.0,0.0
Great Bridge Middle,Chesapeake City,38.0,61.0,0.0
Great Falls Elementary,Fairfax County,25.0,73.0,0.0
Great Neck Middle,Virginia Beach City,41.0,57.0,1.0
Green Run Collegiate,Virginia Beach City,49.0,41.0,8.0
Green Run Elementary,Virginia Beach City,41.0,54.0,3.0
Green Run High,Virginia Beach City,46.0,49.0,1.0
Green Valley Elementary,Roanoke County,58.0,43.0,0.0
Greenbriar East Elementary,Fairfax County,25.0,72.0,0.0
Greenbriar West Elementary,Fairfax County,31.0,69.0,0.0
Greenbrier Elementary,Charlottesville City,27.0,68.0,0.0
Greenbrier Intermediate,Chesapeake City,26.0,70.0,2.0
Greenbrier Middle,Chesapeake City,37.0,55.0,2.0
Greendale Elementary,Washington County,51.0,49.0,0.0
Greenfield Elementary,Botetourt County,36.0,64.0,0.0
Greenfield Elementary,Chesterfield County,36.0,62.0,0.0
Greensville County High,Greensville County,33.0,48.0,5.0
Greensville Elementary,Greensville County,68.0,31.0,0.0
Greenville Elementary,Fauquier County,39.0,61.0,0.0
Greenwood Mill Elementary,Frederick County,37.0,57.0,0.0
Gretna Elementary,Pittsylvania County,57.0,43.0,0.0
Gretna High,Pittsylvania County,49.0,48.0,2.0
Gretna Middle,Pittsylvania County,61.0,30.0,4.0
Groveton Elementary,Fairfax County,29.0,67.0,4.0
Grundy High,Buchanan County,49.0,49.0,0.0
Guilford Elementary,Loudoun County,21.0,78.0,0.0
Gunston Elementary,Fairfax County,25.0,71.0,0.0
Gunston Middle,Arlington County,22.0,73.0,2.0
Guy K. Stump Elementary,Augusta County,53.0,47.0,0.0
H.H. Poole Middle,Stafford County,46.0,46.0,0.0
H.M. Pearson Elementary,Fauquier County,52.0,45.0,0.0
Halifax County High,Halifax County,49.0,45.0,1.0
Halifax County Middle,Halifax County,54.0,39.0,0.0
Halley Elementary,Fairfax County,35.0,65.0,0.0
Hamilton Elementary,Loudoun County,28.0,69.0,3.0
Hamilton Holmes Middle,King William County,58.0,38.0,0.0
Hampton High,Hampton City,43.0,55.0,1.0
Hampton Oaks Elementary,Stafford County,58.0,35.0,0.0
Hanover High,Hanover County,34.0,60.0,2.0
Hardin Reynolds Memorial School,Patrick County,54.0,38.0,0.0
Harding Avenue Elementary,Montgomery County,47.0,50.0,3.0
Hardy Elementary,Isle of Wight County,42.0,56.0,0.0
Harmony Middle,Loudoun County,27.0,72.0,0.0
Harold Macon Ratcliffe Elementary,Henrico County,33.0,58.0,0.0
Harper Park Middle,Loudoun County,25.0,73.0,1.0
Harrington Waddell Elementary,Lexington City,39.0,50.0,0.0
Harrison Road Elementary,Spotsylvania County,39.0,58.0,0.0
Harrisonburg High,Harrisonburg City,40.0,56.0,2.0
Harrowgate Elementary,Chesterfield County,40.0,58.0,0.0
Harry E. James Elementary,Hopewell City,52.0,38.0,2.0
Hartwood Elementary,Stafford County,38.0,60.0,0.0
Harvie Elementary,Henrico County,43.0,57.0,0.0
Haycock Elementary,Fairfax County,29.0,68.0,2.0
Hayfield Elementary,Fairfax County,20.0,80.0,0.0
Hayfield Secondary,Fairfax County,26.0,69.0,2.0
Haymarket Elementary,Prince William County,40.0,56.0,0.0
Henderson Middle,Richmond City,42.0,50.0,0.0
Henrico High,Henrico County,35.0,60.0,2.0
Henry D. Ward Elementary,Henrico County,36.0,51.0,5.0
Henry Elementary,Franklin County,50.0,50.0,0.0
Henry Marsh III Elementary,Richmond City,44.0,50.0,0.0
Herbert J. Saunders Middle,Prince William County,34.0,57.0,5.0
Heritage Elementary,Lynchburg City,68.0,26.0,0.0
Heritage High,Loudoun County,29.0,69.0,2.0
Heritage High,Lynchburg City,42.0,50.0,2.0
Heritage High,Newport News City,42.0,37.0,0.0
Herman L. Horn Elementary,Roanoke County,45.0,55.0,0.0
Hermitage Elementary,Virginia Beach City,37.0,61.0,0.0
Hermitage High,Henrico County,46.0,51.0,2.0
Herndon Elementary,Fairfax County,27.0,73.0,0.0
Herndon High,Fairfax County,23.0,74.0,2.0
Herndon Middle,Fairfax County,33.0,65.0,2.0
Hickory Elementary,Chesapeake City,43.0,55.0,0.0
Hickory High,Chesapeake City,37.0,60.0,0.0
Hickory Middle,Chesapeake City,42.0,52.0,1.0
Hidden Valley High,Roanoke County,26.0,72.0,1.0
Hidden Valley Middle,Roanoke County,34.0,63.0,0.0
Hidenwood Elementary,Newport News City,43.0,50.0,2.0
High Point Elementary,Washington County,76.0,24.0,0.0
Highland Elementary,Highland County,42.0,50.0,0.0
Highland High,Highland County,67.0,29.0,0.0
Highland Park Elementary,Roanoke City,43.0,43.0,0.0
Highland Springs Elementary,Henrico County,27.0,66.0,0.0
Highland Springs High,Henrico County,38.0,56.0,2.0
Highland View Elementary,Bristol City,52.0,33.0,5.0
Hilda J. Barbour Elementary,Warren County,50.0,48.0,0.0
Hillpoint Elementary,Suffolk City,47.0,44.0,0.0
Hillsboro Charter Academy,Loudoun County,32.0,68.0,0.0
Hillside Elementary,Loudoun County,26.0,74.0,0.0
Hillsville Elementary,Carroll County,51.0,49.0,0.0
Hilton Elementary,Newport News City,37.0,56.0,0.0
Hilton Elementary,Scott County,57.0,43.0,0.0
Hodges Manor Elementary,Portsmouth City,32.0,46.0,4.0
Hoffman-Boston Elementary,Arlington County,28.0,70.0,2.0
Holland Elementary,Virginia Beach City,45.0,45.0,7.0
Hollin Meadows Elementary,Fairfax County,33.0,64.0,0.0
Hollymead Elementary,Albemarle County,33.0,65.0,0.0
Holmes Middle,Fairfax County,29.0,69.0,1.0
Holston High,Washington County,44.0,56.0,0.0
Homer L. Hines Middle,Newport News City,41.0,36.0,1.0
Honaker Elementary,Russell County,75.0,23.0,0.0
Honaker High,Russell County,55.0,42.0,2.0
Honey Run Elementary,Shenandoah County,50.0,46.0,0.0
Hopewell High,Hopewell City,42.0,49.0,1.0
Hopkins Road Elementary,Chesterfield County,52.0,48.0,0.0
Horizon Elementary,Loudoun County,20.0,78.0,2.0
Hovatter Elementary,Loudoun County,31.0,67.0,0.0
Huddleston Elementary,Bedford County,61.0,35.0,0.0
Hugh Mercer Elementary,Fredericksburg City,41.0,55.0,2.0
Hughes Middle,Fairfax County,23.0,77.0,0.0
Hugo A. Owens Middle,Chesapeake City,40.0,54.0,0.0
Huguenot High,Richmond City,39.0,56.0,2.0
Hunt Valley Elementary,Fairfax County,22.0,78.0,0.0
Hunter B. Andrews,Hampton City,51.0,42.0,5.0
Hunters Woods Elementary School for the Arts and Sciences,Fairfax County,18.0,78.0,3.0
Huntington Middle,Newport News City,27.0,35.0,0.0
Hurley Elementary/Middle,Buchanan County,67.0,31.0,0.0
Hurley High,Buchanan County,48.0,52.0,0.0
Hurt Park Elementary,Roanoke City,43.0,45.0,0.0
Hutchison Elementary,Fairfax County,36.0,64.0,0.0
Hutchison Farm Elementary,Loudoun County,27.0,73.0,0.0
Hybla Valley Elementary,Fairfax County,35.0,63.0,1.0
I.C. Norcom High,Portsmouth City,45.0,41.0,3.0
Independence Elementary,Grayson County,57.0,43.0,0.0
Independence High,Loudoun County,25.0,74.0,1.0
Independence Middle,Grayson County,46.0,51.0,0.0
Independence Middle,Virginia Beach City,44.0,55.0,0.0
Indian Hollow Elementary,Frederick County,56.0,39.0,2.0
Indian Lakes Elementary,Virginia Beach City,43.0,54.0,0.0
Indian River High,Chesapeake City,40.0,55.0,2.0
Indian River Middle,Chesapeake City,46.0,51.0,0.0
Indian Valley Elementary,Floyd County,57.0,43.0,0.0
Ingleside Elementary,Norfolk City,24.0,69.0,2.0
Irving Middle,Fairfax County,37.0,61.0,1.0
Island Creek Elementary,Fairfax County,30.0,70.0,0.0
J. Blaine Blayton Elementary,Williamsburg-James City County,44.0,54.0,0.0
J. Frank Hillyard Middle,Rockingham County,53.0,45.0,0.0
J. Lupton Simpson Middle,Loudoun County,32.0,66.0,1.0
J. Michael Lunsford Middle,Loudoun County,28.0,72.0,0.0
J.A. Chalkley Elementary,Chesterfield County,40.0,60.0,0.0
J.B. Fisher Elementary,Richmond City,35.0,65.0,0.0
J.B. Watkins Elementary,Chesterfield County,44.0,55.0,2.0
J.G. Hening Elementary,Chesterfield County,51.0,47.0,0.0
J.L. Francis Elementary,Richmond City,46.0,54.0,0.0
J.W. Adams Combined,Wise County,63.0,33.0,3.0
J.W. Alvey Elementary,Prince William County,29.0,71.0,0.0
Jackson Davis Elementary,Henrico County,32.0,68.0,0.0
Jackson Memorial Elementary,Wythe County,67.0,33.0,0.0
Jackson Middle,Fairfax County,29.0,69.0,1.0
Jackson P. Burley Middle,Albemarle County,23.0,68.0,6.0
Jackson-Via Elementary,Charlottesville City,36.0,56.0,3.0
Jacob L. Adams Elementary,Henrico County,26.0,74.0,0.0
Jacobs Road Elementary,Chesterfield County,37.0,63.0,0.0
Jacox Elementary,Norfolk City,36.0,53.0,2.0
James Blair Middle,Williamsburg-James City County,30.0,60.0,0.0
James G. Brumfield Elementary,Fauquier County,41.0,59.0,0.0
James K. Polk Elementary,Alexandria City,35.0,58.0,2.0
James Madison Middle,Roanoke City,43.0,42.0,3.0
James Monroe Elementary,Norfolk City,37.0,53.0,5.0
James Monroe High,Fredericksburg City,33.0,61.0,2.0
James River Elementary,Williamsburg-James City County,37.0,59.0,0.0
James River High,Botetourt County,33.0,55.0,2.0
James River High,Chesterfield County,41.0,56.0,2.0
James S. Russell Middle,Brunswick County,56.0,41.0,0.0
James Wood High,Frederick County,41.0,55.0,1.0
James Wood Middle,Frederick County,56.0,41.0,4.0
Jamestown Elementary,Arlington County,9.0,84.0,7.0
Jamestown High,Williamsburg-James City County,28.0,66.0,2.0
Jane H. Bryan Elementary,Hampton City,46.0,43.0,0.0
Jefferson Forest High,Bedford County,46.0,49.0,1.0
Jefferson Middle,Arlington County,31.0,65.0,2.0
Jefferson-Houston PK-8 School,Alexandria City,24.0,68.0,3.0
Jennie Dean Elementary,Manassas City,39.0,57.0,0.0
Jeter-Watson Elementary,Alleghany Highlands,64.0,36.0,0.0
John Adams Elementary,Alexandria City,28.0,64.0,4.0
John B. Cary Elementary,Richmond City,39.0,61.0,0.0
John B. Dey Elementary,Virginia Beach City,42.0,58.0,0.0
John C. Myers Elementary,Rockingham County,47.0,50.0,0.0
John Champe High,Loudoun County,23.0,75.0,2.0
John D. Jenkins Elementary,Prince William County,31.0,64.0,0.0
John F. Kennedy Middle,Suffolk City,41.0,47.0,3.0
John F. Pattie Sr. Elementary,Prince William County,31.0,69.0,0.0
John Handley High,Winchester City,28.0,62.0,2.0
John Kerr Elementary,Winchester City,35.0,63.0,0.0
John L. Hurt Elementary,Pittsylvania County,67.0,33.0,0.0
John M. Gandy Elementary,Hanover County,10.0,85.0,0.0
John Marshall High,Richmond City,43.0,55.0,0.0
John N. Dalton Intermediate,Radford City,41.0,56.0,2.0
John P. Fishwick Middle,Roanoke City,37.0,48.0,2.0
John Randolph Tucker High,Henrico County,30.0,66.0,2.0
John Rolfe Middle,Henrico County,36.0,59.0,1.0
John S. Battle High,Washington County,42.0,53.0,1.0
John W. Wayland Elementary,Rockingham County,44.0,56.0,0.0
John Yeates Middle,Suffolk City,42.0,51.0,2.0
Johnson Elementary,Charlottesville City,26.0,74.0,0.0
Johnson Middle,Fairfax County,26.0,69.0,4.0
Johnson-Williams Middle,Clarke County,27.0,73.0,0.0
Jolliff Middle,Chesapeake City,40.0,57.0,1.0
Jonesville Middle,Lee County,68.0,29.0,0.0
Jordan Springs Elementary,Frederick County,43.0,54.0,0.0
Joseph H. Saunders Elementary,Newport News City,42.0,40.0,0.0
Joseph P. King Jr. Middle,Franklin City,58.0,29.0,4.0
Joseph T. Henley Middle,Albemarle County,37.0,58.0,1.0
Joseph Van Pelt Elementary,Bristol City,58.0,42.0,0.0
Jouett Elementary,Louisa County,50.0,47.0,2.0
Journey Middle,Albemarle County,27.0,68.0,4.0
Justice High,Fairfax County,27.0,70.0,2.0
Kate Waller Barrett Elementary,Stafford County,53.0,45.0,0.0
Katherine Johnson Elementary,Newport News City,36.0,51.0,0.0
Kecoughtan High,Hampton City,51.0,41.0,4.0
Keene Mill Elementary,Fairfax County,21.0,76.0,2.0
Kegotank Elementary,Accomack County,72.0,25.0,0.0
Keister Elementary,Harrisonburg City,43.0,57.0,0.0
Kempsville Elementary,Virginia Beach City,49.0,46.0,0.0
Kempsville High,Virginia Beach City,46.0,48.0,1.0
Kempsville Meadows Elementary,Virginia Beach City,45.0,53.0,0.0
Kempsville Middle,Virginia Beach City,46.0,49.0,3.0
Kenbridge Elementary,Lunenburg County,57.0,40.0,3.0
Kenmore Middle,Arlington County,25.0,70.0,1.0
Kenneth W.Culbert Elementary,Loudoun County,19.0,81.0,0.0
Kent Gardens Elementary,Fairfax County,35.0,64.0,0.0
Kentuck Elementary,Pittsylvania County,56.0,44.0,0.0
Kerrydale Elementary,Prince William County,43.0,57.0,0.0
Kersey Creek Elementary,Hanover County,24.0,74.0,0.0
Kettle Run High,Fauquier County,38.0,50.0,2.0
Key Center,Fairfax County,39.0,57.0,0.0
Key Middle,Fairfax County,20.0,79.0,1.0
Kilby Shores Elementary,Suffolk City,39.0,53.0,0.0
Kilmer Center,Fairfax County,13.0,83.0,0.0
Kilmer Middle,Fairfax County,20.0,78.0,1.0
Kiln Creek Elementary,Newport News City,34.0,50.0,2.0
King & Queen Elementary,King and Queen County,62.0,35.0,3.0
King George Elementary,King George County,35.0,61.0,1.0
King George High,King George County,39.0,46.0,2.0
King George Middle,King George County,46.0,40.0,1.0
King William High,King William County,48.0,48.0,0.0
King's Fork High,Suffolk City,52.0,41.0,1.0
King's Fork Middle,Suffolk City,46.0,46.0,0.0
King's Grant Elementary,Virginia Beach City,46.0,46.0,0.0
Kings Glen Elementary,Fairfax County,26.0,69.0,5.0
Kings Park Elementary,Fairfax County,32.0,64.0,0.0
Kingston Elementary,Virginia Beach City,50.0,50.0,0.0
Kipps Elementary,Montgomery County,38.0,59.0,3.0
Kiptopeke Elementary,Northampton County,59.0,36.0,3.0
Kyle R. Wilson Elementary,Prince William County,44.0,55.0,2.0
L. Douglas Wilder Middle,Henrico County,35.0,60.0,1.0
L.F. Addington Middle,Wise County,69.0,25.0,3.0
L.L. Beazley Elementary,Prince George County,57.0,36.0,0.0
Laburnum Elementary,Henrico County,29.0,68.0,0.0
Lacey Spring Elementary,Rockingham County,43.0,52.0,5.0
Lafayette Elementary,Fredericksburg City,42.0,54.0,2.0
Lafayette High,Williamsburg-James City County,31.0,63.0,3.0
Lake Anne Elementary,Fairfax County,33.0,67.0,0.0
Lake Braddock Secondary,Fairfax County,28.0,69.0,0.0
Lake Ridge Elementary,Prince William County,38.0,60.0,0.0
Lake Ridge Middle,Prince William County,31.0,66.0,1.0
Lake Taylor,Norfolk City,42.0,49.0,1.0
Lakeland High,Suffolk City,45.0,48.0,0.0
Lakemont Elementary,Petersburg City,56.0,42.0,0.0
Lakeside Elementary,Henrico County,34.0,63.0,0.0
Lakeside Middle,Albemarle County,37.0,57.0,4.0
Lakeview Elementary,Colonial Heights City,44.0,50.0,3.0
Lakeview Elementary,Portsmouth City,40.0,46.0,8.0
Lancaster High,Lancaster County,50.0,44.0,0.0
Lancaster Middle,Lancaster County,50.0,41.0,6.0
Lancaster Primary,Lancaster County,55.0,42.0,3.0
Landstown Elementary,Virginia Beach City,42.0,58.0,0.0
Landstown High,Virginia Beach City,40.0,57.0,1.0
Landstown Middle,Virginia Beach City,51.0,48.0,1.0
Lane Elementary,Fairfax County,42.0,56.0,2.0
Langley High,Fairfax County,19.0,76.0,5.0
Larchmont Elementary,Norfolk City,25.0,72.0,3.0
Larkspur Middle,Virginia Beach City,48.0,50.0,0.0
Larrymore Elementary,Norfolk City,39.0,59.0,0.0
Laurel Elementary,Carroll County,48.0,52.0,0.0
Laurel Hill Elementary,Fairfax County,35.0,65.0,0.0
Laurel Lane Elementary,Williamsburg-James City County,37.0,59.0,2.0
Laurel Meadow Elementary,Hanover County,30.0,65.0,0.0
Laurel Ridge Elementary,Fairfax County,26.0,73.0,1.0
Lawson-Marriott Elementary,King and Queen County,49.0,43.0,2.0
Lebanon Elementary,Russell County,52.0,40.0,0.0
Lebanon High,Russell County,64.0,33.0,1.0
Lebanon Middle,Russell County,52.0,44.0,0.0
Lee High,Lee County,50.0,35.0,3.0
Lee Hill Elementary,Spotsylvania County,43.0,57.0,0.0
Lee M. Waid Elementary,Franklin County,61.0,34.0,0.0
Lees Corner Elementary,Fairfax County,26.0,74.0,0.0
Leesburg Elementary,Loudoun County,24.0,76.0,0.0
Leesville Road Elementary,Campbell County,57.0,43.0,0.0
Leesylvania Elementary,Prince William County,37.0,62.0,2.0
Lemon Road Elementary,Fairfax County,38.0,60.0,0.0
Leslie Fox Keyser Elementary,Warren County,57.0,39.0,0.0
Leslie H. Walton Middle,Albemarle County,36.0,64.0,0.0
Lewis High,Fairfax County,22.0,73.0,2.0
Lewis and Clark Elementary,Caroline County,58.0,42.0,0.0
Liberty Elementary,Loudoun County,29.0,70.0,1.0
Liberty High,Bedford County,45.0,51.0,0.0
Liberty High,Fauquier County,37.0,58.0,1.0
Liberty Middle,Bedford County,44.0,52.0,0.0
Liberty Middle,Fairfax County,17.0,81.0,2.0
Liberty Middle,Hanover County,43.0,53.0,2.0
Lightfoot Elementary,Orange County,36.0,46.0,0.0
Lightridge High,Loudoun County,25.0,69.0,5.0
Lincoln Elementary,Loudoun County,7.0,90.0,3.0
Lincoln Terrace Elementary,Roanoke City,44.0,40.0,0.0
Lindenwood Elementary,Norfolk City,34.0,62.0,3.0
Linkhorn Park Elementary,Virginia Beach City,36.0,64.0,0.0
Linkhorne Elementary,Lynchburg City,56.0,42.0,0.0
Linkhorne Middle,Lynchburg City,48.0,45.0,2.0
Linville-Edom Elementary,Rockingham County,39.0,61.0,0.0
Linwood Holton Elementary,Richmond City,47.0,47.0,0.0
Little Creek Elementary,Norfolk City,43.0,50.0,3.0
Little River Elementary,Loudoun County,23.0,76.0,1.0
Little Run Elementary,Fairfax County,38.0,62.0,0.0
Livingston Elementary,Spotsylvania County,53.0,44.0,0.0
Lloyd C. Bird High,Chesterfield County,37.0,60.0,2.0
Loch Lomond Elementary,Prince William County,31.0,69.0,0.0
Locust Grove Elementary,Orange County,51.0,41.0,3.0
Locust Grove Middle,Orange County,41.0,51.0,2.0
Lois Hornsby Middle,Williamsburg-James City County,35.0,59.0,0.0
London Towne Elementary,Fairfax County,24.0,72.0,0.0
Long Branch Elementary,Arlington County,18.0,77.0,2.0
Longdale Elementary,Henrico County,42.0,58.0,0.0
Longfellow Middle,Fairfax County,36.0,60.0,2.0
Lord Botetourt High,Botetourt County,39.0,49.0,2.0
Lorton Station Elementary,Fairfax County,34.0,66.0,0.0
Loudoun County High,Loudoun County,23.0,76.0,1.0
Loudoun Valley High,Loudoun County,25.0,71.0,3.0
Louisa County High,Louisa County,51.0,42.0,0.0
Louisa County Middle,Louisa County,50.0,47.0,0.0
Louise A. Benton Middle,Prince William County,28.0,71.0,0.0
Lovettsville Elementary,Loudoun County,27.0,70.0,0.0
Lowes Island Elementary,Loudoun County,20.0,77.0,2.0
Lucille M. Brown Middle,Richmond City,47.0,49.0,2.0
Lucketts Elementary,Loudoun County,19.0,78.0,3.0
Lunenburg Middle,Lunenburg County,51.0,46.0,0.0
Luray Elementary,Page County,55.0,40.0,0.0
Luray High,Page County,48.0,46.0,2.0
Luray Middle,Page County,55.0,39.0,4.0
Luther P. Jackson Middle,Surry County,52.0,44.0,0.0
Luxford Elementary,Virginia Beach City,48.0,48.0,3.0
Lylburn Downing Middle,Lexington City,42.0,53.0,5.0
Lyles-Crouch Elementary,Alexandria City,10.0,81.0,10.0
Lynbrook Elementary,Fairfax County,19.0,81.0,0.0
