Division Name,School Name,percentage_military
Bath County,Bath County High,0.0
Bath County,Millboro Elementary,0.0
Bath County,Valley Elementary,0.011560693641618497
Bedford County,Bedford Elementary,0.026004728132387706
Bedford County,Bedford Primary,0.014545454545454545
Bedford County,Big Island Elementary,0.06164383561643835
Bedford County,Boonsboro Elementary,0.020588235294117647
Bedford County,Forest Elementary,0.02849002849002849
Bedford County,Forest Middle,0.02043132803632236
Bedford County,Goodview Elementary,0.006211180124223602
Bedford County,Huddleston Elementary,0.004608294930875576
Bedford County,Jefferson Forest High,1.0
Bedford County,Liberty High,0.008415147265077139
Bedford County,Liberty Middle,0.016605166051660517
Bedford County,Moneta Elementary,0.023148148148148147
Bedford County,Montvale Elementary,0.0163265306122449
Bedford County,New London Academy Elementary,0.006289308176100629
Bedford County,Otter River Elementary,0.015789473684210527
Bedford County,Staunton River High,0.017410228509249184
Bedford County,Staunton River Middle,0.005025125628140704
Bedford County,Stewartsville Elementary,0.014705882352941176
Bedford County,Thomas Jefferson Elementary,0.02830188679245283
Bland County,Bland County Elementary,0.005763688760806916
Bland County,Bland County High,0.010752688172043012
Botetourt County,Breckinridge Elementary,0.017241379310344827
Botetourt County,Buchanan Elementary,0.013333333333333334
Botetourt County,Central Academy Middle,0.025210084033613446
Botetourt County,Cloverdale Elementary,0.007722007722007722
Botetourt County,Colonial Elementary,0.00909090909090909
Botetourt County,Eagle Rock Elementary,0.0078125
Botetourt County,Greenfield Elementary,0.03009259259259259
Botetourt County,James River High,0.004201680672268907
Botetourt County,Lord Botetourt High,1.0
Botetourt County,Read Mountain Middle,0.012539184952978056
Botetourt County,Troutville Elementary,0.023166023166023165
Bristol City,Highland View Elementary,0.0
Bristol City,Joseph Van Pelt Elementary,0.004750593824228029
Bristol City,Stonewall Jackson Elementary,0.008333333333333333
Bristol City,Virginia High,0.001564945226917058
Bristol City,Virginia Middle,0.00411522633744856
Bristol City,Washington-Lee Elementary,0.004291845493562232
Brunswick County,Brunswick High,0.018223234624145785
Brunswick County,James S. Russell Middle,0.03067484662576687
Brunswick County,Meherrin Powellton Elementary,0.011235955056179775
Brunswick County,Red Oak-Sturgeon Elementary,0.03314917127071823
Brunswick County,Totaro Elementary,0.013559322033898305
Buchanan County,Council Elementary/Middle,0.0
Buchanan County,Council High,0.0
Buchanan County,Grundy High,0.0
Buchanan County,Hurley Elementary/Middle,0.0
Buchanan County,Hurley High,0.0
Buchanan County,Riverview Elementary/Middle,0.0013774104683195593
Buchanan County,Twin Valley Elementary/Middle,0.0
Buchanan County,Twin Valley High,0.0
Buckingham County,Buckingham Co Elementary,0.0024271844660194173
Buckingham County,Buckingham Co Prekindergarten Center,0.0
Buckingham County,Buckingham Co Primary,0.0
Buckingham County,Buckingham County High,0.0050335570469798654
Buckingham County,Buckingham County Middle,0.007936507936507936
Buena Vista City,Enderly Heights Elementary,0.0
Buena Vista City,F.W. Kling Jr. Elementary,0.004291845493562232
Buena Vista City,Parry McCluer High,0.002898550724637681
Buena Vista City,Parry McCluer Middle,0.0
Campbell County,Altavista Elementary,0.0
Campbell County,Altavista High,0.0
Campbell County,Brookneal Elementary,0.0
Campbell County,Brookville High,
Campbell County,Brookville Middle,0.0027247956403269754
Campbell County,Concord Elementary,0.0
Campbell County,Leesville Road Elementary,0.0
Campbell County,Rustburg Elementary,0.0
Campbell County,Rustburg High,0.0
Campbell County,Rustburg Middle,0.0
Campbell County,Tomahawk Elementary,0.002890173410404624
Campbell County,William Campbell High,0.0
Campbell County,Yellow Branch Elementary,0.0
Caroline County,Bowling Green Elementary,0.004076086956521739
Caroline County,Caroline High,1.0
