Sch_div,School,Division,Street,City,State,Zip,Latitude,Longitude
Tappahannock Elementary Essex County Public Schools,Tappahannock Elementary,Essex County Public Schools,205 Elementary School Circle,Tappahannock,VA,22560,37.931841,-76.861734
Patrick Springs Primary Patrick County Public Schools,Patrick Springs Primary,Patrick County Public Schools,75 Elementary Lane,Patrick Springs,VA,24133,36.643265,-80.199517
Carysbrook Elementary Fluvanna County Public Schools,Carysbrook Elementary,Fluvanna County Public Schools,9172 James Madison Highway,Fork Union,VA,23055,37.81352,-78.244051
Lancaster Primary Lancaster County Public Schools,Lancaster Primary,Lancaster County Public Schools,36 Primary School Circle,Lancaster,VA,22503,37.751417,-76.416346
Mathews Elementary Mathews County Public Schools,Mathews Elementary,Mathews County Public Schools,"Rt 611, 347 Church Street",Mathews,VA,23109,37.438648,-76.329785
Cumberland Elementary Cumberland County Public Schools,Cumberland Elementary,Cumberland County Public Schools,60 School Rd,Cumberland,VA,23040,37.490737,-78.249792
Blackstone Primary Nottoway County Public Schools,Blackstone Primary,Nottoway County Public Schools,615 East Street,Blackstone,VA,23824,37.072838,-77.994646
Crewe Primary Nottoway County Public Schools,Crewe Primary,Nottoway County Public Schools,1953 Sunnyside Rd,Crewe,VA,23930,37.165133,-78.109593
Prince Edward Elementary Prince Edward County Public Schools,Prince Edward Elementary,Prince Edward County Public Schools,35 Eagle Dr.,Farmville,VA,23901,37.267205,-78.405593
Surry Elementary Surry County Public Schools,Surry Elementary,Surry County Public Schools,1600 Hollybush Rd,Dendron,VA,23839,37.079203,-76.902095
Frederick Douglass Elementary Winchester City Public Schools,Frederick Douglass Elementary,Winchester City Public Schools,100 Cedarmeade Ave,Winchester,VA,22601,39.151578,-78.180695
Garland R. Quarles Elementary Winchester City Public Schools,Garland R. Quarles Elementary,Winchester City Public Schools,1310 S Loudoun St,Winchester,VA,22601,39.172318,-78.16766
John Kerr Elementary Winchester City Public Schools,John Kerr Elementary,Winchester City Public Schools,427 Meadow Branch Ave,Winchester,VA,22601,39.186939,-78.191492
Appomattox Elementary Appomattox County Public Schools,Appomattox Elementary,Appomattox County Public Schools,176 Kids Place,Appomattox,VA,24522,37.352366,-78.838052
Buckingham Co Elementary Buckingham County Public Schools,Buckingham Co Elementary,Buckingham County Public Schools,40 Frank Harris Raod,Dillwyn,VA,23936,37.55294,-78.483887
Enderly Heights Elementary Buena Vista City Public Schools,Enderly Heights Elementary,Buena Vista City Public Schools,101 Woodland Ave,Buena Vista,VA,24416,37.714384,-79.364271
Oak Street Elementary Falls Church City Public Schools,Oak Street Elementary,Falls Church City Public Schools,601 S Oak St,Falls Church,VA,22046,38.883347,-77.183796
Nathanael Greene Elementary Greene County Public Schools,Nathanael Greene Elementary,Greene County Public Schools,8094 Spotswood Trail,Stanardsville,VA,22973,38.296084,-78.446276
Acquinton Elementary King William County Public Schools,Acquinton Elementary,King William County Public Schools,18550 King William Road,King William,VA,23086,37.692811,-77.034772
Waverly Yowell Elementary Madison County Public Schools,Waverly Yowell Elementary,Madison County Public Schools,1809 North Main Street,Madison,VA,22727,38.384616,-78.251926
Manassas Park Elementary Manassas Park City Public Schools,Manassas Park Elementary,Manassas Park City Public Schools,9298 Cougar Court,Manassas Park,VA,20111,38.7618,-77.42252
Lightfoot Elementary Orange County Public Schools,Lightfoot Elementary,Orange County Public Schools,11360 Zachary Taylor Hwy,Unionville,VA,22567,38.246079,-77.953327
Locust Grove Elementary Orange County Public Schools,Locust Grove Elementary,Orange County Public Schools,31208 Constitution Highway,Locust Grove,VA,22508,38.299285,-77.830028
Poquoson Elementary Poquoson City Public Schools,Poquoson Elementary,Poquoson City Public Schools,1033 Poquoson Ave,Poquoson,VA,23662,37.129376,-76.361283
Belfield Elementary Greensville County Public Schools,Belfield Elementary,Greensville County Public Schools,515 Belfield Rd,Emporia,VA,23847,36.721079,-77.539348
Callaghan Elementary Alleghany Highlands Public Schools,Callaghan Elementary,Alleghany Highlands Public Schools,4050 Midland Trail,Covington,VA,24426,37.813229,-80.078109
Mountain View Elementary Alleghany Highlands Public Schools,Mountain View Elementary,Alleghany Highlands Public Schools,100 Gleason Dr.,Covington,VA,24426,37.800745,-79.874017
Sharon Elementary Alleghany Highlands Public Schools,Sharon Elementary,Alleghany Highlands Public Schools,606 S. Lexington Ave,Covington,VA,24426,37.784073,-79.991508
D.G. Cooley Elementary Clarke County Public Schools,D.G. Cooley Elementary,Clarke County Public Schools,240 Westwood Rd,Berryville,VA,22611,39.158881,-78.001449
Dinwiddie Elementary Dinwiddie County Public Schools,Dinwiddie Elementary,Dinwiddie County Public Schools,13811 Boydton Plank Rd,Dinwiddie,VA,23841,37.080851,-77.582093
Midway Elementary Dinwiddie County Public Schools,Midway Elementary,Dinwiddie County Public Schools,5511 Midway Rd,Church Road,VA,23833,37.195759,-77.614983
Hugh Mercer Elementary Fredericksburg City Public Schools,Hugh Mercer Elementary,Fredericksburg City Public Schools,2100 Cowan Blvd,Fredericksburg,VA,22401,38.302698,-77.486802
Lafayette Elementary Fredericksburg City Public Schools,Lafayette Elementary,Fredericksburg City Public Schools,3 Learning Lane,Fredericksburg,VA,22401,38.275328,-77.490354
Fairview Elementary Grayson County Public Schools,Fairview Elementary,Grayson County Public Schools,2323 Fairview Rd,Galax,VA,24333,36.583834,-80.910788
Independence Elementary Grayson County Public Schools,Independence Elementary,Grayson County Public Schools,915 E Main St,Independence,VA,24348,36.62312,-81.136813
Ruckersville Elementary Greene County Public Schools,Ruckersville Elementary,Greene County Public Schools,105 Progress Place,Ruckersville,VA,22968,38.24304,-78.389062
Dupont Elementary Hopewell City Public Schools,Dupont Elementary,Hopewell City Public Schools,300 S. 18th Avenue,Hopewell,VA,23860,37.295611,-77.30359
Harry E. James Elementary Hopewell City Public Schools,Harry E. James Elementary,Hopewell City Public Schools,1807 Arlington Rd,Hopewell,VA,23860,37.277855,-77.291475
Patrick Copeland Elementary Hopewell City Public Schools,Patrick Copeland Elementary,Hopewell City Public Schools,400 Westhill Drive,Hopewell,VA,23860,37.289287,-77.316994
Potomac Elementary King George County Public Schools,Potomac Elementary,King George County Public Schools,16495 15th Street,Dahlgren,VA,22448,38.336086,-77.052877
Harrington Waddell Elementary Lexington City Public Schools,Harrington Waddell Elementary,Lexington City Public Schools,100 Pendleton Place,Lexington,VA,24450,37.781652,-79.452634
Victoria Elementary Lunenburg County Public Schools,Victoria Elementary,Lunenburg County Public Schools,1521 Eighth St,Victoria,VA,23974,36.996185,-78.22363
Albert Harris Elementary Martinsville City Public Schools,Albert Harris Elementary,Martinsville City Public Schools,710 Smith Road,Martinsville,VA,24112,36.691691,-79.885525
Patrick Henry Elementary Martinsville City Public Schools,Patrick Henry Elementary,Martinsville City Public Schools,1810 Church Street Ext.,Martinsville,VA,24112,36.684924,-79.856128
Gordon-Barbour Elementary Orange County Public Schools,Gordon-Barbour Elementary,Orange County Public Schools,500 W Baker Street,Gordonsville,VA,22942,38.138009,-78.1929
Orange Elementary Orange County Public Schools,Orange Elementary,Orange County Public Schools,230 Montevista Avenue,Orange,VA,22960,38.247827,-78.11779
Cool Spring Elementary Petersburg City Public Schools,Cool Spring Elementary,Petersburg City Public Schools,1450 Talley Avenue,Petersburg,VA,23803,37.205221,-77.41489
Lakemont Elementary Petersburg City Public Schools,Lakemont Elementary,Petersburg City Public Schools,51 Gibbons St,Petersburg,VA,23803,37.235627,-77.372394
Pleasants Lane Elementary Petersburg City Public Schools,Pleasants Lane Elementary,Petersburg City Public Schools,100 Pleasants Lane,Petersburg,VA,23803,37.212402,-77.43157
Walnut Hill Elementary Petersburg City Public Schools,Walnut Hill Elementary,Petersburg City Public Schools,300 S Boulevard,Petersburg,VA,23805,37.202147,-77.385958
Pocahontas Elementary Powhatan County Public Schools,Pocahontas Elementary,Powhatan County Public Schools,4294 Anderson Hwy,Powhatan,VA,23139,37.560216,-77.948904
Powhatan Elementary Powhatan County Public Schools,Powhatan Elementary,Powhatan County Public Schools,4111 Old Buckingham Rd,Powhatan,VA,23139,37.551577,-77.934227
South Salem Elementary Salem City Public Schools,South Salem Elementary,Salem City Public Schools,1600 Carolyn Rd,Salem,VA,24153,37.27786,-80.082845
West Salem Elementary Salem City Public Schools,West Salem Elementary,Salem City Public Schools,520 N Bruffey St,Salem,VA,24153,37.296835,-80.075011
Arthur R. Ware Elementary Staunton City Public Schools,Arthur R. Ware Elementary,Staunton City Public Schools,330 Grubert Avenue,Staunton,VA,24401,38.160958,-79.098444
Bessie Weller Elementary Staunton City Public Schools,Bessie Weller Elementary,Staunton City Public Schools,600 Greenville Ave,Staunton,VA,24401,38.138652,-79.072722
Thomas C. McSwain Elementary Staunton City Public Schools,Thomas C. McSwain Elementary,Staunton City Public Schools,1101 N Coalter St,Staunton,VA,24401,38.163677,-79.057405
Amelia County Elementary Amelia County Public Schools,Amelia County Elementary,Amelia County Public Schools,8533 N Five Forks Rd,Amelia Court House,VA,23002,37.330802,-77.984839
Highland View Elementary Bristol City Public Schools,Highland View Elementary,Bristol City Public Schools,1425 Eads St,Bristol,VA,24201,36.607048,-82.164131
Joseph Van Pelt Elementary Bristol City Public Schools,Joseph Van Pelt Elementary,Bristol City Public Schools,350 Spring Hill Terrace,Bristol,VA,24201,36.622156,-82.139016
Stonewall Jackson Elementary Bristol City Public Schools,Stonewall Jackson Elementary,Bristol City Public Schools,2045 Euclid Ave,Bristol,VA,24201,36.597544,-82.207105
Washington-Lee Elementary Bristol City Public Schools,Washington-Lee Elementary,Bristol City Public Schools,185 Washington Lee Dr,Bristol,VA,24201,36.610927,-82.178096
Meherrin Powellton Elementary Brunswick County Public Schools,Meherrin Powellton Elementary,Brunswick County Public Schools,11555 Dry Bread Road,Lawrenceville,VA,23868,36.668978,-77.797292
Red Oak-Sturgeon Elementary Brunswick County Public Schools,Red Oak-Sturgeon Elementary,Brunswick County Public Schools,4081 Flatrock Road,Alberta,VA,23821,36.906263,-77.878578
Totaro Elementary Brunswick County Public Schools,Totaro Elementary,Brunswick County Public Schools,19350 Christanna Highway,Lawrenceville,VA,23868,36.778938,-77.871703
Bowling Green Elementary Caroline County Public Schools,Bowling Green Elementary,Caroline County Public Schools,17502 New Baltimore Road,Milford,VA,22514,38.024405,-77.342017
Lewis and Clark Elementary Caroline County Public Schools,Lewis and Clark Elementary,Caroline County Public Schools,18101 Clark & York Blvd,Ruther Glen,VA,22546,38.020171,-77.531564
Madison Elementary Caroline County Public Schools,Madison Elementary,Caroline County Public Schools,9075 Chance Place,Ruther Glen,VA,22546,38.026612,-77.490298
Bacon District Elementary Charlotte County Public Schools,Bacon District Elementary,Charlotte County Public Schools,840 Bacon School Rd,Saxe,VA,23967,36.88845,-78.565541
Eureka Elementary Charlotte County Public Schools,Eureka Elementary,Charlotte County Public Schools,315 Eureka School Rd,Keysville,VA,23947,37.042056,-78.551231
Phenix Elementary Charlotte County Public Schools,Phenix Elementary,Charlotte County Public Schools,400 Red House Road,Phenix,VA,23959,37.085024,-78.745231
Boyce Elementary Clarke County Public Schools,Boyce Elementary,Clarke County Public Schools,119 W Main St,Boyce,VA,22620,39.094959,-78.065705
Lakeview Elementary Colonial Heights City Public Schools,Lakeview Elementary,Colonial Heights City Public Schools,401 Taswell Ave,Colonial Heights,VA,23834,37.266264,-77.415101
North Elementary Colonial Heights City Public Schools,North Elementary,Colonial Heights City Public Schools,3201 Dale Ave,Colonial Heights,VA,23834,37.273512,-77.408495
Tussing Elementary Colonial Heights City Public Schools,Tussing Elementary,Colonial Heights City Public Schools,5501 Conduit Rd,Colonial Heights,VA,23834,37.281359,-77.37014
McCleary Elementary Craig County Public Schools,McCleary Elementary,Craig County Public Schools,25345 Craigs Creek Road,New Castle,VA,24127,37.516108,-80.085491
Clintwood Elementary Dickenson County Public Schools,Clintwood Elementary,Dickenson County Public Schools,150 Elementary Circle,Clintwood,VA,24228,37.157848,-82.44304
Ervinton Elementary Dickenson County Public Schools,Ervinton Elementary,Dickenson County Public Schools,195 Ervinton Circle,Nora,VA,24272,37.067336,-82.343513
Sandlick Elementary Dickenson County Public Schools,Sandlick Elementary,Dickenson County Public Schools,186 Anderson Lane,Birchleaf,VA,24220,37.181151,-82.275719
Southside Elementary Dinwiddie County Public Schools,Southside Elementary,Dinwiddie County Public Schools,10305 Boydton Plank Rd,Dinwiddie,VA,23841,37.129805,-77.535245
Sunnyside Elementary Dinwiddie County Public Schools,Sunnyside Elementary,Dinwiddie County Public Schools,10203 Melvin B. Alsbrooks Avenue,Mckenney,VA,23872,36.987646,-77.726804
Sutherland Elementary Dinwiddie County Public Schools,Sutherland Elementary,Dinwiddie County Public Schools,6000 R. B. Pamplin Drive,Sutherland,VA,23885,37.180418,-77.575347
S.P. Morton Elementary Franklin City Public Schools,S.P. Morton Elementary,Franklin City Public Schools,300 Morton Street,Franklin,VA,23851,36.663214,-76.925229
Galax Elementary Galax City Public Schools,Galax Elementary,Galax City Public Schools,300 McArthur Street,Galax,VA,24333,36.658492,-80.925026
Abingdon Elementary Gloucester County Public Schools,Abingdon Elementary,Gloucester County Public Schools,7087 Powhatan Drive,Hayes,VA,23072,37.291765,-76.513489
Achilles Elementary Gloucester County Public Schools,Achilles Elementary,Gloucester County Public Schools,9306 Guinea Road,Hayes,VA,23072,37.278392,-76.442051
Bethel Elementary Gloucester County Public Schools,Bethel Elementary,Gloucester County Public Schools,2991 Hickory Fork Rd,Gloucester,VA,23061,37.410684,-76.605608
Botetourt Elementary Gloucester County Public Schools,Botetourt Elementary,Gloucester County Public Schools,6361 Main Street,Gloucester,VA,23061,37.416746,-76.534101
Petsworth Elementary Gloucester County Public Schools,Petsworth Elementary,Gloucester County Public Schools,10658 Geo Washington Mem Hwy,Gloucester,VA,23061,37.417234,-76.536791
Byrd Elementary Goochland County Public Schools,Byrd Elementary,Goochland County Public Schools,2704 Hadensville Fife Rd,Goochland,VA,23063,37.757418,-78.05722
Goochland Elementary Goochland County Public Schools,Goochland Elementary,Goochland County Public Schools,3150 River Road West,Goochland,VA,23063,37.695934,-77.890161
Randolph Elementary Goochland County Public Schools,Randolph Elementary,Goochland County Public Schools,1552 Sheppard Town Rd,Crozier,VA,23039,37.685064,-77.795199
Greensville Elementary Greensville County Public Schools,Greensville Elementary,Greensville County Public Schools,1101 Sussex Dr,Emporia,VA,23847,36.716398,-77.529112
Highland Elementary Highland County Public Schools,Highland Elementary,Highland County Public Schools,252 Myers/Moon Rd,Monterey,VA,24465,38.407475,-79.579778
King George Elementary King George County Public Schools,King George Elementary,King George County Public Schools,10381 Ridge Road,King George,VA,22485,38.258964,-77.164351
Jouett Elementary Louisa County Public Schools,Jouett Elementary,Louisa County Public Schools,315 Jouett School Rd,Mineral,VA,23117,37.898043,-77.843711
Moss-Nuckols Elementary Louisa County Public Schools,Moss-Nuckols Elementary,Louisa County Public Schools,2055 Courthouse Road,Louisa,VA,23093,37.95606,-78.0888
Thomas Jefferson Elementary Louisa County Public Schools,Thomas Jefferson Elementary,Louisa County Public Schools,1782 Jefferson Hwy,Louisa,VA,23093,37.994497,-77.962565
Trevilians Elementary Louisa County Public Schools,Trevilians Elementary,Louisa County Public Schools,2035 Spotswood Trail,Louisa,VA,23093,38.075416,-78.099992
Kenbridge Elementary Lunenburg County Public Schools,Kenbridge Elementary,Lunenburg County Public Schools,215 Nottoway Falls Rd,Kenbridge,VA,23944,36.967677,-78.122822
Chase City Elementary Mecklenburg County Public Schools,Chase City Elementary,Mecklenburg County Public Schools,5450 Highway Forty-Seven,Chase City,VA,23924,36.771496,-78.425379
Clarksville Elementary Mecklenburg County Public Schools,Clarksville Elementary,Mecklenburg County Public Schools,6825 Skipwith Road,Skipwith,VA,23968,36.705649,-78.496145
South Hill Elementary Mecklenburg County Public Schools,South Hill Elementary,Mecklenburg County Public Schools,1290 Plank Road,South Hill,VA,23970,36.719376,-78.160159
Middlesex Elementary Middlesex County Public Schools,Middlesex Elementary,Middlesex County Public Schools,823 Philpot Rd.,Locust Hill,VA,23092,37.588704,-76.503679
Rockfish River Elementary Nelson County Public Schools,Rockfish River Elementary,Nelson County Public Schools,200 Chapel Hollow Rd,Afton,VA,22920,37.94471,-78.838668
Tye River Elementary Nelson County Public Schools,Tye River Elementary,Nelson County Public Schools,5198 Thomas Nelson Hwy,Arrington,VA,22922,37.710042,-78.912977
George W. Watkins Elementary New Kent County Public Schools,George W. Watkins Elementary,New Kent County Public Schools,6501 New Kent Hwy,Quinton,VA,23141,37.529489,-77.098169
Northumberland Elementary Northumberland County Public Schools,Northumberland Elementary,Northumberland County Public Schools,757 Academic Lane,Heathsville,VA,22473,37.907037,-76.440478
Luray Elementary Page County Public Schools,Luray Elementary,Page County Public Schools,555 First St,Luray,VA,22835,38.658291,-78.455437
Shenandoah Elementary Page County Public Schools,Shenandoah Elementary,Page County Public Schools,529 4th Street,Shenandoah,VA,22849,38.485546,-78.621589
Springfield Elementary Page County Public Schools,Springfield Elementary,Page County Public Schools,158 Big Spring Lane,Rileyville,VA,22650,38.728415,-78.421522
Stanley Elementary Page County Public Schools,Stanley Elementary,Page County Public Schools,306 Aylor Grubbs Ave,Stanley,VA,22851,38.578299,-78.502867
Flat Rock Elementary Powhatan County Public Schools,Flat Rock Elementary,Powhatan County Public Schools,2210 Batterson Road,Powhatan,VA,23139,37.519169,-77.798584
David A. Harrison Elementary Prince George County Public Schools,David A. Harrison Elementary,Prince George County Public Schools,12900 E Quaker Rd,Disputanta,VA,23842,37.134458,-77.227687
L.L. Beazley Elementary Prince George County Public Schools,L.L. Beazley Elementary,Prince George County Public Schools,6700 Courthouse Rd,Prince George,VA,23875,37.224655,-77.284627
North Elementary Prince George County Public Schools,North Elementary,Prince George County Public Schools,11106 Old Stage Rd,Prince George,VA,23875,37.232421,-77.208867
South Elementary Prince George County Public Schools,South Elementary,Prince George County Public Schools,13400 Prince George Dr,Disputanta,VA,23842,37.128328,-77.311547
Critzer Elementary Pulaski County Public Schools,Critzer Elementary,Pulaski County Public Schools,100 Critzer Dr,Pulaski,VA,24301,37.059218,-80.74164
Dublin Elementary Pulaski County Public Schools,Dublin Elementary,Pulaski County Public Schools,600 Dunlap St,Dublin,VA,24084,37.101792,-80.678427
Riverlawn Elementary Pulaski County Public Schools,Riverlawn Elementary,Pulaski County Public Schools,8100 Beth Nelson Drive,Fairlawn,VA,24141,37.152155,-80.564225
Snowville Elementary Pulaski County Public Schools,Snowville Elementary,Pulaski County Public Schools,4858 Lead Mine Rd,Hiwassee,VA,24347,37.023302,-80.592691
Central Elementary Rockbridge County Public Schools,Central Elementary,Rockbridge County Public Schools,85 Central Road,Lexington,VA,24450,37.780876,-79.434304
Fairfield Elementary Rockbridge County Public Schools,Fairfield Elementary,Rockbridge County Public Schools,20 Fairfield School Rd,Fairfield,VA,24435,37.877095,-79.293862
Mountain View Elementary Rockbridge County Public Schools,Mountain View Elementary,Rockbridge County Public Schools,20 Burger Circle,Buena Vista,VA,24416,37.781345,-79.355845
Natural Bridge Elementary Rockbridge County Public Schools,Natural Bridge Elementary,Rockbridge County Public Schools,42 Natural Bridge School Rd.,Natural Bridge Station,VA,24479,37.620172,-79.499814
East Salem Elementary Salem City Public Schools,East Salem Elementary,Salem City Public Schools,1765 Boulevard,Salem,VA,24153,37.28814,-80.067762
G.W. Carver Elementary Salem City Public Schools,G.W. Carver Elementary,Salem City Public Schools,6 Fourth St,Salem,VA,24153,37.286076,-80.057155
Capron Elementary Southampton County Public Schools,Capron Elementary,Southampton County Public Schools,18414 Southampton Pky,Capron,VA,23829,36.704779,-77.189808
Meherrin Elementary Southampton County Public Schools,Meherrin Elementary,Southampton County Public Schools,28600 Grays Shop Rd.,Newsoms,VA,23874,36.630984,-77.13276
Nottoway Elementary Southampton County Public Schools,Nottoway Elementary,Southampton County Public Schools,13093 Ivor Rd.,Sedley,VA,23878,36.841915,-76.985968
Riverdale Elementary Southampton County Public Schools,Riverdale Elementary,Southampton County Public Schools,31023 Camp Parkway,Courtland,VA,23837,36.691654,-76.980189
Sussex Central Elementary Sussex County Public Schools,Sussex Central Elementary,Sussex County Public Schools,21392 Sussex Drive,Stony Creek,VA,23882,36.917975,-77.253561
West Point Elementary West Point Public Schools,West Point Elementary,West Point Public Schools,1060 Thompson Ave,West Point,VA,23181,37.557855,-76.795128
Cople Elementary Westmoreland County Public Schools,Cople Elementary,Westmoreland County Public Schools,7114 Cople Highway,Hague,VA,22469,38.073536,-76.675902
Washington District Elementary Westmoreland County Public Schools,Washington District Elementary,Westmoreland County Public Schools,454 Oak Grove Road,Colonial Beach,VA,22443,38.182547,-77.007303
Belle Heth Elementary Radford City Public Schools,Belle Heth Elementary,Radford City Public Schools,151 George Street,Radford,VA,24141,37.132311,-80.557304
Nottoway Intermediate Nottoway County Public Schools,Nottoway Intermediate,Nottoway County Public Schools,5285 Old Nottoway Road,Crewe,VA,23930,37.123654,-78.06658
Daniel Morgan Intermediate Winchester City Public Schools,Daniel Morgan Intermediate,Winchester City Public Schools,48 S. Purcell St.,Winchester,VA,22601,39.179167,-78.150463
Charles City County Elementary Charles City County Public Schools,Charles City County Elementary,Charles City County Public Schools,10049 Courthouse Rd,Charles City,VA,23030,37.347554,-77.076313
King & Queen Elementary King and Queen County Public Schools,King & Queen Elementary,King and Queen County Public Schools,24667 The Trail,Mattaponi,VA,23110,37.613741,-76.781952
Lawson-Marriott Elementary King and Queen County Public Schools,Lawson-Marriott Elementary,King and Queen County Public Schools,1599 Newtown Rd,St Stephens Church,VA,23148,37.823669,-77.062393
Kiptopeke Elementary Northampton County Public Schools,Kiptopeke Elementary,Northampton County Public Schools,24023 Fairview Rd,Cape Charles,VA,23310,37.252287,-75.970391
Occohannock Elementary Northampton County Public Schools,Occohannock Elementary,Northampton County Public Schools,4208 Seaside Rd,Exmore,VA,23350,37.521221,-75.815543
Hardin Reynolds Memorial School Patrick County Public Schools,Hardin Reynolds Memorial School,Patrick County Public Schools,3597 Dogwood Rd,Critz,VA,24082,36.631199,-80.145514
Fluvanna Middle Fluvanna County Public Schools,Fluvanna Middle,Fluvanna County Public Schools,3717 Central Plains Road,Palmyra,VA,22963,37.824484,-78.27451
Lancaster Middle Lancaster County Public Schools,Lancaster Middle,Lancaster County Public Schools,191 School Street,Kilmarnock,VA,22482,37.712703,-76.38303
Parry McCluer Middle Buena Vista City Public Schools,Parry McCluer Middle,Buena Vista City Public Schools,2329 Chestnut Ave,Buena Vista,VA,24416,37.736796,-79.351204
Indian Valley Elementary Floyd County Public Schools,Indian Valley Elementary,Floyd County Public Schools,4130 Indian Valley Rd NW,Radford,VA,24141,36.916533,-80.539206
Richmond County Elementary Richmond County Public Schools,Richmond County Elementary,Richmond County Public Schools,361 Walnut St,Warsaw,VA,22572,37.945581,-76.744556
Jeter-Watson Elementary Alleghany Highlands Public Schools,Jeter-Watson Elementary,Alleghany Highlands Public Schools,560 West Indian Valley Road,Covington,VA,24426,37.752741,-79.994604
Millboro Elementary Bath County Public Schools,Millboro Elementary,Bath County Public Schools,411 Church Street,Millboro,VA,24460,37.977456,-79.606452
Valley Elementary Bath County Public Schools,Valley Elementary,Bath County Public Schools,98 Panther Drive,Hot Springs,VA,24445,37.973118,-79.852283
Council Elementary/Middle Buchanan County Public Schools,Council Elementary/Middle,Buchanan County Public Schools,7608 Helen Henderson Hwy,Honaker,VA,24260,37.083134,-82.082111
Hurley Elementary/Middle Buchanan County Public Schools,Hurley Elementary/Middle,Buchanan County Public Schools,6911 Hurley Road,Hurley,VA,24620,37.385259,-82.000457
Twin Valley Elementary/Middle Buchanan County Public Schools,Twin Valley Elementary/Middle,Buchanan County Public Schools,9017 Riverside Drive,Oakwood,VA,24631,37.204331,-81.975077
Colonial Beach Elementary Colonial Beach Public Schools,Colonial Beach Elementary,Colonial Beach Public Schools,102 First Street,Colonial Beach,VA,22443,38.258587,-76.968674
Check Elementary Floyd County Public Schools,Check Elementary,Floyd County Public Schools,6810 Floyd Highway North,Check,VA,24072,37.034823,-80.164296
Floyd Elementary Floyd County Public Schools,Floyd Elementary,Floyd County Public Schools,531 Oak Hill Drive,Floyd,VA,24091,36.910561,-80.307861
Willis Elementary Floyd County Public Schools,Willis Elementary,Floyd County Public Schools,5075 Floyd Highway S,Willis,VA,24380,36.863622,-80.466392
Macy Mcclaugherty Elementary/Middle Giles County Public Schools,Macy Mcclaugherty Elementary/Middle,Giles County Public Schools,1001 Henson Ave,Pearisburg,VA,24134,37.324937,-80.727946
Fries Elementary Grayson County Public Schools,Fries Elementary,Grayson County Public Schools,114 E Main St,Fries,VA,24330,36.714468,-80.973649
Grayson Highlands Grayson County Public Schools,Grayson Highlands,Grayson County Public Schools,6459 Troutdale Hwy.,Troutdale,VA,24378,36.651927,-81.406467
Norton Elementary Norton City Public Schools,Norton Elementary,Norton City Public Schools,205 E Park Ave,Norton,VA,24273,36.941704,-82.622368
Blue Ridge Elementary Patrick County Public Schools,Blue Ridge Elementary,Patrick County Public Schools,5135 Ararat Hwy,Ararat,VA,24053,36.600208,-80.510299
Stuart Elementary Patrick County Public Schools,Stuart Elementary,Patrick County Public Schools,314 Staples Ave,Stuart,VA,24171,36.641232,-80.275441
Woolwine Elementary Patrick County Public Schools,Woolwine Elementary,Patrick County Public Schools,9993 Woolwine Hwy,Woolwine,VA,24185,36.787992,-80.275506
Rappahannock County Elementary Rappahannock County Public Schools,Rappahannock County Elementary,Rappahannock County Public Schools,34 Schoolhouse Road,Washington,VA,22747,38.688017,-78.176358
Dryden Elementary Lee County Public Schools,Dryden Elementary,Lee County Public Schools,176 School House Ridge Road,Dryden,VA,24243,36.779056,-82.941257
Elk Knob Elementary Lee County Public Schools,Elk Knob Elementary,Lee County Public Schools,148 Hornet Loop,Pennington Gap,VA,24277,36.730259,-82.99273
Flatwoods Elementary Lee County Public Schools,Flatwoods Elementary,Lee County Public Schools,205 Flatwoods School Road,Jonesville,VA,24263,36.650518,-83.233765
Rose Hill Elementary Lee County Public Schools,Rose Hill Elementary,Lee County Public Schools,150 Rose Hill Drive,Rose Hill,VA,24281,36.676691,-83.3641
St. Charles Elementary Lee County Public Schools,St. Charles Elementary,Lee County Public Schools,2434 St. Charles Road,St Charles,VA,24282,36.803812,-83.057236
Elydale Middle Lee County Public Schools,Elydale Middle,Lee County Public Schools,128 Elydale Road,Ewing,VA,24248,36.628413,-83.528753
Jonesville Middle Lee County Public Schools,Jonesville Middle,Lee County Public Schools,160 Bulldog Circle,Jonesville,VA,24263,36.68417,-83.12372
Pennington Middle Lee County Public Schools,Pennington Middle,Lee County Public Schools,121 Bobcat Circle,Pennington Gap,VA,24277,36.763204,-83.01615
Coeburn Primary Wise County Public Schools,Coeburn Primary,Wise County Public Schools,332 School House Hill Dr.,Coeburn,VA,24230,36.948012,-82.468514
Union Primary Wise County Public Schools,Union Primary,Wise County Public Schools,2945 Second Avenue East,Big Stone Gap,VA,24219,36.884109,-82.738036
Wise Primary Wise County Public Schools,Wise Primary,Wise County Public Schools,323 Railroad Ave SE,Wise,VA,24293,36.973482,-82.57694
Bethel Manor Elementary York County Public Schools,Bethel Manor Elementary,York County Public Schools,1797 First St,Langley A F B,VA,23665,37.094179,-76.423846
Coventry Elementary York County Public Schools,Coventry Elementary,York County Public Schools,200 Owen Davis Blvd,Yorktown,VA,23693,37.106729,-76.439966
Dare Elementary York County Public Schools,Dare Elementary,York County Public Schools,300 Dare Rd,Yorktown,VA,23692,37.162591,-76.458157
Grafton Bethel Elementary York County Public Schools,Grafton Bethel Elementary,York County Public Schools,410 Lakeside Dr,Grafton,VA,23692,37.148486,-76.453517
Magruder Elementary York County Public Schools,Magruder Elementary,York County Public Schools,700 Penniman Rd,Williamsburg,VA,23185,37.266746,-76.673128
