Division Name,School Name,percentage_disabled
Augusta County,Wilson Middle,0.12933753943217666
Bath County,Bath County High,0.12234042553191489
Bath County,Millboro Elementary,0.22695035460992907
Bath County,Valley Elementary,0.1907514450867052
Bedford County,Bedford Elementary,0.12056737588652482
Bedford County,Bedford Primary,0.24
Bedford County,Big Island Elementary,0.08904109589041095
Bedford County,Boonsboro Elementary,0.06764705882352941
Bedford County,Forest Elementary,0.05128205128205128
Bedford County,Forest Middle,0.08626560726447219
Bedford County,Goodview Elementary,0.15113871635610765
Bedford County,Huddleston Elementary,0.1152073732718894
Bedford County,Jefferson Forest High,1.0
Bedford County,Liberty High,0.1584852734922861
Bedford County,Liberty Middle,0.16236162361623616
Bedford County,Moneta Elementary,0.08796296296296297
Bedford County,Montvale Elementary,0.1469387755102041
Bedford County,New London Academy Elementary,0.14779874213836477
Bedford County,Otter River Elementary,0.12631578947368421
Bedford County,Staunton River High,0.13166485310119697
Bedford County,Staunton River Middle,0.1323283082077052
Bedford County,Stewartsville Elementary,0.1264705882352941
Bedford County,Thomas Jefferson Elementary,0.09245283018867924
Bland County,Bland County Elementary,0.13256484149855907
Bland County,Bland County High,0.17204301075268819
Botetourt County,Breckinridge Elementary,0.1896551724137931
Botetourt County,Buchanan Elementary,0.23666666666666666
Botetourt County,Central Academy Middle,0.1568627450980392
Botetourt County,Cloverdale Elementary,0.1274131274131274
Botetourt County,Colonial Elementary,0.17272727272727273
Botetourt County,Eagle Rock Elementary,0.1875
Botetourt County,Greenfield Elementary,0.19907407407407407
Botetourt County,James River High,0.12394957983193278
Botetourt County,Lord Botetourt High,0.09910802775024777
Botetourt County,Read Mountain Middle,0.15047021943573669
Botetourt County,Troutville Elementary,0.17374517374517376
Bristol City,Highland View Elementary,0.22099447513812154
Bristol City,Joseph Van Pelt Elementary,0.19477434679334918
Bristol City,Stonewall Jackson Elementary,0.10833333333333334
Bristol City,Virginia High,0.15336463223787167
Bristol City,Virginia Middle,0.1934156378600823
Bristol City,Washington-Lee Elementary,0.1888412017167382
Brunswick County,Brunswick High,0.16173120728929385
Brunswick County,James S. Russell Middle,0.15337423312883436
Brunswick County,Meherrin Powellton Elementary,0.10112359550561797
Brunswick County,Red Oak-Sturgeon Elementary,0.16574585635359115
Brunswick County,Totaro Elementary,0.09491525423728814
Buchanan County,Council Elementary/Middle,0.13559322033898305
Buchanan County,Council High,0.248
Buchanan County,Grundy High,0.18309859154929578
Buchanan County,Hurley Elementary/Middle,0.18082191780821918
Buchanan County,Hurley High,0.1724137931034483
Buchanan County,Riverview Elementary/Middle,0.17768595041322313
Buchanan County,Twin Valley Elementary/Middle,0.1366906474820144
Buchanan County,Twin Valley High,0.16666666666666666
Buckingham County,Buckingham Co Elementary,0.14805825242718446
Buckingham County,Buckingham Co Prekindergarten Center,0.19318181818181818
Buckingham County,Buckingham Co Primary,0.12612612612612611
Buckingham County,Buckingham County High,0.14429530201342283
Buckingham County,Buckingham County Middle,0.14285714285714285
Buena Vista City,Enderly Heights Elementary,0.17297297297297298
Buena Vista City,F.W. Kling Jr. Elementary,0.26180257510729615
Buena Vista City,Parry McCluer High,0.1565217391304348
Buena Vista City,Parry McCluer Middle,0.20967741935483872
Campbell County,Altavista Elementary,0.09591836734693877
Campbell County,Altavista High,0.14102564102564102
Campbell County,Brookneal Elementary,0.10462287104622871
Campbell County,Brookville High,0.126
Campbell County,Brookville Middle,0.12942779291553133
Campbell County,Concord Elementary,0.12895377128953772
Campbell County,Leesville Road Elementary,0.11538461538461539
Campbell County,Rustburg Elementary,0.14383561643835616
Campbell County,Rustburg High,0.12919254658385093
Campbell County,Rustburg Middle,0.1487603305785124
Campbell County,Tomahawk Elementary,0.12283236994219653
Campbell County,William Campbell High,0.14004914004914004
Campbell County,Yellow Branch Elementary,0.1836007130124777
Caroline County,Bowling Green Elementary,0.15625
Caroline County,Caroline High,1.0
Caroline County,Caroline Middle,0.12962962962962962
Caroline County,Lewis and Clark Elementary,0.10218140068886337
Caroline County,Madison Elementary,0.11791383219954649
Carroll County,Carroll County High,0.1682509505703422
Carroll County,Carroll County Middle,0.16579634464751958
Carroll County,Fancy Gap Elementary,0.11188811188811189
Carroll County,Gladesboro Elementary,0.0
Carroll County,Gladeville Elementary,0.20481927710843373
Carroll County,Hillsville Elementary,0.22573839662447256
Carroll County,Laurel Elementary,0.14220183486238533
Carroll County,Oakland Elementary,0.17258883248730963
Carroll County,St. Paul,0.18553459119496854
Charles City County,Charles City County Elementary,0.2226027397260274
Charles City County,Charles City County High,0.16101694915254236
Charlotte County,Bacon District Elementary,0.125
Charlotte County,Central Middle,0.1503957783641161
Charlotte County,Eureka Elementary,0.07482993197278912
Charlotte County,Phenix Elementary,0.09813084112149532
Charlotte County,Randolph-Henry High,0.15748031496062992
Charlottesville City,Buford Middle,0.16026711185308848
Charlottesville City,Burnley-Moran Elementary,0.10869565217391304
Charlottesville City,Charlottesville High,1.0
Charlottesville City,Clark Elementary,0.11419753086419752
Charlottesville City,Greenbrier Elementary,0.10638297872340426
Charlottesville City,Jackson-Via Elementary,0.2
Charlottesville City,Johnson Elementary,0.11036789297658862
Charlottesville City,Venable Elementary,0.09187279151943463
Charlottesville City,Walker Upper Elementary,0.1476725521669342
Chesapeake City,B.M. Williams Primary,0.17857142857142858
Chesapeake City,Butts Road Intermediate,0.24635332252836303
Chesapeake City,Butts Road Primary,0.18953068592057762
Chesapeake City,Camelot Elementary,0.11801242236024845
Chesapeake City,Cedar Road Elementary,0.15795868772782504
Chesapeake City,Crestwood Intermediate,0.16119828815977175
Chesapeake City,Crestwood Middle,0.18148820326678766
Chesapeake City,Deep Creek Central Elementary,0.18505338078291814
Chesapeake City,Deep Creek Elementary,0.18961038961038962
Chesapeake City,Deep Creek High,1.0
Chesapeake City,Deep Creek Middle,0.19825436408977556
Chesapeake City,Edwin W. Chittum Elementary,0.20816864295125165
Chesapeake City,G.A. Treakle Elementary,0.2076749435665914
Chesapeake City,George W. Carver Intermediate,0.18590998043052837
Chesapeake City,Georgetown Primary,0.1617440225035162
Chesapeake City,Grassfield Elementary,1.0
Chesapeake City,Grassfield High,1.0
Chesapeake City,Great Bridge High,1.0
Chesapeake City,Great Bridge Intermediate,0.14243759177679882
Chesapeake City,Great Bridge Middle,1.0
Chesapeake City,Great Bridge Primary,0.15060240963855423
Chesapeake City,Greenbrier Intermediate,0.16559485530546625
Chesapeake City,Greenbrier Middle,0.23286052009456265
Chesapeake City,Greenbrier Primary,0.1997041420118343
Chesapeake City,Hickory Elementary,0.19005328596802842
Chesapeake City,Hickory High,1.0
Chesapeake City,Hickory Middle,1.0
Chesapeake City,Hugo A. Owens Middle,1.0
Chesapeake City,Indian River High,1.0
Chesapeake City,Indian River Middle,0.23014804845222073
Chesapeake City,Jolliff Middle,0.2177650429799427
Chesapeake City,Norfolk Highlands Primary,0.15018315018315018
Chesapeake City,Oscar F. Smith High,1.0
Chesapeake City,Oscar Smith Middle,0.23054474708171208
Chesapeake City,Portlock Primary,0.14408233276157806
Chesapeake City,Rena B. Wright Primary,0.13993174061433447
Chesapeake City,Southeastern Elementary,0.21859903381642512
Chesapeake City,Southwestern Elementary,0.16605839416058393
Chesapeake City,Sparrow Road Intermediate,0.18580375782881003
Chesapeake City,Thurgood Marshall Elementary,0.12558139534883722
Chesapeake City,Truitt Intermediate,0.21673003802281368
Chesapeake City,Western Branch High,1.0
Chesapeake City,Western Branch Intermediate,0.17408906882591094
Chesapeake City,Western Branch Middle,0.1912087912087912
Chesapeake City,Western Branch Primary,0.17089452603471295
Chesterfield County,A.M. Davis Elementary,0.14185393258426968
Chesterfield County,Alberta Smith Elementary,0.15151515151515152
Chesterfield County,Bailey Bridge Middle,1.0
Chesterfield County,Bellwood Elementary,0.12883435582822086
Chesterfield County,Bensley Elementary,0.12561174551386622
Chesterfield County,Bettie Weaver Elementary,0.1013745704467354
Chesterfield County,Beulah Elementary,0.09617373319544985
Chesterfield County,Bon Air Elementary,0.17766497461928935
Chesterfield County,C.C. Wells Elementary,0.13239875389408098
Chesterfield County,C.E. Curtis Elementary,0.11275964391691394
Chesterfield County,Carver College and Career Academy,0.29523809523809524
Chesterfield County,Carver Middle,0.18662952646239556
Chesterfield County,Chester Early Childhood Learning Academy,0.19130434782608696
Chesterfield County,Clover Hill Elementary,0.1364795918367347
Chesterfield County,Clover Hill High,1.0
Chesterfield County,Cosby High,1.0
Chesterfield County,Crestwood Elementary,0.11394557823129252
Chesterfield County,Ecoff Elementary,0.10405405405405406
Chesterfield County,Elizabeth Davis Middle,1.0
Chesterfield County,Elizabeth Scott Elementary,0.0916030534351145
Chesterfield County,Enon Elementary,0.11584553928095873
Chesterfield County,Ettrick Elementary,0.12857142857142856
Chesterfield County,Evergreen Elementary,0.1701388888888889
Chesterfield County,Falling Creek Elementary,0.09583858764186633
Chesterfield County,Falling Creek Middle,1.0
Chesterfield County,Grange Hall Elementary,0.11851015801354402
Chesterfield County,Greenfield Elementary,0.11991869918699187
Chesterfield County,Harrowgate Elementary,0.16411378555798686
Chesterfield County,Hopkins Road Elementary,0.09421265141318977
Chesterfield County,J.A. Chalkley Elementary,0.11425061425061425
Chesterfield County,J.B. Watkins Elementary,0.09102402022756005
