Division Name,School Name,free_reduced_lunch_percentage
Greensville County,Greensville Elementary,0.988
Fauquier County,Greenville Elementary,0.073
Frederick County,Greenwood Mill Elementary,0.24600000000000002
Pittsylvania County,Gretna Elementary,0.86
Pittsylvania County,Gretna High,0.614
Pittsylvania County,Gretna Middle,0.826
Fairfax County,Groveton Elementary,0.826
Buchanan County,Grundy High,0.84
Loudoun County,Guilford Elementary,0.8170000000000001
Fairfax County,Gunston Elementary,0.34600000000000003
Arlington County,Gunston Middle,0.37
Augusta County,Guy K. Stump Elementary,0.39
Stafford County,H.H. Poole Middle,0.314
Fauquier County,H.M. Pearson Elementary,0.375
Halifax County,Halifax County High,0.846
Halifax County,Halifax County Middle,0.846
Fairfax County,Halley Elementary,0.39299999999999996
Loudoun County,Hamilton Elementary,0.136
King William County,Hamilton Holmes Middle,0.3
Hampton City,Hampton High,0.552
Stafford County,Hampton Oaks Elementary,0.228
Hanover County,Hanover High,0.14300000000000002
Patrick County,Hardin Reynolds Memorial School,0.6920000000000001
Montgomery County,Harding Avenue Elementary,0.187
Isle of Wight County,Hardy Elementary,0.45299999999999996
Loudoun County,Harmony Middle,0.077
Henrico County,Harold Macon Ratcliffe Elementary,0.8220000000000001
Loudoun County,Harper Park Middle,0.226
Lexington City,Harrington Waddell Elementary,0.23
Spotsylvania County,Harrison Road Elementary,0.513
Harrisonburg City,Harrisonburg High,0.6609999999999999
Chesterfield County,Harrowgate Elementary,0.902
Hopewell City,Harry E. James Elementary,0.986
Stafford County,Hartwood Elementary,0.278
Henrico County,Harvie Elementary,0.8220000000000001
Fairfax County,Haycock Elementary,0.013999999999999999
Fairfax County,Hayfield Elementary,0.151
Fairfax County,Hayfield Secondary,0.299
Prince William County,Haymarket Elementary,0.11800000000000001
Richmond City,Henderson Middle,1.0
Henrico County,Henrico High,0.512
Henrico County,Henry D. Ward Elementary,0.823
Franklin County,Henry Elementary,0.851
Richmond City,Henry Marsh III Elementary,1.0
Prince William County,Herbert J. Saunders Middle,0.327
Lynchburg City,Heritage Elementary,0.927
Loudoun County,Heritage High,0.225
Lynchburg City,Heritage High,0.616
Newport News City,Heritage High,0.765
Roanoke County,Herman L. Horn Elementary,0.489
Virginia Beach City,Hermitage Elementary,0.406
Henrico County,Hermitage High,0.54
Fairfax County,Herndon Elementary,0.6629999999999999
Fairfax County,Herndon High,0.449
Fairfax County,Herndon Middle,0.52
Chesapeake City,Hickory Elementary,0.23800000000000002
Chesapeake City,Hickory High,0.08
Chesapeake City,Hickory Middle,0.128
Roanoke County,Hidden Valley High,0.158
Roanoke County,Hidden Valley Middle,0.221
Newport News City,Hidenwood Elementary,0.764
Washington County,High Point Elementary,0.529
Highland County,Highland Elementary,0.5770000000000001
Highland County,Highland High,0.598
Roanoke City,Highland Park Elementary,1.0
Henrico County,Highland Springs Elementary,0.8220000000000001
Henrico County,Highland Springs High,0.596
Bristol City,Highland View Elementary,0.937
Warren County,Hilda J. Barbour Elementary,0.4
Suffolk City,Hillpoint Elementary,0.883
Loudoun County,Hillside Elementary,0.084
Carroll County,Hillsville Elementary,0.626
Scott County,Hilton Elementary,0.589
Newport News City,Hilton Elementary,0.764
Portsmouth City,Hodges Manor Elementary,1.0
Arlington County,Hoffman-Boston Elementary,0.45799999999999996
Virginia Beach City,Holland Elementary,0.8440000000000001
Fairfax County,Hollin Meadows Elementary,0.5870000000000001
Albemarle County,Hollymead Elementary,0.149
Fairfax County,Holmes Middle,0.594
Washington County,Holston High,0.631
Newport News City,Homer L. Hines Middle,0.764
Russell County,Honaker Elementary,0.6709999999999999
Russell County,Honaker High,0.621
Shenandoah County,Honey Run Elementary,0.604
Hopewell City,Hopewell High,0.987
Chesterfield County,Hopkins Road Elementary,0.677
Loudoun County,Horizon Elementary,0.165
Bedford County,Huddleston Elementary,0.519
Fredericksburg City,Hugh Mercer Elementary,0.81
Fairfax County,Hughes Middle,0.379
Chesapeake City,Hugo A. Owens Middle,0.262
Richmond City,Huguenot High,1.0
Fairfax County,Hunt Valley Elementary,0.068
Hampton City,Hunter B. Andrews,0.9109999999999999
Fairfax County,Hunters Woods Elementary School for the Arts and Sciences,0.23
Newport News City,Huntington Middle,0.763
Buchanan County,Hurley Elementary/Middle,0.8420000000000001
Buchanan County,Hurley High,0.8420000000000001
Roanoke City,Hurt Park Elementary,1.0
Fairfax County,Hutchison Elementary,0.826
Loudoun County,Hutchison Farm Elementary,0.225
Fairfax County,Hybla Valley Elementary,0.826
Portsmouth City,I.C. Norcom High,1.0
Grayson County,Independence Elementary,0.6940000000000001
Loudoun County,Independence High,0.077
Grayson County,Independence Middle,0.647
Virginia Beach City,Independence Middle,0.41200000000000003
Frederick County,Indian Hollow Elementary,0.409
Virginia Beach City,Indian Lakes Elementary,0.40299999999999997
Chesapeake City,Indian River High,0.452
Chesapeake City,Indian River Middle,0.606
Floyd County,Indian Valley Elementary,0.42
Norfolk City,Ingleside Elementary,0.96
Fairfax County,Irving Middle,0.155
Fairfax County,Island Creek Elementary,0.1
Williamsburg-James City County,J. Blaine Blayton Elementary,0.364
Rockingham County,J. Frank Hillyard Middle,0.435
Loudoun County,J. Lupton Simpson Middle,0.237
Loudoun County,J. Michael Lunsford Middle,0.10099999999999999
Chesterfield County,J.A. Chalkley Elementary,0.902
Richmond City,J.B. Fisher Elementary,1.0
Chesterfield County,J.B. Watkins Elementary,0.128
Chesterfield County,J.G. Hening Elementary,0.573
Richmond City,J.L. Francis Elementary,1.0
Wise County,J.W. Adams Combined,0.878
Prince William County,J.W. Alvey Elementary,0.040999999999999995
Henrico County,Jackson Davis Elementary,0.349
Wythe County,Jackson Memorial Elementary,0.5489999999999999
Fairfax County,Jackson Middle,0.503
Albemarle County,Jackson P. Burley Middle,0.405
Charlottesville City,Jackson-Via Elementary,0.856
Henrico County,Jacob L. Adams Elementary,0.823
Chesterfield County,Jacobs Road Elementary,0.42100000000000004
Norfolk City,Jacox Elementary,0.9590000000000001
Williamsburg-James City County,James Blair Middle,0.40399999999999997
Fauquier County,James G. Brumfield Elementary,0.32299999999999995
Alexandria City,James K. Polk Elementary,0.7170000000000001
Roanoke City,James Madison Middle,1.0
Norfolk City,James Monroe Elementary,0.961
Fredericksburg City,James Monroe High,0.426
Williamsburg-James City County,James River Elementary,0.698
Botetourt County,James River High,0.243
Chesterfield County,James River High,0.28
Brunswick County,James S. Russell Middle,0.977
Frederick County,James Wood High,0.258
Frederick County,James Wood Middle,0.466
Arlington County,Jamestown Elementary,0.034
Williamsburg-James City County,Jamestown High,0.179
Hampton City,Jane H. Bryan Elementary,0.9109999999999999
Bedford County,Jefferson Forest High,0.16899999999999998
Arlington County,Jefferson Middle,0.409
Alexandria City,Jefferson-Houston PK-8 School,0.634
Manassas City,Jennie Dean Elementary,0.7020000000000001
Alleghany Highlands,Jeter-Watson Elementary,0.6459999999999999
Alexandria City,John Adams Elementary,0.72
Richmond City,John B. Cary Elementary,1.0
Virginia Beach City,John B. Dey Elementary,0.18100000000000002
Rockingham County,John C. Myers Elementary,0.38799999999999996
Loudoun County,John Champe High,0.11800000000000001
Prince William County,John D. Jenkins Elementary,0.757
Suffolk City,John F. Kennedy Middle,0.8420000000000001
Prince William County,John F. Pattie Sr. Elementary,0.39399999999999996
Winchester City,John Handley High,0.508
Winchester City,John Kerr Elementary,0.828
Pittsylvania County,John L. Hurt Elementary,0.86
Hanover County,John M. Gandy Elementary,0.513
Richmond City,John Marshall High,1.0
Radford City,John N. Dalton Intermediate,0.413
Roanoke City,John P. Fishwick Middle,1.0
Henrico County,John Randolph Tucker High,0.462
Henrico County,John Rolfe Middle,0.8220000000000001
Washington County,John S. Battle High,0.387
Rockingham County,John W. Wayland Elementary,0.29
Suffolk City,John Yeates Middle,0.249
Charlottesville City,Johnson Elementary,0.855
Fairfax County,Johnson Middle,0.322
Clarke County,Johnson-Williams Middle,0.214
Chesapeake City,Jolliff Middle,0.373
Lee County,Jonesville Middle,0.945
Newport News City,Joseph H. Saunders Elementary,0.764
Franklin City,Joseph P. King Jr. Middle,1.0
Albemarle County,Joseph T. Henley Middle,0.133
Bristol City,Joseph Van Pelt Elementary,0.9390000000000001
Louisa County,Jouett Elementary,0.485
Albemarle County,Journey Middle,0.5489999999999999
Fairfax County,Justice High,0.634
Stafford County,Kate Waller Barrett Elementary,0.562
Newport News City,Katherine Johnson Elementary,0.765
Hampton City,Kecoughtan High,0.396
Fairfax County,Keene Mill Elementary,0.18100000000000002
Accomack County,Kegotank Elementary,0.9109999999999999
Harrisonburg City,Keister Elementary,0.687
Virginia Beach City,Kempsville Elementary,0.331
Virginia Beach City,Kempsville High,0.366
Virginia Beach City,Kempsville Meadows Elementary,0.42200000000000004
Virginia Beach City,Kempsville Middle,0.34299999999999997
Lunenburg County,Kenbridge Elementary,0.899
Arlington County,Kenmore Middle,0.522
Loudoun County,Kenneth W.Culbert Elementary,0.083
Fairfax County,Kent Gardens Elementary,0.016
Pittsylvania County,Kentuck Elementary,0.615
Prince William County,Kerrydale Elementary,0.672
Hanover County,Kersey Creek Elementary,0.109
Fauquier County,Kettle Run High,0.106
Fairfax County,Key Center,0.461
Fairfax County,Key Middle,0.615
Suffolk City,Kilby Shores Elementary,0.495
Fairfax County,Kilmer Center,0.297
Fairfax County,Kilmer Middle,0.174
Newport News City,Kiln Creek Elementary,0.764
King and Queen County,King & Queen Elementary,0.6990000000000001
King George County,King George Elementary,0.389
King George County,King George High,0.272
King George County,King George Middle,0.293
King William County,King William High,0.297
Suffolk City,King's Fork High,0.435
Suffolk City,King's Fork Middle,0.531
Virginia Beach City,King's Grant Elementary,0.435
Fairfax County,Kings Glen Elementary,0.261
Fairfax County,Kings Park Elementary,0.19399999999999998
Virginia Beach City,Kingston Elementary,0.1
Montgomery County,Kipps Elementary,0.18
Northampton County,Kiptopeke Elementary,0.813
Prince William County,Kyle R. Wilson Elementary,0.395
Henrico County,L. Douglas Wilder Middle,0.8220000000000001
Wise County,L.F. Addington Middle,0.5760000000000001
Prince George County,L.L. Beazley Elementary,0.534
Henrico County,Laburnum Elementary,0.8220000000000001
Rockingham County,Lacey Spring Elementary,0.46399999999999997
Fredericksburg City,Lafayette Elementary,0.81
Williamsburg-James City County,Lafayette High,0.335
Fairfax County,Lake Anne Elementary,0.39799999999999996
Fairfax County,Lake Braddock Secondary,0.153
Prince William County,Lake Ridge Elementary,0.40399999999999997
Prince William County,Lake Ridge Middle,0.36200000000000004
Norfolk City,Lake Taylor,0.96
Suffolk City,Lakeland High,0.483
Petersburg City,Lakemont Elementary,1.0
Henrico County,Lakeside Elementary,0.7070000000000001
Albemarle County,Lakeside Middle,0.198
Portsmouth City,Lakeview Elementary,1.0
Colonial Heights City,Lakeview Elementary,0.637
Lancaster County,Lancaster High,0.531
Lancaster County,Lancaster Middle,0.664
Lancaster County,Lancaster Primary,0.758
Virginia Beach City,Landstown Elementary,0.392
Virginia Beach City,Landstown High,0.335
Virginia Beach City,Landstown Middle,0.387
Fairfax County,Lane Elementary,0.19699999999999998
Fairfax County,Langley High,0.021
Norfolk City,Larchmont Elementary,0.226
Virginia Beach City,Larkspur Middle,0.5429999999999999
Norfolk City,Larrymore Elementary,0.96
Carroll County,Laurel Elementary,0.602
Fairfax County,Laurel Hill Elementary,0.162
Williamsburg-James City County,Laurel Lane Elementary,0.43700000000000006
Hanover County,Laurel Meadow Elementary,0.289
Fairfax County,Laurel Ridge Elementary,0.08
King and Queen County,Lawson-Marriott Elementary,0.687
Russell County,Lebanon Elementary,0.545
Russell County,Lebanon High,0.49700000000000005
Russell County,Lebanon Middle,0.534
Lee County,Lee High,0.945
Spotsylvania County,Lee Hill Elementary,0.41
Franklin County,Lee M. Waid Elementary,0.85
Fairfax County,Lees Corner Elementary,0.138
Loudoun County,Leesburg Elementary,0.418
Campbell County,Leesville Road Elementary,0.43200000000000005
Prince William County,Leesylvania Elementary,0.457
Fairfax County,Lemon Road Elementary,0.16399999999999998
Warren County,Leslie Fox Keyser Elementary,0.424
Albemarle County,Leslie H. Walton Middle,0.397
Fairfax County,Lewis High,0.552
Caroline County,Lewis and Clark Elementary,0.439
Loudoun County,Liberty Elementary,0.095
Bedford County,Liberty High,0.48700000000000004
Fauquier County,Liberty High,0.353
Fairfax County,Liberty Middle,0.322
Hanover County,Liberty Middle,0.36700000000000005
Bedford County,Liberty Middle,0.511
Orange County,Lightfoot Elementary,0.424
Loudoun County,Lincoln Elementary,0.022000000000000002
Roanoke City,Lincoln Terrace Elementary,1.0
Norfolk City,Lindenwood Elementary,0.961
Virginia Beach City,Linkhorn Park Elementary,0.376
Lynchburg City,Linkhorne Elementary,0.9279999999999999
Lynchburg City,Linkhorne Middle,0.927
Rockingham County,Linville-Edom Elementary,0.415
Richmond City,Linwood Holton Elementary,1.0
Norfolk City,Little Creek Elementary,0.9590000000000001
Loudoun County,Little River Elementary,0.053
Fairfax County,Little Run Elementary,0.225
Spotsylvania County,Livingston Elementary,0.43
Chesterfield County,Lloyd C. Bird High,0.46
Prince William County,Loch Lomond Elementary,0.768
Orange County,Locust Grove Elementary,0.47600000000000003
Orange County,Locust Grove Middle,0.408
Williamsburg-James City County,Lois Hornsby Middle,0.298
Fairfax County,London Towne Elementary,0.531
Arlington County,Long Branch Elementary,0.32899999999999996
Henrico County,Longdale Elementary,0.8220000000000001
Fairfax County,Longfellow Middle,0.085
Botetourt County,Lord Botetourt High,0.18899999999999997
Fairfax County,Lorton Station Elementary,0.515
Loudoun County,Loudoun County High,0.179
Loudoun County,Loudoun Valley High,0.087
Louisa County,Louisa County High,0.39899999999999997
Louisa County,Louisa County Middle,0.462
Prince William County,Louise A. Benton Middle,0.159
Loudoun County,Lovettsville Elementary,0.11900000000000001
Loudoun County,Lowes Island Elementary,0.087
Richmond City,Lucille M. Brown Middle,1.0
Loudoun County,Lucketts Elementary,0.2
Lunenburg County,Lunenburg Middle,0.794
Page County,Luray Elementary,0.649
Page County,Luray High,0.485
Page County,Luray Middle,0.56
Surry County,Luther P. Jackson Middle,0.606
Virginia Beach City,Luxford Elementary,0.584
Lexington City,Lylburn Downing Middle,0.237
Alexandria City,Lyles-Crouch Elementary,0.193
Fairfax County,Lynbrook Elementary,0.826
Virginia Beach City,Lynnhaven Elementary,0.6509999999999999
Virginia Beach City,Lynnhaven Middle,0.449
Suffolk City,Mack Benn Jr. Elementary,0.882
Giles County,Macy Mcclaugherty Elementary/Middle,0.5479999999999999
Madison County,Madison County High,0.408
Caroline County,Madison Elementary,0.632
Amherst County,Madison Heights Elementary,0.899
Fairfax County,Madison High,0.099
Loudoun County,Madison's Trust Elementary,0.034
Henry County,Magna Vista High,0.8859999999999999
York County,Magruder Elementary,0.35
Virginia Beach City,Malibu Elementary,0.43
Manassas Park City,Manassas Park Elementary,0.706
Manassas Park City,Manassas Park High,0.579
Manassas Park City,Manassas Park Middle,0.6579999999999999
Chesterfield County,Manchester High,0.28600000000000003
Chesterfield County,Manchester Middle,0.488
Portsmouth City,Manor High,0.644
Fairfax County,Mantua Elementary,0.14
Montgomery County,Margaret Beeks Elementary,0.308
Fauquier County,Margaret M. Pierce Elementary,0.379
Chesterfield County,Marguerite F. Christian Elementary,0.602
Smyth County,Marion Elementary,0.777
Smyth County,Marion Middle,0.757
Smyth County,Marion Senior High,0.777
Fairfax County,Marshall High,0.201
Fauquier County,Marshall Middle,0.361
Fairfax County,Marshall Road Elementary,0.268
Prince William County,Martin Luther King Jr. Elementary,0.54
Martinsville City,Martinsville High,1.0
Martinsville City,Martinsville Middle,1.0
Prince William County,Marumsco Hills Elementary,0.846
Norfolk City,Mary Calcott Elementary,0.542
Albemarle County,Mary Carr Greer Elementary,0.73
Falls Church City,Mary Ellen Henderson Middle,0.0
Prince William County,Mary G. Porter Traditional,0.249
Richmond City,Mary Munford Elementary,1.0
Newport News City,Mary Passage Middle,0.765
Hampton City,Mary S. Peake Elementary,0.9109999999999999
Hampton City,Mary T. Christian Elementary,0.909
Hampton City,Mary W. Jackson Elementary,0.308
Fauquier County,Mary Walter Elementary,0.529
Fairfax County,Mason Crest Elementary,0.47600000000000003
Roanoke County,Mason's Cove Elementary,0.447
Spotsylvania County,Massaponax High,0.33
Mathews County,Mathews Elementary,0.488
Mathews County,Mathews High,0.426
Chesterfield County,Matoaca Elementary,0.519
Chesterfield County,Matoaca High,0.32899999999999996
Chesterfield County,Matoaca Middle,0.336
Williamsburg-James City County,Matoaka Elementary,0.213
Williamsburg-James City County,Matthew Whaley Elementary,0.451
Henrico County,Maude Trevvett Elementary,0.547
Rockbridge County,Maury River Middle,0.512
Wythe County,Max Meadows Elementary,0.539
Henrico County,Maybeury Elementary,0.342
Manassas City,Mayfield Intermediate,0.627
Craig County,McCleary Elementary,0.632
Rockingham County,McGaheysville Elementary,0.408
Fairfax County,McLean High,0.09
Henry County,Meadow View Elementary,0.887
Chesterfield County,Meadowbrook High,0.581
Loudoun County,Meadowland Elementary,0.491
Washington County,Meadowview Elementary,0.795
Halifax County,Meadville Elementary,0.846
Hanover County,Mechanicsville Elementary,0.56
Hanover County,Mechanicsville High,0.2
Southampton County,Meherrin Elementary,0.55
Brunswick County,Meherrin Powellton Elementary,0.976
Newport News City,Menchville High,0.765
Falls Church City,Meridian High,0.0
Albemarle County,Meriwether Lewis Elementary,0.10400000000000001
Accomack County,Metompkin Elementary,0.91
Middlesex County,Middlesex Elementary,0.61
Middlesex County,Middlesex High,0.366
Frederick County,Middletown Elementary,0.428
Chesterfield County,Midlothian High,0.109
Chesterfield County,Midlothian Middle,0.092
Dinwiddie County,Midway Elementary,0.38799999999999996
Richmond City,Miles Jones Elementary,1.0
Loudoun County,Mill Run Elementary,0.027999999999999997
Bath County,Millboro Elementary,0.616
Frederick County,Millbrook High,0.341
Henrico County,Mills E. Godwin High,0.16
Prince William County,Minnieville Elementary,0.688
Chesterfield County,Monacan High,0.3
Amherst County,Monelison Middle,0.564
Bedford County,Moneta Elementary,0.5760000000000001
Prince William County,Montclair Elementary,0.457
Roanoke City,Monterey Elementary,1.0
Arlington County,Montessori Public School of Arlington,0.28300000000000003
Rockingham County,Montevideo Middle,0.386
Albemarle County,Monticello High,0.295
Henrico County,Montrose Elementary,0.8220000000000001
Westmoreland County,Montross Middle,0.672
Bedford County,Montvale Elementary,0.599
Loudoun County,Moorefield Station Elementary,0.131
Roanoke City,Morningside Elementary,1.0
Fairfax County,Mosaic Elementary,0.21899999999999997
Louisa County,Moss-Nuckols Elementary,0.35600000000000004
Pittsylvania County,Mount Airy Elementary,0.8270000000000001
Fairfax County,Mount Eagle Elementary,0.715
Roanoke County,Mount Pleasant Elementary,0.47200000000000003
Alexandria City,Mount Vernon Elementary,0.506
Fairfax County,Mount Vernon High,0.583
Fairfax County,Mount Vernon Woods Elementary,0.826
Albemarle County,Mountain View Elementary,0.41600000000000004
Rockbridge County,Mountain View Elementary,0.45899999999999996
Roanoke County,Mountain View Elementary,0.44799999999999995
Rockingham County,Mountain View Elementary,0.475
Alleghany Highlands,Mountain View Elementary,0.8
Prince William County,Mountain View Elementary,0.086
Loudoun County,Mountain View Elementary,0.13
Fairfax County,Mountain View High,0.45299999999999996
Shenandoah County,Mountain View High,0.441
Accomack County,Nandua High,0.91
Accomack County,Nandua Middle,0.9109999999999999
Suffolk City,Nansemond Parkway Elementary,0.484
Suffolk City,Nansemond River High,0.23800000000000002
Alexandria City,Naomi L. Brooks Elementary,0.305
Giles County,Narrows High,0.47700000000000004
Greene County,Nathanael Greene Elementary,0.469
Rockbridge County,Natural Bridge Elementary,0.703
Fairfax County,Navy Elementary,0.037000000000000005
Prince William County,Neabsco Elementary,0.797
Nelson County,Nelson County High,0.462
Nelson County,Nelson Middle,0.515
Virginia Beach City,New Castle Elementary,0.20600000000000002
Bedford County,New London Academy Elementary,0.182
Fairfax County,Newington Forest Elementary,0.265
Newport News City,Newsome Park Elementary,0.764
Virginia Beach City,Newtown Elementary,0.8440000000000001
Spotsylvania County,Ni River Middle,0.255
Scott County,Nickelsville Elementary,0.616
Chesapeake City,Norfolk Highlands Primary,0.47
Williamsburg-James City County,Norge Elementary,0.45299999999999996
Prince George County,North Elementary,0.514
Colonial Heights City,North Elementary,0.727
Shenandoah County,North Fork Middle,0.5720000000000001
Virginia Beach City,North Landing Elementary,0.124
Augusta County,North River Elementary,0.456
Fairfax County,North Springfield Elementary,0.428
Stafford County,North Stafford High,0.40700000000000003
Northampton County,Northampton High,0.721
Northampton County,Northampton Middle,0.752
Suffolk City,Northern Shores Elementary,0.228
Roanoke County,Northside High,0.359
Norfolk City,Northside Middle,0.96
Roanoke County,Northside Middle,0.419
Northumberland County,Northumberland Elementary,0.779
Northumberland County,Northumberland High,0.779
Northumberland County,Northumberland Middle,0.779
Smyth County,Northwood High,0.758
Smyth County,Northwood Middle,0.755
Norton City,Norton Elementary,0.927
Norfolk City,Norview Elementary,0.961
Norfolk City,Norview High,0.568
Norfolk City,Norview Middle,0.96
Arlington County,Nottingham Elementary,0.043
Southampton County,Nottoway Elementary,0.42
Nottoway County,Nottoway High,0.909
Nottoway County,Nottoway Intermediate,0.9079999999999999
Nottoway County,Nottoway Middle,0.909
Henrico County,Nuckols Farm Elementary,0.08
Danville City,O. Trent Bonner Middle,1.0
Chesterfield County,O.B. Gates Elementary,0.307
Roanoke County,Oak Grove Elementary,0.33299999999999996
Richmond City,Oak Grove/Bellemeade Elementary,1.0
Fairfax County,Oak Hill Elementary,0.054000000000000006
Hanover County,Oak Knoll Middle,0.12300000000000001
Smyth County,Oak Point Elementary,0.777
Falls Church City,Oak Street Elementary,0.067
Fairfax County,Oak View Elementary,0.07
Suffolk City,Oakland Elementary,0.431
Carroll County,Oakland Elementary,0.67
Arlington County,Oakridge Elementary,0.231
Fairfax County,Oakton Elementary,0.084
Fairfax County,Oakton High,0.109
Northampton County,Occohannock Elementary,0.8420000000000001
Prince William County,Occoquan Elementary,0.598
Virginia Beach City,Ocean Lakes Elementary,0.287
Virginia Beach City,Ocean Lakes High,0.26899999999999996
Norfolk City,Ocean View Elementary,0.593
Norfolk City,Oceanair Elementary,0.9590000000000001
Prince William County,Old Bridge Elementary,0.256
Virginia Beach City,Old Donation School,0.1
Chesterfield County,Old Hundred Elementary,0.106
Fairfax County,Olde Creek Elementary,0.16399999999999998
Newport News City,Oliver C. Greenwood Elementary,0.764
Richmond City,Open High,1.0
Orange County,Orange Elementary,0.5670000000000001
Fairfax County,Orange Hunt Elementary,0.062
Frederick County,Orchard View Elementary,0.326
Manassas City,Osbourn High,0.518
Prince William County,Osbourn Park High,0.349
Chesapeake City,Oscar F. Smith High,0.579
Chesapeake City,Oscar Smith Middle,0.971
Bedford County,Otter River Elementary,0.361
Rockingham County,Ottobine Elementary,0.551
Richmond City,Overby-Sheppard Elementary,1.0
Fauquier County,P.B. Smith Elementary,0.083
Page County,Page County High,0.466
Page County,Page County Middle,0.597
Gloucester County,Page Middle,0.433
Danville City,Park Avenue Elementary,1.0
Stafford County,Park Ridge Elementary,0.256
Portsmouth City,Park View Elementary,1.0
Loudoun County,Park View High,0.6629999999999999
Fairfax County,Parklawn Elementary,0.826
Spotsylvania County,Parkside Elementary,0.344
Prince William County,Parkside Middle,0.528
Virginia Beach City,Parkway Elementary,1.0
Buena Vista City,Parry McCluer High,0.504
Buena Vista City,Parry McCluer Middle,0.78
Hopewell City,Patrick Copeland Elementary,0.987
Patrick County,Patrick County High,0.691
Martinsville City,Patrick Henry Elementary,1.0
Hanover County,Patrick Henry High,0.271
Roanoke City,Patrick Henry High,1.0
Washington County,Patrick Henry High,0.493
Alexandria City,Patrick Henry K-8 School,0.775
Patrick County,Patrick Springs Primary,0.69
Prince William County,Patriot High,0.139
Hampton City,Paul Burbank Elementary,0.55
Lynchburg City,Paul Munro Elementary,0.9279999999999999
Rockingham County,Peak View Elementary,0.365
Culpeper County,Pearl Sample Elementary,0.564
Hanover County,Pearson's Corner Elementary,0.057999999999999996
Gloucester County,Peasley Middle,0.369
Henrico County,Pemberton Elementary,0.168
Virginia Beach City,Pembroke Elementary,0.535
Virginia Beach City,Pembroke Meadows Elementary,0.425
Roanoke County,Penn Forest Elementary,0.175
Lee County,Pennington Middle,0.943
Prince William County,Pennington Traditional,0.17800000000000002
Lynchburg City,Perrymont Elementary,0.927
Shenandoah County,Peter Muhlenberg Middle,0.491
Petersburg City,Petersburg High,1.0
Gloucester County,Petsworth Elementary,0.45299999999999996
Charlotte County,Phenix Elementary,0.629
Hampton City,Phillips Elementary,0.536
Hampton City,Phoebus High,0.611
Henrico County,Pinchbeck Elementary,0.435
Fairfax County,Pine Spring Elementary,0.636
Loudoun County,Pinebrook Elementary,0.08900000000000001
Prince William County,Piney Branch Elementary,0.146
Rockingham County,Plains Elementary,0.519
Virginia Beach City,Plaza Middle,0.442
Rockingham County,Pleasant Valley Elementary,0.611
Petersburg City,Pleasants Lane Elementary,1.0
Powhatan County,Pocahontas Elementary,0.295
Henrico County,Pocahontas Middle,0.21
Fairfax County,Poe Middle,0.723
Virginia Beach City,Point O' View Elementary,0.584
Hanover County,Pole Green Elementary,0.155
Fairfax County,Poplar Tree Elementary,0.071
Poquoson City,Poquoson Elementary,0.171
Poquoson City,Poquoson High,0.142
Poquoson City,Poquoson Middle,0.168
Spotsylvania County,Post Oak Middle,0.45799999999999996
King George County,Potomac Elementary,0.271
Loudoun County,Potomac Falls High,0.217
Prince William County,Potomac High,0.49700000000000005
Prince William County,Potomac Middle,0.556
Prince William County,Potomac View Elementary,0.873
Loudoun County,Potowmack Elementary,0.39399999999999996
Fairfax County,Powell Elementary,0.166
Powhatan County,Powhatan Elementary,0.165
Powhatan County,Powhatan High,0.17
Powhatan County,Powhatan Middle,0.20199999999999999
Roanoke City,Preston Park Elementary,1.0
Montgomery County,Prices Fork Elementary,0.539
Prince Edward County,Prince Edward County High,0.612
Prince Edward County,Prince Edward Elementary,0.983
Prince Edward County,Prince Edward Middle,0.9329999999999999
Prince George County,Prince George High,0.364
Virginia Beach City,Princess Anne Elementary,0.071
Virginia Beach City,Princess Anne High,0.281
Virginia Beach City,Princess Anne Middle,0.131
Orange County,Prospect Heights Middle,0.557
Chesterfield County,Providence Elementary,0.564
Virginia Beach City,Providence Elementary,0.34700000000000003
Fairfax County,Providence Elementary,0.431
Chesterfield County,Providence Middle,0.579
Pulaski County,Pulaski County Senior High,0.465
Accomack County,Pungoteague Elementary,0.9109999999999999
York County,Queens Lake Middle,0.257
Henrico County,Quioccasin Middle,0.48100000000000004
Prince William County,R. Dean Kilby Elementary,0.846
Henrico County,R.C. Longan Elementary,0.555
Radford City,Radford High,0.353
Arlington County,Randolph Elementary,0.731
Goochland County,Randolph Elementary,0.284
Charlotte County,Randolph-Henry High,0.507
Rappahannock County,Rappahannock County Elementary,0.42100000000000004
Rappahannock County,Rappahannock County High,0.301
Richmond County,Rappahannock High,0.741
Fairfax County,Ravensworth Elementary,0.155
Botetourt County,Read Mountain Middle,0.237
Chesterfield County,Reams Road Elementary,0.602
Albemarle County,Red Hill Elementary,0.528
Virginia Beach City,Red Mill Elementary,0.126
Brunswick County,Red Oak-Sturgeon Elementary,0.9790000000000001
Frederick County,Redbud Run Elementary,0.528
Warren County,Ressie Jeffries Elementary,0.55
Washington County,Rhea Valley Elementary,0.797
Henry County,Rich Acres Elementary,0.887
Smyth County,Rich Valley Elementary,0.759
Norfolk City,Richard Bowling Elementary,0.9590000000000001
Manassas City,Richard C. Haydon Elementary,0.642
Newport News City,Richard T. Yates Elementary,0.764
Tazewell County,Richlands Elementary,0.868
Tazewell County,Richlands High,0.511
Tazewell County,Richlands Middle,0.867
Richmond City,Richmond Community High,1.0
Richmond County,Richmond County Elementary,0.742
Newport News City,Richneck Elementary,0.765
Henrico County,Ridge Elementary,0.8240000000000001
