Division Name,School Name,free_reduced_lunch_percentage
Bedford County,Boonsboro Elementary,0.22
Gloucester County,Botetourt Elementary,0.42100000000000004
Caroline County,Bowling Green Elementary,0.609
Clarke County,Boyce Elementary,0.249
Fairfax County,Braddock Elementary,0.826
Loudoun County,Brambleton Middle,0.055999999999999994
Virginia Beach City,Brandon Middle,0.455
Botetourt County,Breckinridge Elementary,0.364
Roanoke City,Breckinridge Middle,1.0
Fairfax County,Bren Mar Park Elementary,0.594
Prince William County,Brentsville District High,0.124
Prince William County,Bristow Run Elementary,0.17
Richmond City,Broad Rock Elementary,1.0
Loudoun County,Broad Run High,0.17800000000000002
Albemarle County,Broadus Wood Elementary,0.151
Rockingham County,Broadway High,0.336
Spotsylvania County,Brock Road Elementary,0.294
Stafford County,Brooke Point High,0.293
Fairfax County,Brookfield Elementary,0.62
Henrico County,Brookland Middle,0.7290000000000001
Campbell County,Brookneal Elementary,0.73
Campbell County,Brookville High,0.326
Campbell County,Brookville Middle,0.397
Virginia Beach City,Brookwood Elementary,0.596
Albemarle County,Brownsville Elementary,0.109
Brunswick County,Brunswick High,0.978
York County,Bruton High,0.285
Fairfax County,Bryant High,0.465
Botetourt County,Buchanan Elementary,0.452
Buckingham County,Buckingham Co Elementary,0.821
Buckingham County,Buckingham County High,0.5539999999999999
Buckingham County,Buckingham County Middle,0.8220000000000001
Prince William County,Buckland Mills Elementary,0.22
Fairfax County,Bucknell Elementary,0.631
Augusta County,Buffalo Gap High,0.35100000000000003
Loudoun County,Buffalo Trail Elementary,0.055999999999999994
Charlottesville City,Buford Middle,0.534
Fairfax County,Bull Run Elementary,0.348
Prince William County,Bull Run Middle,0.308
Roanoke County,Burlington Elementary,0.59
Charlottesville City,Burnley-Moran Elementary,0.424
Franklin County,Burnt Chimney Elementary,0.505
Fairfax County,Bush Hill Elementary,0.222
Chesapeake City,Butts Road Intermediate,0.124
Goochland County,Byrd Elementary,0.37200000000000005
Hampton City,C. Alton Lindsay Middle,0.91
Fauquier County,C. Hunter Ritchie Elementary,0.14300000000000002
Prince William County,C.A. Sinclair Elementary,0.8320000000000001
Chesterfield County,C.C. Wells Elementary,0.35200000000000004
Prince William County,C.D. Hylton High,0.439
Chesterfield County,C.E. Curtis Elementary,0.507
Fauquier County,C.M. Bradley Elementary,0.244
Alleghany Highlands,Callaghan Elementary,0.523
Franklin County,Callaway Elementary,0.584
Fairfax County,Camelot Elementary,0.34700000000000003
Chesapeake City,Camelot Elementary,0.971
Fairfax County,Cameron Elementary,0.619
Norfolk City,Camp Allen Elementary,0.618
Henry County,Campbell Court Elementary,0.888
Arlington County,Campbell Elementary,0.502
Fairfax County,Canterbury Woods Elementary,0.14400000000000002
Southampton County,Capron Elementary,0.535
Hampton City,Captain John Smith Elementary,0.9109999999999999
Arlington County,Cardinal Elementary,0.087
Richmond City,Cardinal Elementary,1.0
Fairfax County,Cardinal Forest Elementary,0.301
Arlington County,Carlin Springs Elementary,0.812
Caroline County,Caroline High,0.473
Caroline County,Caroline Middle,0.5379999999999999
Carroll County,Carroll County High,0.485
Carroll County,Carroll County Middle,0.598
Isle of Wight County,Carrollton Elementary,0.262
Isle of Wight County,Carrsville Elementary,0.43799999999999994
Fairfax County,Carson Middle,0.11699999999999999
Hopewell City,Carter G. Woodson Middle,0.987
Chesterfield County,Carver College and Career Academy,0.5720000000000001
Newport News City,Carver Elementary,0.764
Chesterfield County,Carver Middle,0.524
Fluvanna County,Carysbrook Elementary,0.38299999999999995
Henrico County,Cashell Donahoe Elementary,0.8220000000000001
Augusta County,Cassell Elementary,0.475
Russell County,Castlewood Elementary,0.961
Russell County,Castlewood High,0.6629999999999999
Loudoun County,Catoctin Elementary,0.268
Roanoke County,Cave Spring Elementary,0.21
Roanoke County,Cave Spring High,0.161
Roanoke County,Cave Spring Middle,0.20800000000000002
Tazewell County,Cedar Bluff Elementary,0.562
Spotsylvania County,Cedar Forest Elementary,0.493
Loudoun County,Cedar Lane Elementary,0.172
Fauquier County,Cedar Lee Middle,0.47600000000000003
Prince William County,Cedar Point Elementary,0.172
Chesapeake City,Cedar Road Elementary,0.205
Virginia Beach City,Centerville Elementary,0.258
Botetourt County,Central Academy Middle,0.302
Rockbridge County,Central Elementary,0.523
Amherst County,Central Elementary,0.9009999999999999
Wise County,Central High,0.45799999999999996
King and Queen County,Central High,0.546
Lunenburg County,Central High,0.5920000000000001
Shenandoah County,Central High,0.42100000000000004
Charlotte County,Central Middle,0.599
Fairfax County,Centre Ridge Elementary,0.5710000000000001
Fairfax County,Centreville Elementary,0.27899999999999997
Fairfax County,Centreville High,0.287
Hampton City,Cesar Tarrant Middle,0.912
Henrico County,Chamberlayne Elementary,0.632
Spotsylvania County,Chancellor Elementary,0.2
Spotsylvania County,Chancellor High,0.402
Spotsylvania County,Chancellor Middle,0.45399999999999996
Fairfax County,Chantilly High,0.188
Alexandria City,Charles Barrett Elementary,0.317
Charles City County,Charles City County Elementary,0.556
Charles City County,Charles City County High,0.562
Prince William County,Charles J. Colgan Sr. High,0.184
Henrico County,Charles M. Johnson Elementary,0.823
Charlottesville City,Charlottesville High,0.408
Mecklenburg County,Chase City Elementary,0.841
Pittsylvania County,Chatham Elementary,0.858
Pittsylvania County,Chatham High,0.49200000000000005
Pittsylvania County,Chatham Middle,0.565
Floyd County,Check Elementary,0.489
Fairfax County,Cherry Run Elementary,0.063
Fairfax County,Chesterbrook Elementary,0.017
Norfolk City,Chesterfield Elementary,0.96
Hanover County,Chickahominy Middle,0.154
Smyth County,Chilhowie Elementary,0.757
Smyth County,Chilhowie High,0.777
Smyth County,Chilhowie Middle,0.779
Richmond City,Chimborazo Elementary,1.0
Accomack County,Chincoteague Elementary,0.91
Accomack County,Chincoteague High,0.912
Prince William County,Chris Yung Elementary,0.414
Montgomery County,Christiansburg Elementary,0.46299999999999997
Montgomery County,Christiansburg High,0.34700000000000003
Montgomery County,Christiansburg Middle,0.433
Virginia Beach City,Christopher Farms Elementary,0.3
Fairfax County,Churchill Road Elementary,0.018000000000000002
Portsmouth City,Churchland Academy Elementary,0.594
Portsmouth City,Churchland Elementary,0.391
Portsmouth City,Churchland High,0.488
Portsmouth City,Churchland Middle,0.537
Portsmouth City,Churchland Primary & Intermediate,0.5
Augusta County,Churchville Elementary,0.371
Williamsburg-James City County,Clara Byrd Baker Elementary,0.374
Arlington County,Claremont Immersion,0.307
Charlottesville City,Clark Elementary,0.857
Clarke County,Clarke County High,0.166
Mecklenburg County,Clarksville Elementary,0.8420000000000001
Fauquier County,Claude Thompson Elementary,0.611
Halifax County,Clays Mill Elementary,0.8490000000000001
Roanoke County,Clearbrook Elementary,0.28300000000000003
Fairfax County,Clearview Elementary,0.515
Fairfax County,Clermont Elementary,0.133
Alleghany Highlands,Clifton Middle,0.499
Dickenson County,Clintwood Elementary,0.8220000000000001
Chesterfield County,Clover Hill Elementary,0.258
Chesterfield County,Clover Hill High,0.249
Botetourt County,Cloverdale Elementary,0.239
Halifax County,Cluster Springs Elementary,0.846
Fairfax County,Coates Elementary,0.513
Wise County,Coeburn Middle,0.875
Wise County,Coeburn Primary,0.878
Hanover County,Cold Harbor Elementary,0.382
Norfolk City,Coleman Place Elementary,0.96
Prince William County,Coles Elementary,0.36200000000000004
Virginia Beach City,College Park Elementary,0.733
Suffolk City,Colonel Fred Cherry Middle,0.34299999999999997
Colonial Beach,Colonial Beach Elementary,0.7759999999999999
Colonial Beach,Colonial Beach High,0.775
Botetourt County,Colonial Elementary,0.27899999999999997
Stafford County,Colonial Forge High,0.204
Colonial Heights City,Colonial Heights High,0.473
Colonial Heights City,Colonial Heights Middle,0.613
Henrico County,Colonial Trail Elementary,0.11
Fairfax County,Columbia Elementary,0.38
Fairfax County,Colvin Run Elementary,0.017
Albemarle County,Community Lab School,0.212
Campbell County,Concord Elementary,0.478
Stafford County,Conway Elementary,0.40700000000000003
Petersburg City,Cool Spring Elementary,1.0
Hanover County,Cool Spring Elementary,0.092
Loudoun County,Cool Spring Elementary,0.374
Fairfax County,Cooper Middle,0.017
Westmoreland County,Cople Elementary,0.975
Alexandria City,Cora Kelly School for Math Science and Technology,0.873
Virginia Beach City,Corporate Landing Elementary,0.469
Virginia Beach City,Corporate Landing Middle,0.45899999999999996
Chesterfield County,Cosby High,0.122
Buchanan County,Council Elementary/Middle,0.843
Loudoun County,Countryside Elementary,0.33899999999999997
Spotsylvania County,Courthouse Road Elementary,0.336
Spotsylvania County,Courtland Elementary,0.34
Spotsylvania County,Courtland High,0.175
York County,Coventry Elementary,0.162
Alleghany Highlands,Covington High,0.645
Prince William County,Covington-Harper Elementary,0.425
Portsmouth City,Cradock Elementary,1.0
Portsmouth City,Cradock Middle,1.0
Craig County,Craig County High,0.47600000000000003
Augusta County,Craigsville Elementary,0.833
Virginia Beach City,Creeds Elementary,0.243
Suffolk City,Creekside Elementary,0.431
Loudoun County,Creighton's Corner Elementary,0.125
Henrico County,Crestview Elementary,0.47700000000000004
Chesterfield County,Crestwood Elementary,0.53
Fairfax County,Crestwood Elementary,0.826
Chesapeake City,Crestwood Intermediate,0.551
Chesapeake City,Crestwood Middle,0.502
Nottoway County,Crewe Primary,0.909
Newport News City,Crittenden Middle,0.765
Pulaski County,Critzer Elementary,0.7909999999999999
Fairfax County,Crossfield Elementary,0.047
Norfolk City,Crossroads PreK-8 School,0.614
Albemarle County,Crozet Elementary,0.26
Roanoke City,Crystal Spring Elementary,0.244
Fairfax County,Cub Run Elementary,0.152
Rockingham County,Cub Run Elementary,0.46399999999999997
Culpeper County,Culpeper County High,0.358
Culpeper County,Culpeper Middle,0.47600000000000003
Cumberland County,Cumberland Elementary,0.858
Cumberland County,Cumberland High,0.71
Cumberland County,Cumberland Middle,0.828
Fairfax County,Cunningham Park Elementary,0.318
Clarke County,D.G. Cooley Elementary,0.251
Williamsburg-James City County,D.J. Montague Elementary,0.325
Prince William County,Dale City Elementary,0.7440000000000001
Washington County,Damascus Middle,0.636
Pittsylvania County,Dan River High,0.565
Pittsylvania County,Dan River Middle,0.606
Winchester City,Daniel Morgan Intermediate,0.653
Winchester City,Daniel Morgan Middle,0.631
Fairfax County,Daniels Run Elementary,0.32
York County,Dare Elementary,0.28
Newport News City,David A. Dutrow Elementary,0.765
Prince George County,David A. Harrison Elementary,0.535
Chesapeake City,Deep Creek Central Elementary,0.294
Chesapeake City,Deep Creek Elementary,0.479
Chesapeake City,Deep Creek High,0.46
Chesapeake City,Deep Creek Middle,0.48100000000000004
Henrico County,Deep Run High,0.075
Fairfax County,Deer Park Elementary,0.297
Newport News City,Deer Park Elementary,0.765
Newport News City,Denbigh High,0.764
Dinwiddie County,Dinwiddie County High,0.42700000000000005
Dinwiddie County,Dinwiddie County Middle,0.54
Dinwiddie County,Dinwiddie Elementary,0.501
Loudoun County,Discovery Elementary,0.203
Arlington County,Discovery Elementary,0.034
Newport News City,Discovery STEM Academy,0.764
Fairfax County,Dogwood Elementary,0.826
Loudoun County,Dominion High,0.302
Loudoun County,Dominion Trail Elementary,0.29600000000000004
Stafford County,Donald B. Dixon-Lyle R. Smith Middle,0.313
Arlington County,Dorothy Hamm Middle,0.14400000000000002
Alexandria City,Douglas MacArthur Elementary,0.364
Henrico County,Douglas S. Freeman High,0.311
Portsmouth City,Douglass Park Elementary,1.0
Arlington County,Dr. Charles R. Drew Elementary,0.611
Fairfax County,Dranesville Elementary,0.47100000000000003
Henry County,Drewry Mason Elementary,0.887
Lee County,Dryden Elementary,0.9440000000000001
Pulaski County,Dublin Elementary,0.7909999999999999
Franklin County,Dudley Elementary,0.45799999999999996
Scott County,Duffield-Pattonsville Primary,0.9079999999999999
Henrico County,Dumbarton Elementary,0.8029999999999999
Prince William County,Dumfries Elementary,0.773
Scott County,Dungannon Elementary School,0.7829999999999999
Hopewell City,Dupont Elementary,0.987
Warren County,E. Wilson Morrison Elementary,0.909
Washington County,E.B. Stanley Middle,0.467
Prince William County,E.H. Marsteller Middle,0.179
Loudoun County,Eagle Ridge Middle,0.057
Botetourt County,Eagle Rock Elementary,0.605
Fairfax County,Eagle View Elementary,0.282
Rockingham County,East Rockingham High,0.35200000000000004
Salem City,East Salem Elementary,0.56
Montgomery County,Eastern Montgomery Elementary,0.703
Montgomery County,Eastern Montgomery High,0.5489999999999999
Culpeper County,Eastern View High,0.406
Wise County,Eastside High,0.527
Henrico County,Echo Lake Elementary,0.23
Chesterfield County,Ecoff Elementary,0.455
Fairfax County,Edison High,0.381
Stafford County,Edward E. Drew Jr. Middle,0.408
Augusta County,Edward G. Clymore Elementary,0.41200000000000003
Greensville County,Edward W. Wyatt Middle,0.9890000000000001
Danville City,Edwin A. Gibson Elementary,1.0
Chesapeake City,Edwin W. Chittum Elementary,0.259
Suffolk City,Elephant's Fork Elementary,0.92
Richmond City,Elizabeth D. Redd Elementary,1.0
Chesterfield County,Elizabeth Davis Middle,0.38
Henrico County,Elizabeth Holladay Elementary,0.823
Chesterfield County,Elizabeth Scott Elementary,0.506
Prince William County,Elizabeth Vaughan Elementary,0.8009999999999999
Lee County,Elk Knob Elementary,0.945
Henrico County,Elko Middle,0.629
Rockingham County,Elkton Elementary,0.444
Rockingham County,Elkton Middle,0.43700000000000006
Hanover County,Elmont Elementary,0.466
Amherst County,Elon Elementary,0.41200000000000003
Lee County,Elydale Middle,0.943
Culpeper County,Emerald Hill Elementary,0.33
Loudoun County,Emerick Elementary,0.19
Buena Vista City,Enderly Heights Elementary,0.778
Chesterfield County,Enon Elementary,0.33399999999999996
Prince William County,Enterprise Elementary,0.746
Dickenson County,Ervinton Elementary,0.821
Arlington County,Escuela Key Elementary,0.39399999999999996
Essex County,Essex High,0.603
Newport News City,Ethel M. Gildersleeve Middle,0.765
Chesterfield County,Ettrick Elementary,0.902
Charlotte County,Eureka Elementary,0.608
Frederick County,Evendale Elementary,0.452
Chesterfield County,Evergreen Elementary,0.235
Loudoun County,Evergreen Mill Elementary,0.342
Henrico County,Fair Oaks Elementary,0.823
