School,Division,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Sch_Div
Waples Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.4,1.4,0,Waples Mill Elementary Fairfax County Public Schools
Dogwood Elementary,Fairfax County Public Schools,High Poverty,Title I,5.3,0,0,Dogwood Elementary Fairfax County Public Schools
Archer Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.5,0,0,Archer Elementary Fairfax County Public Schools
Cunningham Park Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,0,0,0,Cunningham Park Elementary Fairfax County Public Schools
Flint Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,0,0,Flint Hill Elementary Fairfax County Public Schools
Oakton High,Fairfax County Public Schools,Low Poverty,Non-Title I,3.9,7.2,0,Oakton High Fairfax County Public Schools
Colvin Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.6,0,0,Colvin Run Elementary Fairfax County Public Schools
Freedom Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2,0,0,Freedom Hill Elementary Fairfax County Public Schools
Kilmer Center,Fairfax County Public Schools,Low Poverty,Non-Title I,4.5,0,0,Kilmer Center Fairfax County Public Schools
Kilmer Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,2.4,8.3,0,Kilmer Middle Fairfax County Public Schools
Westbriar Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.1,0,0,Westbriar Elementary Fairfax County Public Schools
Wolftrap Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.2,0,0,Wolftrap Elementary Fairfax County Public Schools
Daniels Run Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.8,0,0,Daniels Run Elementary Fairfax County Public Schools
Eagle View Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.8,0,0,Eagle View Elementary Fairfax County Public Schools
Fairfax Villa Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.9,0,0,Fairfax Villa Elementary Fairfax County Public Schools
Johnson Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.5,3.4,1.1,Johnson Middle Fairfax County Public Schools
Providence Elementary,Fairfax County Public Schools,Medium Poverty,Title I,7.2,2.4,0,Providence Elementary Fairfax County Public Schools
Willow Springs Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.9,1.4,0,Willow Springs Elementary Fairfax County Public Schools
Fairhill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7.5,0,0,Fairhill Elementary Fairfax County Public Schools
Mantua Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.3,0,0,Mantua Elementary Fairfax County Public Schools
Frost Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,4.2,6.3,1.1,Frost Middle Fairfax County Public Schools
Little Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.4,0,0,Little Run Elementary Fairfax County Public Schools
Oak View Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.8,0,0,Oak View Elementary Fairfax County Public Schools
Robinson Secondary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.3,5.6,0.4,Robinson Secondary Fairfax County Public Schools
Wakefield Forest Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2,0,0,Wakefield Forest Elementary Fairfax County Public Schools
Greenbriar East Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Greenbriar East Elementary Fairfax County Public Schools
Lees Corner Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Lees Corner Elementary Fairfax County Public Schools
Navy Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.7,1.4,0,Navy Elementary Fairfax County Public Schools
Carson Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,2,3,0,Carson Middle Fairfax County Public Schools
Coates Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.9,0,0,Coates Elementary Fairfax County Public Schools
Annandale High,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.6,11.7,1,Annandale High Fairfax County Public Schools
Annandale Terrace Elementary,Fairfax County Public Schools,High Poverty,Title I,7.1,0,0,Annandale Terrace Elementary Fairfax County Public Schools
Braddock Elementary,Fairfax County Public Schools,High Poverty,Title I,2.2,8.8,1.1,Braddock Elementary Fairfax County Public Schools
Camelot Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,7.5,0,0,Camelot Elementary Fairfax County Public Schools
Canterbury Woods Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.1,0,0,Canterbury Woods Elementary Fairfax County Public Schools
Columbia Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,5,2.5,0,Columbia Elementary Fairfax County Public Schools
Poe Middle,Fairfax County Public Schools,High Poverty,Title I,5.3,7.4,0,Poe Middle Fairfax County Public Schools
Westfield High,Fairfax County Public Schools,Low Poverty,Non-Title I,3.6,10.3,1,Westfield High Fairfax County Public Schools
Mount Eagle Elementary,Fairfax County Public Schools,Medium Poverty,Title I,2.4,0,0,Mount Eagle Elementary Fairfax County Public Schools
Bryant High,Fairfax County Public Schools,Medium Poverty,Non-Title I,0,7.3,0,Bryant High Fairfax County Public Schools
Groveton Elementary,Fairfax County Public Schools,High Poverty,Title I,1.4,6.8,1.4,Groveton Elementary Fairfax County Public Schools
Hollin Meadows Elementary,Fairfax County Public Schools,Medium Poverty,Title I,3.3,1.6,1.6,Hollin Meadows Elementary Fairfax County Public Schools
Hybla Valley Elementary,Fairfax County Public Schools,High Poverty,Title I,6.8,1.1,1.1,Hybla Valley Elementary Fairfax County Public Schools
Belle View Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,6.7,2.2,0,Belle View Elementary Fairfax County Public Schools
Bucknell Elementary,Fairfax County Public Schools,Medium Poverty,Title I,7.7,0,0,Bucknell Elementary Fairfax County Public Schools
West Potomac High,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.8,12,1.9,West Potomac High Fairfax County Public Schools
Sandburg Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.3,4.1,0.8,Sandburg Middle Fairfax County Public Schools
Waynewood Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,0,0,Waynewood Elementary Fairfax County Public Schools
Mount Vernon High,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.8,15.3,1.1,Mount Vernon High Fairfax County Public Schools
Mount Vernon Woods Elementary,Fairfax County Public Schools,High Poverty,Title I,1.5,0,0,Mount Vernon Woods Elementary Fairfax County Public Schools
Riverside Elementary,Fairfax County Public Schools,High Poverty,Title I,8.3,0,0,Riverside Elementary Fairfax County Public Schools
Washington Mill Elementary,Fairfax County Public Schools,Medium Poverty,Title I,1.8,14.3,0,Washington Mill Elementary Fairfax County Public Schools
Woodlawn Elementary,Fairfax County Public Schools,Medium Poverty,Title I,5,1.7,1.7,Woodlawn Elementary Fairfax County Public Schools
Woodley Hills Elementary,Fairfax County Public Schools,High Poverty,Title I,1.8,1.8,0,Woodley Hills Elementary Fairfax County Public Schools
Bush Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.7,1.7,0,Bush Hill Elementary Fairfax County Public Schools
Clermont Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.3,4.3,0,Clermont Elementary Fairfax County Public Schools
Edison High,Fairfax County Public Schools,Medium Poverty,Non-Title I,3,10.2,1.2,Edison High Fairfax County Public Schools
Franconia Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,8.5,0,0,Franconia Elementary Fairfax County Public Schools
Rose Hill Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.8,7.2,0,Rose Hill Elementary Fairfax County Public Schools
Glasgow Middle,Fairfax County Public Schools,High Poverty,Non-Title I,7.6,6.4,0.6,Glasgow Middle Fairfax County Public Schools
Holmes Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.3,4.7,0,Holmes Middle Fairfax County Public Schools
Parklawn Elementary,Fairfax County Public Schools,High Poverty,Title I,6.8,0,0,Parklawn Elementary Fairfax County Public Schools
Thomas Jefferson High for Science and Technology,Fairfax County Public Schools,Low Poverty,Non-Title I,1.6,3.9,0,Thomas Jefferson High for Science and Technology Fairfax County Public Schools
Weyanoke Elementary,Fairfax County Public Schools,High Poverty,Title I,3.2,0,0,Weyanoke Elementary Fairfax County Public Schools
Hayfield Secondary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.3,7.8,0,Hayfield Secondary Fairfax County Public Schools
Island Creek Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.3,0,0,Island Creek Elementary Fairfax County Public Schools
Stone Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,1.6,9.7,0,Stone Middle Fairfax County Public Schools
Virginia Run Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,1.8,0,0,Virginia Run Elementary Fairfax County Public Schools
Bull Run Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.8,1.6,0,Bull Run Elementary Fairfax County Public Schools
Forestville Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.7,0,0,Forestville Elementary Fairfax County Public Schools
Great Falls Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,4.3,0,Great Falls Elementary Fairfax County Public Schools
Terraset Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.4,0,0,Terraset Elementary Fairfax County Public Schools
South Lakes High,Fairfax County Public Schools,Low Poverty,Non-Title I,2.5,13.4,0.5,South Lakes High Fairfax County Public Schools
Armstrong Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Armstrong Elementary Fairfax County Public Schools
Crestwood Elementary,Fairfax County Public Schools,High Poverty,Title I,13.3,0,0,Crestwood Elementary Fairfax County Public Schools
Forestdale Elementary,Fairfax County Public Schools,Medium Poverty,Title I,7.1,1.8,0,Forestdale Elementary Fairfax County Public Schools
Key Center,Fairfax County Public Schools,Medium Poverty,Non-Title I,19,42.9,0,Key Center Fairfax County Public Schools
Key Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,1.3,3.9,0,Key Middle Fairfax County Public Schools
Lynbrook Elementary,Fairfax County Public Schools,High Poverty,Title I,5.8,2.9,0,Lynbrook Elementary Fairfax County Public Schools
Springfield Estates Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,2,2,0,Springfield Estates Elementary Fairfax County Public Schools
Kings Glen Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.5,0,0,Kings Glen Elementary Fairfax County Public Schools
Kings Park Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.1,0,0,Kings Park Elementary Fairfax County Public Schools
North Springfield Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,1.9,0,0,North Springfield Elementary Fairfax County Public Schools
Ravensworth Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4,10,0,Ravensworth Elementary Fairfax County Public Schools
Cardinal Forest Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.5,0,0,Cardinal Forest Elementary Fairfax County Public Schools
Hunt Valley Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Hunt Valley Elementary Fairfax County Public Schools
Irving Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,2.2,2.2,0,Irving Middle Fairfax County Public Schools
Keene Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,10,0,0,Keene Mill Elementary Fairfax County Public Schools
Orange Hunt Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.9,4.3,0,Orange Hunt Elementary Fairfax County Public Schools
Rolling Valley Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,1.9,0,Rolling Valley Elementary Fairfax County Public Schools
West Springfield High,Fairfax County Public Schools,Low Poverty,Non-Title I,4.1,10.5,0.6,West Springfield High Fairfax County Public Schools
Sangster Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.8,0,0,Sangster Elementary Fairfax County Public Schools
Saratoga Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.8,1.6,0,Saratoga Elementary Fairfax County Public Schools
Centreville High,Fairfax County Public Schools,Low Poverty,Non-Title I,2.1,10.7,0,Centreville High Fairfax County Public Schools
Union Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.4,0,0,Union Mill Elementary Fairfax County Public Schools
Belvedere Elementary,Fairfax County Public Schools,Medium Poverty,Title I,5,0,0,Belvedere Elementary Fairfax County Public Schools
Glen Forest Elementary,Fairfax County Public Schools,High Poverty,Title I,2,3,0,Glen Forest Elementary Fairfax County Public Schools
Falls Church High,Fairfax County Public Schools,Medium Poverty,Non-Title I,4,14.1,1.1,Falls Church High Fairfax County Public Schools
Graham Road Elementary,Fairfax County Public Schools,High Poverty,Title I,4.4,0,0,Graham Road Elementary Fairfax County Public Schools
Pine Spring Elementary,Fairfax County Public Schools,Medium Poverty,Title I,1.6,0,0,Pine Spring Elementary Fairfax County Public Schools
Westlawn Elementary,Fairfax County Public Schools,Medium Poverty,Title I,7.4,1.2,0,Westlawn Elementary Fairfax County Public Schools
Woodburn Elementary,Fairfax County Public Schools,High Poverty,Title I,6.7,0,0,Woodburn Elementary Fairfax County Public Schools
Haycock Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.6,0,0,Haycock Elementary Fairfax County Public Schools
Longfellow Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,4.3,3.3,0,Longfellow Middle Fairfax County Public Schools
Marshall High,Fairfax County Public Schools,Low Poverty,Non-Title I,2.5,10.8,0,Marshall High Fairfax County Public Schools
Shrevewood Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,11.7,0,0,Shrevewood Elementary Fairfax County Public Schools
Westgate Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,11.3,1.9,0,Westgate Elementary Fairfax County Public Schools
Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County Public Schools,High Poverty,Title I,6.5,8.1,0,Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools
Sleepy Hollow Elementary,Fairfax County Public Schools,Medium Poverty,Title I,10.4,0,0,Sleepy Hollow Elementary Fairfax County Public Schools
Timber Lane Elementary,Fairfax County Public Schools,Medium Poverty,Title I,6.5,1.6,0,Timber Lane Elementary Fairfax County Public Schools
Fort Belvoir Upper Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,13.6,3.4,0,Fort Belvoir Upper Elementary Fairfax County Public Schools
Dranesville Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.3,1.6,1.6,Dranesville Elementary Fairfax County Public Schools
Clearview Elementary,Fairfax County Public Schools,Medium Poverty,Title I,3,0,0,Clearview Elementary Fairfax County Public Schools
Herndon High,Fairfax County Public Schools,Medium Poverty,Non-Title I,0.5,11.2,0,Herndon High Fairfax County Public Schools
Herndon Elementary,Fairfax County Public Schools,Medium Poverty,Title I,3.9,6.5,0,Herndon Elementary Fairfax County Public Schools
Hutchison Elementary,Fairfax County Public Schools,High Poverty,Title I,2.8,0.9,0,Hutchison Elementary Fairfax County Public Schools
Crossfield Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Crossfield Elementary Fairfax County Public Schools
Fox Mill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2,8,0,Fox Mill Elementary Fairfax County Public Schools
Oak Hill Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.1,0,0,Oak Hill Elementary Fairfax County Public Schools
Poplar Tree Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.8,1.8,0,Poplar Tree Elementary Fairfax County Public Schools
Rocky Run Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,2.6,0,Rocky Run Middle Fairfax County Public Schools
Franklin Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,2.8,1.4,0,Franklin Middle Fairfax County Public Schools
Fairview Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,3.8,0,Fairview Elementary Fairfax County Public Schools
Halley Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,5.3,0,0,Halley Elementary Fairfax County Public Schools
Silverbrook Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.9,0,0,Silverbrook Elementary Fairfax County Public Schools
Cub Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,0,0,Cub Run Elementary Fairfax County Public Schools
Deer Park Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.8,0,0,Deer Park Elementary Fairfax County Public Schools
Mountain View High,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.6,7.9,0,Mountain View High Fairfax County Public Schools
Centre Ridge Elementary,Fairfax County Public Schools,Medium Poverty,Title I,0,0,0,Centre Ridge Elementary Fairfax County Public Schools
Centreville Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.9,0,0,Centreville Elementary Fairfax County Public Schools
Whitman Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.5,4.7,0,Whitman Middle Fairfax County Public Schools
Garfield Elementary,Fairfax County Public Schools,High Poverty,Title I,2.4,2.4,0,Garfield Elementary Fairfax County Public Schools
Cameron Elementary,Fairfax County Public Schools,Medium Poverty,Title I,5.6,0,0,Cameron Elementary Fairfax County Public Schools
Justice High,Fairfax County Public Schools,Medium Poverty,Non-Title I,4.6,11.7,0.5,Justice High Fairfax County Public Schools
London Towne Elementary,Fairfax County Public Schools,Medium Poverty,Title I,1.3,9.2,0,London Towne Elementary Fairfax County Public Schools
Marshall Road Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.1,1.5,0,Marshall Road Elementary Fairfax County Public Schools
Olde Creek Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.8,0,0,Olde Creek Elementary Fairfax County Public Schools
Liberty Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,1.1,9.6,0,Liberty Middle Fairfax County Public Schools
West Springfield Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.9,0,0,West Springfield Elementary Fairfax County Public Schools
Sherman Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6.1,0,0,Sherman Elementary Fairfax County Public Schools
Oakton Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Oakton Elementary Fairfax County Public Schools
Mosaic Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.5,0,0,Mosaic Elementary Fairfax County Public Schools
Lemon Road Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,4.2,0,0,Lemon Road Elementary Fairfax County Public Schools
Madison High,Fairfax County Public Schools,Low Poverty,Non-Title I,2.5,13.1,0.6,Madison High Fairfax County Public Schools
Fairfax High,Fairfax County Public Schools,Low Poverty,Non-Title I,2.4,12.1,1.2,Fairfax High Fairfax County Public Schools
Lake Anne Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,0,5.3,0,Lake Anne Elementary Fairfax County Public Schools
Twain Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,6.5,7.5,0,Twain Middle Fairfax County Public Schools
Chantilly High,Fairfax County Public Schools,Low Poverty,Non-Title I,1.3,10.8,0.9,Chantilly High Fairfax County Public Schools
Hayfield Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.9,0,0,Hayfield Elementary Fairfax County Public Schools
Newington Forest Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,7,0,0,Newington Forest Elementary Fairfax County Public Schools
Hunters Woods Elementary School for the Arts and Sciences,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Hunters Woods Elementary School for the Arts and Sciences Fairfax County Public Schools
Cherry Run Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.2,0,0,Cherry Run Elementary Fairfax County Public Schools
Vienna Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,0,0,Vienna Elementary Fairfax County Public Schools
Herndon Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,7.2,2.7,0,Herndon Middle Fairfax County Public Schools
Brookfield Elementary,Fairfax County Public Schools,Medium Poverty,Title I,4.1,0,0,Brookfield Elementary Fairfax County Public Schools
Lewis High,Fairfax County Public Schools,Medium Poverty,Non-Title I,2.6,11.8,1.3,Lewis High Fairfax County Public Schools
Mason Crest Elementary,Fairfax County Public Schools,Medium Poverty,Non-Title I,3.2,0,0,Mason Crest Elementary Fairfax County Public Schools
Bren Mar Park Elementary,Fairfax County Public Schools,Medium Poverty,Title I,4,0,0,Bren Mar Park Elementary Fairfax County Public Schools
Lane Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.7,1.9,0,Lane Elementary Fairfax County Public Schools
Jackson Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,7.5,7.5,0,Jackson Middle Fairfax County Public Schools
Thoreau Middle,Fairfax County Public Schools,Low Poverty,Non-Title I,4.3,10.6,2.1,Thoreau Middle Fairfax County Public Schools
Aldrin Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,0,3.8,0,Aldrin Elementary Fairfax County Public Schools
Lake Braddock Secondary,Fairfax County Public Schools,Low Poverty,Non-Title I,3,7.9,0.3,Lake Braddock Secondary Fairfax County Public Schools
Stenwood Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2.2,0,0,Stenwood Elementary Fairfax County Public Schools
Woodson High,Fairfax County Public Schools,Low Poverty,Non-Title I,4.7,14.2,1.6,Woodson High Fairfax County Public Schools
Greenbriar West Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.9,0,0,Greenbriar West Elementary Fairfax County Public Schools
Floris Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,9.1,0,0,Floris Elementary Fairfax County Public Schools
Forest Edge Elementary,Fairfax County Public Schools,Medium Poverty,Title I,9.6,0,0,Forest Edge Elementary Fairfax County Public Schools
Bonnie Brae Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,9,3,1.5,Bonnie Brae Elementary Fairfax County Public Schools
Fort Hunt Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,3.8,11.3,0,Fort Hunt Elementary Fairfax County Public Schools
Hughes Middle,Fairfax County Public Schools,Medium Poverty,Non-Title I,0,8.6,0,Hughes Middle Fairfax County Public Schools
Laurel Ridge Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,6,6,0,Laurel Ridge Elementary Fairfax County Public Schools
Stratford Landing Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.1,1.7,0,Stratford Landing Elementary Fairfax County Public Schools
Beech Tree Elementary,Fairfax County Public Schools,Medium Poverty,Title I,4.9,0,0,Beech Tree Elementary Fairfax County Public Schools
White Oaks Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,5.4,1.8,1.8,White Oaks Elementary Fairfax County Public Schools
Powell Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,1.4,4.2,1.4,Powell Elementary Fairfax County Public Schools
Sunrise Valley Elementary,Fairfax County Public Schools,Low Poverty,Non-Title I,2,0,0,Sunrise Valley Elementary Fairfax County Public Schools
Fairview Elementary,Grayson County Public Schools,Medium Poverty,Title I,13,8.7,0,Fairview Elementary Grayson County Public Schools
Grayson Highlands,Grayson County Public Schools,Medium Poverty,Title I,5.3,5.3,0,Grayson Highlands Grayson County Public Schools
Independence Middle,Grayson County Public Schools,Medium Poverty,Non-Title I,5.6,11.1,2.8,Independence Middle Grayson County Public Schools
Grayson County High,Grayson County Public Schools,Medium Poverty,Non-Title I,4.8,9.5,1.6,Grayson County High Grayson County Public Schools
Independence Elementary,Grayson County Public Schools,Medium Poverty,Title I,0,0,0,Independence Elementary Grayson County Public Schools
Fries Elementary,Grayson County Public Schools,High Poverty,Title I,2.9,5.9,0,Fries Elementary Grayson County Public Schools
Cluster Springs Elementary,Halifax County Public Schools,High Poverty,Title I,8.3,10.4,8.3,Cluster Springs Elementary Halifax County Public Schools
Sinai Elementary,Halifax County Public Schools,High Poverty,Title I,12.9,25.8,12.9,Sinai Elementary Halifax County Public Schools
Clays Mill Elementary,Halifax County Public Schools,High Poverty,Title I,10.7,17.9,10.7,Clays Mill Elementary Halifax County Public Schools
Scottsburg Elementary,Halifax County Public Schools,High Poverty,Title I,14.8,22.2,14.8,Scottsburg Elementary Halifax County Public Schools
Halifax County High,Halifax County Public Schools,High Poverty,Non-Title I,14.3,20,9.3,Halifax County High Halifax County Public Schools
South Boston Elementary,Halifax County Public Schools,High Poverty,Title I,10.2,18.6,8.5,South Boston Elementary Halifax County Public Schools
Meadville Elementary,Halifax County Public Schools,High Poverty,Title I,0,12.5,0,Meadville Elementary Halifax County Public Schools
Sydnor Jennings Elementary,Halifax County Public Schools,High Poverty,Title I,12.5,21.9,9.4,Sydnor Jennings Elementary Halifax County Public Schools
Halifax County Middle,Halifax County Public Schools,High Poverty,Non-Title I,14.4,23.1,11.5,Halifax County Middle Halifax County Public Schools
Elmont Elementary,Hanover County Public Schools,Medium Poverty,Title I,2.8,0,0,Elmont Elementary Hanover County Public Schools
John M. Gandy Elementary,Hanover County Public Schools,Medium Poverty,Non-Title I,2.7,5.4,2.7,John M. Gandy Elementary Hanover County Public Schools
Liberty Middle,Hanover County Public Schools,Medium Poverty,Non-Title I,10,11.1,1.1,Liberty Middle Hanover County Public Schools
Patrick Henry High,Hanover County Public Schools,Low Poverty,Non-Title I,6.7,4.8,1,Patrick Henry High Hanover County Public Schools
Battlefield Park Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,7.7,0,0,Battlefield Park Elementary Hanover County Public Schools
Cold Harbor Elementary,Hanover County Public Schools,Medium Poverty,Non-Title I,2.3,0,0,Cold Harbor Elementary Hanover County Public Schools
Laurel Meadow Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,6,0,0,Laurel Meadow Elementary Hanover County Public Schools
Mechanicsville Elementary,Hanover County Public Schools,Medium Poverty,Title I,1.6,3.2,0,Mechanicsville Elementary Hanover County Public Schools
Mechanicsville High,Hanover County Public Schools,Low Poverty,Non-Title I,8.4,3.7,1.9,Mechanicsville High Hanover County Public Schools
Hanover High,Hanover County Public Schools,Low Poverty,Non-Title I,5.4,9.8,1.8,Hanover High Hanover County Public Schools
Kersey Creek Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,2,0,0,Kersey Creek Elementary Hanover County Public Schools
Oak Knoll Middle,Hanover County Public Schools,Low Poverty,Non-Title I,10.8,7.2,1.2,Oak Knoll Middle Hanover County Public Schools
Pearson's Corner Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,4.1,2,2,Pearson's Corner Elementary Hanover County Public Schools
Pole Green Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,0,0,0,Pole Green Elementary Hanover County Public Schools
Rural Point Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,2.5,2.5,0,Rural Point Elementary Hanover County Public Schools
Bell Creek Middle,Hanover County Public Schools,Low Poverty,Non-Title I,12.3,8.6,1.2,Bell Creek Middle Hanover County Public Schools
Beaverdam Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,3.7,3.7,0,Beaverdam Elementary Hanover County Public Schools
Chickahominy Middle,Hanover County Public Schools,Low Poverty,Non-Title I,4.3,5.4,0,Chickahominy Middle Hanover County Public Schools
Atlee High,Hanover County Public Schools,Low Poverty,Non-Title I,3.4,4.3,0,Atlee High Hanover County Public Schools
South Anna Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,7.7,0,0,South Anna Elementary Hanover County Public Schools
Cool Spring Elementary,Hanover County Public Schools,Low Poverty,Non-Title I,5.2,5.2,1.7,Cool Spring Elementary Hanover County Public Schools
Glen Lea Elementary,Henrico County Public Schools,High Poverty,Title I,2.8,2.8,0,Glen Lea Elementary Henrico County Public Schools
