School,Division,Degree_Percent,Degree_Type,Sch_Div
Saltville Elementary,Smyth County Public Schools,48,Bachelor's Degree,Saltville Elementary Smyth County Public Schools
Saltville Elementary,Smyth County Public Schools,48,Master's Degree,Saltville Elementary Smyth County Public Schools
Saltville Elementary,Smyth County Public Schools,3,Doctoral Degree,Saltville Elementary Smyth County Public Schools
Marion Elementary,Smyth County Public Schools,36,Bachelor's Degree,Marion Elementary Smyth County Public Schools
Marion Elementary,Smyth County Public Schools,56,Master's Degree,Marion Elementary Smyth County Public Schools
Marion Elementary,Smyth County Public Schools,3,Doctoral Degree,Marion Elementary Smyth County Public Schools
Chilhowie Middle,Smyth County Public Schools,74,Bachelor's Degree,Chilhowie Middle Smyth County Public Schools
Chilhowie Middle,Smyth County Public Schools,23,Master's Degree,Chilhowie Middle Smyth County Public Schools
Chilhowie Middle,Smyth County Public Schools,0,Doctoral Degree,Chilhowie Middle Smyth County Public Schools
Marion Senior High,Smyth County Public Schools,52,Bachelor's Degree,Marion Senior High Smyth County Public Schools
Marion Senior High,Smyth County Public Schools,47,Master's Degree,Marion Senior High Smyth County Public Schools
Marion Senior High,Smyth County Public Schools,0,Doctoral Degree,Marion Senior High Smyth County Public Schools
Colonel Fred Cherry Middle,Suffolk City Public Schools,51,Bachelor's Degree,Colonel Fred Cherry Middle Suffolk City Public Schools
Colonel Fred Cherry Middle,Suffolk City Public Schools,40,Master's Degree,Colonel Fred Cherry Middle Suffolk City Public Schools
Colonel Fred Cherry Middle,Suffolk City Public Schools,2,Doctoral Degree,Colonel Fred Cherry Middle Suffolk City Public Schools
Booker T. Washington Elementary,Suffolk City Public Schools,43,Bachelor's Degree,Booker T. Washington Elementary Suffolk City Public Schools
Booker T. Washington Elementary,Suffolk City Public Schools,54,Master's Degree,Booker T. Washington Elementary Suffolk City Public Schools
Booker T. Washington Elementary,Suffolk City Public Schools,3,Doctoral Degree,Booker T. Washington Elementary Suffolk City Public Schools
Elephant's Fork Elementary,Suffolk City Public Schools,35,Bachelor's Degree,Elephant's Fork Elementary Suffolk City Public Schools
Elephant's Fork Elementary,Suffolk City Public Schools,59,Master's Degree,Elephant's Fork Elementary Suffolk City Public Schools
Elephant's Fork Elementary,Suffolk City Public Schools,0,Doctoral Degree,Elephant's Fork Elementary Suffolk City Public Schools
Hillpoint Elementary,Suffolk City Public Schools,47,Bachelor's Degree,Hillpoint Elementary Suffolk City Public Schools
Hillpoint Elementary,Suffolk City Public Schools,44,Master's Degree,Hillpoint Elementary Suffolk City Public Schools
Hillpoint Elementary,Suffolk City Public Schools,0,Doctoral Degree,Hillpoint Elementary Suffolk City Public Schools
John F. Kennedy Middle,Suffolk City Public Schools,41,Bachelor's Degree,John F. Kennedy Middle Suffolk City Public Schools
John F. Kennedy Middle,Suffolk City Public Schools,47,Master's Degree,John F. Kennedy Middle Suffolk City Public Schools
John F. Kennedy Middle,Suffolk City Public Schools,3,Doctoral Degree,John F. Kennedy Middle Suffolk City Public Schools
Kilby Shores Elementary,Suffolk City Public Schools,39,Bachelor's Degree,Kilby Shores Elementary Suffolk City Public Schools
Kilby Shores Elementary,Suffolk City Public Schools,53,Master's Degree,Kilby Shores Elementary Suffolk City Public Schools
Kilby Shores Elementary,Suffolk City Public Schools,0,Doctoral Degree,Kilby Shores Elementary Suffolk City Public Schools
King's Fork High,Suffolk City Public Schools,52,Bachelor's Degree,King's Fork High Suffolk City Public Schools
King's Fork High,Suffolk City Public Schools,41,Master's Degree,King's Fork High Suffolk City Public Schools
King's Fork High,Suffolk City Public Schools,1,Doctoral Degree,King's Fork High Suffolk City Public Schools
King's Fork Middle,Suffolk City Public Schools,46,Bachelor's Degree,King's Fork Middle Suffolk City Public Schools
King's Fork Middle,Suffolk City Public Schools,46,Master's Degree,King's Fork Middle Suffolk City Public Schools
